<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNA-WS.US,D,20210920,000000,3.02,3.6,2.76,2.97,883553,0
DNA-WS.US,D,20210921,000000,2.98,3.65,2.98,3.2,804170,0
DNA-WS.US,D,20210922,000000,3.31,3.9,3.3,3.36,969272,0
DNA-WS.US,D,20210923,000000,3.49,3.837,3.45,3.66,472737,0
DNA-WS.US,D,20210924,000000,3.65,4.005,3.48,3.98,405827,0
DNA-WS.US,D,20210927,000000,4.15,4.33,3.98,4.13,745821,0
DNA-WS.US,D,20210928,000000,3.95,4.2246,3.7001,4.12,475203,0
DNA-WS.US,D,20210929,000000,4.2,4.2,3.7,3.75,176717,0
DNA-WS.US,D,20210930,000000,3.89,3.89,3.28,3.39,514049,0
DNA-WS.US,D,20211001,000000,3.39,3.39,3.16,3.32,162726,0
DNA-WS.US,D,20211004,000000,3.4,3.4402,3.18,3.24,166006,0
DNA-WS.US,D,20211005,000000,3.48,3.65,3.29,3.48,125950,0
DNA-WS.US,D,20211006,000000,3.25,3.33,2.08,2.9,3089717,0
DNA-WS.US,D,20211007,000000,2.8,3.02,2.45,2.56,1707103,0
DNA-WS.US,D,20211008,000000,2.48,2.59,2.3,2.52,405592,0
DNA-WS.US,D,20211011,000000,2.35,2.49,2.19,2.32,410087,0
DNA-WS.US,D,20211012,000000,2.29,3.12,2.29,2.98,751022,0
DNA-WS.US,D,20211013,000000,3.07,3.1799,2.65,2.65,448312,0
DNA-WS.US,D,20211014,000000,2.8,3.18,2.75,3.03,393258,0
DNA-WS.US,D,20211015,000000,3.32,3.47,3.03,3.45,479607,0
DNA-WS.US,D,20211018,000000,3.3,3.66,3.2,3.6004,151053,0
DNA-WS.US,D,20211019,000000,3.54,4.3,3.54,4.17,1294524,0
DNA-WS.US,D,20211020,000000,4,4.14,3.61,3.93,458465,0
DNA-WS.US,D,20211021,000000,3.75,3.8986,3.51,3.53,179700,0
DNA-WS.US,D,20211022,000000,3.5,3.88,3.38,3.5,299222,0
DNA-WS.US,D,20211025,000000,3.41,4.11,3.41,3.95,475362,0
DNA-WS.US,D,20211026,000000,4,4.415,3.83,3.92,472154,0
DNA-WS.US,D,20211027,000000,3.92,4.025,3.72,3.98,183654,0
DNA-WS.US,D,20211028,000000,4,4.48,3.85,3.98,334040,0
DNA-WS.US,D,20211029,000000,3.85,4,3.8,3.83,79725,0
DNA-WS.US,D,20211101,000000,3.8,3.95,3.7,3.8,124404,0
DNA-WS.US,D,20211102,000000,3.78,3.8599,3.4805,3.59,119976,0
DNA-WS.US,D,20211103,000000,3.42,4.04,3.4,3.94,250209,0
DNA-WS.US,D,20211104,000000,4.19,4.19,3.83,3.9,310282,0
DNA-WS.US,D,20211105,000000,3.88,3.94,3.6102,3.77,121894,0
DNA-WS.US,D,20211108,000000,3.7,4.18,3.7,4,518411,0
DNA-WS.US,D,20211109,000000,4.09,4.5,3.93,4,405291,0
DNA-WS.US,D,20211110,000000,3.87,4.4,3.815,3.84,252524,0
DNA-WS.US,D,20211111,000000,3.8,4.02,3.63,3.77,122346,0
DNA-WS.US,D,20211112,000000,3.81,3.95,3.54,3.62,116624,0
DNA-WS.US,D,20211115,000000,3.77,3.77,3.23,3.45,295143,0
DNA-WS.US,D,20211116,000000,3.26,3.8,3.26,3.64,686784,0
DNA-WS.US,D,20211117,000000,3.64,3.73,3.5,3.61,123350,0
DNA-WS.US,D,20211118,000000,3.55,3.55,3,3.155,220352,0
DNA-WS.US,D,20211119,000000,3.18,3.48,3.02,3.41,1012624,0
DNA-WS.US,D,20211122,000000,3.22,3.62,3.05,3.58,387566,0
DNA-WS.US,D,20211123,000000,3.33,3.33,3.02,3.26,215810,0
DNA-WS.US,D,20211124,000000,3.35,3.36,3.14,3.27,63807,0
DNA-WS.US,D,20211126,000000,3.05,3.4,3.05,3.3,90955,0
DNA-WS.US,D,20211129,000000,3.23,3.44,3.05,3.3506,83535,0
DNA-WS.US,D,20211130,000000,3.25,3.29,2.75,3.18,382694,0
DNA-WS.US,D,20211201,000000,3.05,3.37,3.05,3.09,338100,0
DNA-WS.US,D,20211202,000000,2.98,3.0625,2.41,2.75,478698,0
DNA-WS.US,D,20211203,000000,2.75,2.75,1.96,2.16,656558,0
DNA-WS.US,D,20211206,000000,2.31,2.83,2.15,2.79,586900,0
DNA-WS.US,D,20211207,000000,2.82,2.96,2.65,2.85,686910,0
DNA-WS.US,D,20211208,000000,2.98,3.15,2.86,2.99,360939,0
DNA-WS.US,D,20211209,000000,3.02,3.14,2.85,2.9,56402,0
DNA-WS.US,D,20211210,000000,2.79,3.15,2.79,2.93,84983,0
DNA-WS.US,D,20211213,000000,2.81,3.2,2.78,2.88,132367,0
DNA-WS.US,D,20211214,000000,2.75,2.99,2.48,2.61,162199,0
DNA-WS.US,D,20211215,000000,2.5,3,2.5,2.81,181528,0
DNA-WS.US,D,20211216,000000,3.36,3.36,2.77,2.82,279537,0
DNA-WS.US,D,20211217,000000,3.05,3.3,2.58,3.04,387606,0
DNA-WS.US,D,20211220,000000,2.81,3.11,2.78,3,462286,0
DNA-WS.US,D,20211221,000000,3.01,3.33,3.01,3.23,174329,0
DNA-WS.US,D,20211222,000000,3.2,3.26,3.1,3.21,105833,0
DNA-WS.US,D,20211223,000000,3.1601,3.17,2.88,2.9198,85516,0
DNA-WS.US,D,20211227,000000,2.82,3.09,2.51,2.51,133570,0
DNA-WS.US,D,20211228,000000,2.5,2.65,2.33,2.3301,98744,0
DNA-WS.US,D,20211229,000000,2.3,2.35,2.2006,2.32,170968,0
DNA-WS.US,D,20211230,000000,2.2,2.52,2.2,2.4,228386,0
DNA-WS.US,D,20211231,000000,2.465,2.47,2.19,2.24,131057,0
DNA-WS.US,D,20220103,000000,2.2,2.36,2.1304,2.34,67419,0
DNA-WS.US,D,20220104,000000,2.35,2.42,2.0101,2.1799,211581,0
DNA-WS.US,D,20220105,000000,2.06,2.08,1.9,1.92,273590,0
DNA-WS.US,D,20220106,000000,1.9,1.95,1.76,1.86,184197,0
DNA-WS.US,D,20220107,000000,1.95,2.07,1.7905,1.81,140568,0
DNA-WS.US,D,20220110,000000,1.81,1.81,1.6,1.77,178955,0
DNA-WS.US,D,20220111,000000,1.7,1.99,1.7,1.84,134288,0
DNA-WS.US,D,20220112,000000,1.85,1.97,1.65,1.6797,135905,0
DNA-WS.US,D,20220113,000000,1.75,1.75,1.47,1.5,265742,0
DNA-WS.US,D,20220114,000000,1.48,1.62,1.37,1.5202,192845,0
DNA-WS.US,D,20220118,000000,1.6,1.6,1.3,1.31,89679,0
DNA-WS.US,D,20220119,000000,1.3,1.39,1.22,1.28,167883,0
DNA-WS.US,D,20220120,000000,1.37,1.45,1.27,1.28,88942,0
DNA-WS.US,D,20220121,000000,1.28,1.38,1.22,1.3,139954,0
