<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOUG.US,D,20211231,000000,12,12.06,11.1615,11.5,1599756,0
DOUG.US,D,20220103,000000,11.12,11.44,10.78,10.88,1364517,0
DOUG.US,D,20220104,000000,10.91,11,10,10.52,1946410,0
DOUG.US,D,20220105,000000,10.44,10.56,10.03,10.08,1105778,0
DOUG.US,D,20220106,000000,10,10.39,9.91,10.15,775291,0
DOUG.US,D,20220107,000000,9.94,10.23,9.92,10,784384,0
DOUG.US,D,20220110,000000,9.72,10,9.41,9.42,723554,0
DOUG.US,D,20220111,000000,9.42,10.04,9.33,10.02,892158,0
DOUG.US,D,20220112,000000,10,10.39,9.92,10.27,702745,0
DOUG.US,D,20220113,000000,10.18,10.47,9.67,10.39,758014,0
DOUG.US,D,20220114,000000,10.18,10.66,10.03,10.64,528237,0
DOUG.US,D,20220118,000000,10.42,10.6,10.15,10.21,476319,0
DOUG.US,D,20220119,000000,10.22,10.42,9.86,9.94,473037,0
DOUG.US,D,20220120,000000,9.83,10.1,9.69,9.77,424247,0
DOUG.US,D,20220121,000000,9.61,9.8,9.17,9.24,426856,0
