<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DSAQ-WS.US,D,20211116,000000,0.5201,0.5399,0.4998,0.538,1026060,0
DSAQ-WS.US,D,20211117,000000,0.538,0.53995,0.53,0.5313,46862,0
DSAQ-WS.US,D,20211118,000000,0.52,0.5379,0.51,0.537,148779,0
DSAQ-WS.US,D,20211119,000000,0.539899,0.541,0.53,0.5365,357548,0
DSAQ-WS.US,D,20211122,000000,0.5477,0.54995,0.5357,0.54,45625,0
DSAQ-WS.US,D,20211123,000000,0.54,0.5406,0.53,0.53,74719,0
DSAQ-WS.US,D,20211124,000000,0.5,0.53,0.5,0.52,88667,0
DSAQ-WS.US,D,20211126,000000,0.505,0.52,0.505,0.51,5552,0
DSAQ-WS.US,D,20211129,000000,0.505,0.51,0.5,0.5,158656,0
DSAQ-WS.US,D,20211130,000000,0.54,0.54,0.5275,0.5275,500,0
DSAQ-WS.US,D,20211201,000000,0.5275,0.5275,0.5275,0.5275,1050,0
DSAQ-WS.US,D,20211202,000000,0.5,0.5275,0.5,0.5112,140591,0
DSAQ-WS.US,D,20211203,000000,0.495,0.5125,0.495,0.495,8441,0
DSAQ-WS.US,D,20211206,000000,0.525,0.525,0.495,0.505,3759,0
DSAQ-WS.US,D,20211207,000000,0.55,0.55,0.5,0.5,350400,0
DSAQ-WS.US,D,20211208,000000,0.55,0.55,0.5001,0.501,13906,0
DSAQ-WS.US,D,20211209,000000,0.5,0.501,0.5,0.5,82500,0
DSAQ-WS.US,D,20211210,000000,0.5001,0.5001,0.5,0.5,5217,0
DSAQ-WS.US,D,20211213,000000,0.5,0.504001,0.495,0.5,93225,0
DSAQ-WS.US,D,20211214,000000,0.4994,0.5,0.4994,0.5,4942,0
DSAQ-WS.US,D,20211215,000000,0.4912,0.5006,0.4912,0.5006,4809,0
DSAQ-WS.US,D,20211221,000000,0.49,0.49,0.49,0.49,1100,0
DSAQ-WS.US,D,20211222,000000,0.4992,0.49925,0.4992,0.49925,600,0
DSAQ-WS.US,D,20211228,000000,0.49,0.49,0.49,0.49,3493,0
DSAQ-WS.US,D,20211229,000000,0.49,0.49,0.49,0.49,300,0
DSAQ-WS.US,D,20211230,000000,0.49,0.49,0.49,0.49,307,0
DSAQ-WS.US,D,20211231,000000,0.4998,0.5,0.4998,0.5,1010,0
DSAQ-WS.US,D,20220104,000000,0.4801,0.4802,0.45,0.4502,78861,0
DSAQ-WS.US,D,20220105,000000,0.4501,0.4501,0.4501,0.4501,1000,0
DSAQ-WS.US,D,20220106,000000,0.4402,0.4402,0.4402,0.4402,149,0
DSAQ-WS.US,D,20220107,000000,0.4749,0.4749,0.4401,0.4401,1400,0
DSAQ-WS.US,D,20220110,000000,0.44,0.44,0.44,0.44,400,0
DSAQ-WS.US,D,20220111,000000,0.47,0.47,0.41,0.4151,41848,0
DSAQ-WS.US,D,20220112,000000,0.4151,0.43,0.41,0.4101,23200,0
DSAQ-WS.US,D,20220113,000000,0.3901,0.3902,0.3801,0.39,12700,0
DSAQ-WS.US,D,20220114,000000,0.39,0.4,0.39,0.4,24738,0
DSAQ-WS.US,D,20220118,000000,0.39,0.39,0.39,0.39,18667,0
DSAQ-WS.US,D,20220119,000000,0.3901,0.3901,0.3749,0.3749,34300,0
DSAQ-WS.US,D,20220120,000000,0.38,0.38,0.38,0.38,1000,0
