<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DSAQ.US,D,20211118,000000,9.95,9.96,9.95,9.95,141401,0
DSAQ.US,D,20211119,000000,9.97,9.97,9.945,9.95,40301,0
DSAQ.US,D,20211122,000000,9.97,9.98,9.95,9.96,102070,0
DSAQ.US,D,20211123,000000,10,10,9.97,9.97,12019,0
DSAQ.US,D,20211124,000000,9.98,9.98,9.98,9.98,1310,0
DSAQ.US,D,20211129,000000,9.98,9.99,9.95,9.95,171146,0
DSAQ.US,D,20211130,000000,9.89,9.965,9.89,9.96,15575,0
DSAQ.US,D,20211201,000000,9.96,9.96,9.96,9.96,4204,0
DSAQ.US,D,20211202,000000,9.97,9.97,9.93,9.96,59051,0
DSAQ.US,D,20211203,000000,9.95,9.95,9.95,9.95,100000,0
DSAQ.US,D,20211206,000000,9.97,9.97,9.94,9.945,8302,0
DSAQ.US,D,20211208,000000,9.94,9.94,9.94,9.94,7878,0
DSAQ.US,D,20211209,000000,9.93,9.93,9.93,9.93,100,0
DSAQ.US,D,20211210,000000,9.95,9.96,9.94,9.94,13820,0
DSAQ.US,D,20211213,000000,9.97,9.97,9.92,9.92,3204,0
DSAQ.US,D,20211214,000000,9.92,9.92,9.92,9.92,820417,0
DSAQ.US,D,20211217,000000,9.92,9.92,9.9179,9.9179,650,0
DSAQ.US,D,20211222,000000,9.91,9.92,9.91,9.92,49406,0
DSAQ.US,D,20211223,000000,9.91,9.92,9.9,9.9,20727,0
DSAQ.US,D,20211231,000000,9.92,9.93,9.92,9.93,5100,0
DSAQ.US,D,20220103,000000,9.97,10.015,9.92,9.92,40937,0
DSAQ.US,D,20220104,000000,9.93,9.93,9.92,9.93,146563,0
DSAQ.US,D,20220105,000000,9.96,9.96,9.92,9.95,256300,0
DSAQ.US,D,20220106,000000,9.93,9.93,9.93,9.93,5700,0
DSAQ.US,D,20220107,000000,9.9352,9.95,9.9352,9.94,326902,0
DSAQ.US,D,20220110,000000,9.93,9.93,9.93,9.93,100000,0
DSAQ.US,D,20220114,000000,9.94,9.94,9.94,9.94,10000,0
DSAQ.US,D,20220118,000000,9.94,9.94,9.94,9.94,5000,0
DSAQ.US,D,20220119,000000,9.93,9.93,9.93,9.93,53877,0
