<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUK.US,D,19830406,000000,2.4196,2.4196,2.4196,2.4196,248805,0
DUK.US,D,19830407,000000,2.4379,2.4379,2.4005,2.4196,668725,0
DUK.US,D,19830408,000000,2.4196,2.4379,2.4196,2.4196,317323,0
DUK.US,D,19830411,000000,2.4196,2.4757,2.4196,2.4379,559900,0
DUK.US,D,19830412,000000,2.4757,2.4757,2.4379,2.4757,384009,0
DUK.US,D,19830413,000000,2.4379,2.4757,2.4379,2.4757,1495386,0
DUK.US,D,19830414,000000,2.4379,2.4757,2.4196,2.4757,190904,0
DUK.US,D,19830415,000000,2.4757,2.4757,2.4379,2.4757,675327,0
DUK.US,D,19830418,000000,2.4757,2.4757,2.4379,2.4757,467190,0
DUK.US,D,19830419,000000,2.4757,2.4757,2.4379,2.4379,286182,0
DUK.US,D,19830420,000000,2.4757,2.4942,2.4757,2.4942,972863,0
DUK.US,D,19830421,000000,2.4942,2.4942,2.4379,2.4379,618158,0
DUK.US,D,19830422,000000,2.4379,2.4757,2.4196,2.4757,1909812,0
DUK.US,D,19830425,000000,2.4757,2.4757,2.4379,2.4757,210331,0
DUK.US,D,19830426,000000,2.4757,2.4757,2.4379,2.4757,757769,0
DUK.US,D,19830427,000000,2.4757,2.4942,2.4379,2.4379,1165237,0
DUK.US,D,19830428,000000,2.4379,2.4757,2.4196,2.4379,2290528,0
DUK.US,D,19830429,000000,2.4379,2.4379,2.4196,2.4196,1384726,0
DUK.US,D,19830502,000000,2.4196,2.4196,2.4005,2.4196,770230,0
DUK.US,D,19830503,000000,2.4196,2.4379,2.4196,2.4379,1659177,0
DUK.US,D,19830504,000000,2.4379,2.4757,2.4379,2.4757,278115,0
DUK.US,D,19830505,000000,2.4757,2.4757,2.4379,2.4757,1462402,0
DUK.US,D,19830506,000000,2.4942,2.4942,2.4757,2.4942,529848,0
DUK.US,D,19830509,000000,2.4757,2.4942,2.3443,2.4757,1129323,0
DUK.US,D,19830510,000000,2.4757,2.4757,2.4379,2.4757,1655512,0
DUK.US,D,19830511,000000,2.4757,2.4942,2.4757,2.4757,2543360,0
DUK.US,D,19830512,000000,2.4757,2.4942,2.4379,2.4757,880520,0
DUK.US,D,19830513,000000,2.4757,2.4757,2.4379,2.4379,3475547,0
DUK.US,D,19830516,000000,2.4379,2.4379,2.4379,2.4379,2655122,0
DUK.US,D,19830517,000000,2.4379,2.4379,2.4196,2.4379,589213,0
DUK.US,D,19830518,000000,2.4379,2.4379,2.4379,2.4379,610465,0
DUK.US,D,19830519,000000,2.4379,2.4379,2.4379,2.4379,370818,0
DUK.US,D,19830520,000000,2.4379,2.4379,2.4379,2.4379,468297,0
DUK.US,D,19830523,000000,2.4379,2.4379,2.4196,2.4379,735049,0
DUK.US,D,19830524,000000,2.4568,2.4942,2.4568,2.4942,674589,0
DUK.US,D,19830525,000000,2.4942,2.4942,2.4379,2.4379,1006207,0
DUK.US,D,19830526,000000,2.4379,2.4942,2.4379,2.4568,511530,0
DUK.US,D,19830527,000000,2.4568,2.4757,2.4568,2.4757,180645,0
DUK.US,D,19830531,000000,2.4568,2.4757,2.4379,2.4568,1538620,0
DUK.US,D,19830601,000000,2.4568,2.4568,2.4379,2.4379,909471,0
DUK.US,D,19830602,000000,2.4568,2.4568,2.4379,2.4568,1075093,0
DUK.US,D,19830603,000000,2.4757,2.4757,2.4379,2.4568,591778,0
DUK.US,D,19830606,000000,2.4568,2.4568,2.4379,2.4379,621086,0
DUK.US,D,19830607,000000,2.4568,2.4568,2.4379,2.4379,491010,0
DUK.US,D,19830608,000000,2.4379,2.4379,2.4196,2.4196,1245850,0
DUK.US,D,19830609,000000,2.4379,2.4379,2.3821,2.4005,1070329,0
DUK.US,D,19830610,000000,2.4005,2.4196,2.4005,2.4196,300101,0
DUK.US,D,19830613,000000,2.4379,2.4379,2.4005,2.4379,107360,0
DUK.US,D,19830614,000000,2.4196,2.4379,2.4005,2.4196,442277,0
DUK.US,D,19830615,000000,2.4379,2.4379,2.3821,2.4379,228651,0
DUK.US,D,19830616,000000,2.4379,2.4379,2.4196,2.4379,557697,0
DUK.US,D,19830617,000000,2.4379,2.4568,2.4196,2.4379,480748,0
DUK.US,D,19830620,000000,2.4379,2.4379,2.4005,2.4196,490642,0
DUK.US,D,19830621,000000,2.4196,2.4379,2.3067,2.4196,1210304,0
DUK.US,D,19830622,000000,2.4379,2.4379,2.4196,2.4379,984954,0
DUK.US,D,19830623,000000,2.4196,2.4379,2.4005,2.4196,345172,0
DUK.US,D,19830624,000000,2.4196,2.4379,2.4005,2.4005,208495,0
DUK.US,D,19830627,000000,2.4005,2.4196,2.3821,2.4196,279953,0
DUK.US,D,19830628,000000,2.3821,2.4196,2.3821,2.4196,857803,0
DUK.US,D,19830629,000000,2.4196,2.4379,2.4005,2.4196,684485,0
DUK.US,D,19830630,000000,2.4196,2.4379,2.4196,2.4379,282146,0
DUK.US,D,19830701,000000,2.4379,2.4379,2.4005,2.4005,385118,0
DUK.US,D,19830705,000000,2.3821,2.4196,2.3821,2.4005,2260482,0
DUK.US,D,19830706,000000,2.4196,2.4379,2.4005,2.4196,153170,0
DUK.US,D,19830707,000000,2.4379,2.4379,2.4196,2.4379,499802,0
DUK.US,D,19830708,000000,2.4379,2.4379,2.4379,2.4379,541209,0
DUK.US,D,19830711,000000,2.4379,2.4942,2.4379,2.4942,194204,0
DUK.US,D,19830712,000000,2.4568,2.4942,2.4379,2.4568,202263,0
DUK.US,D,19830713,000000,2.4379,2.4942,2.4379,2.4757,403070,0
DUK.US,D,19830714,000000,2.4942,2.4942,2.4757,2.4757,1038086,0
DUK.US,D,19830715,000000,2.4757,2.4757,2.4568,2.4568,841314,0
DUK.US,D,19830718,000000,2.4568,2.4942,2.4568,2.4942,303766,0
DUK.US,D,19830719,000000,2.4757,2.5129,2.4757,2.4942,686679,0
DUK.US,D,19830720,000000,2.5129,2.5507,2.5129,2.5129,671294,0
DUK.US,D,19830721,000000,2.5129,2.5129,2.4942,2.5129,149500,0
DUK.US,D,19830722,000000,2.5129,2.5129,2.4942,2.5129,1248042,0
DUK.US,D,19830725,000000,2.4942,2.5129,2.4942,2.4942,275182,0
DUK.US,D,19830726,000000,2.4942,2.4942,2.4942,2.4942,773160,0
DUK.US,D,19830727,000000,2.4942,2.4942,2.4757,2.4757,1747486,0
DUK.US,D,19830728,000000,2.4942,2.4942,2.4196,2.4196,172584,0
DUK.US,D,19830729,000000,2.4379,2.4379,2.4005,2.4379,3045366,0
DUK.US,D,19830801,000000,2.4196,2.4379,2.3821,2.4196,379980,0
DUK.US,D,19830802,000000,2.4379,2.4942,2.4379,2.4568,1957446,0
DUK.US,D,19830803,000000,2.4568,2.4757,2.4379,2.4568,1380330,0
DUK.US,D,19830804,000000,2.4379,2.4757,2.4379,2.4379,1922274,0
DUK.US,D,19830805,000000,2.4568,2.4568,2.4196,2.4379,1400113,0
DUK.US,D,19830808,000000,2.4196,2.4379,2.4005,2.4196,828126,0
DUK.US,D,19830809,000000,2.4005,2.4379,2.4005,2.4196,408933,0
DUK.US,D,19830810,000000,2.4005,2.4942,2.3821,2.4005,173685,0
DUK.US,D,19830811,000000,2.4005,2.4196,2.3821,2.4005,1656976,0
DUK.US,D,19830812,000000,2.4005,2.4379,2.4005,2.4196,1740526,0
DUK.US,D,19830815,000000,2.4196,2.4379,2.4196,2.4196,4835356,0
DUK.US,D,19830816,000000,2.4196,2.4196,2.4005,2.4196,486250,0
DUK.US,D,19830817,000000,2.4005,2.4196,2.3821,2.4196,3014589,0
DUK.US,D,19830818,000000,2.4196,2.4196,2.4005,2.4005,637214,0
DUK.US,D,19830819,000000,2.4196,2.4196,2.3821,2.4005,620729,0
DUK.US,D,19830822,000000,2.4005,2.4196,2.4005,2.4196,771324,0
DUK.US,D,19830823,000000,2.4196,2.4196,2.4005,2.4005,255400,0
DUK.US,D,19830824,000000,2.4196,2.4196,2.4005,2.4005,271156,0
DUK.US,D,19830825,000000,2.4005,2.4196,2.3821,2.4005,1308138,0
DUK.US,D,19830826,000000,2.4196,2.4196,2.4005,2.4196,219858,0
DUK.US,D,19830829,000000,2.4005,2.4196,2.3821,2.4005,1038086,0
DUK.US,D,19830830,000000,2.4005,2.4196,2.3821,2.4005,861469,0
DUK.US,D,19830831,000000,2.4005,2.4196,2.3821,2.4196,495773,0
DUK.US,D,19830901,000000,2.4196,2.4196,2.4005,2.4196,405635,0
DUK.US,D,19830902,000000,2.4196,2.4196,2.4196,2.4196,516295,0
DUK.US,D,19830906,000000,2.4379,2.4379,2.4196,2.4379,312930,0
DUK.US,D,19830907,000000,2.4379,2.4757,2.4196,2.4568,947209,0
DUK.US,D,19830908,000000,2.4568,2.4757,2.4379,2.4568,124587,0
DUK.US,D,19830909,000000,2.4757,2.4942,2.4568,2.4942,666895,0
DUK.US,D,19830912,000000,2.5129,2.5316,2.4942,2.5129,1701315,0
DUK.US,D,19830913,000000,2.5129,2.5316,2.5129,2.5316,215460,0
DUK.US,D,19830914,000000,2.5316,2.5507,2.4757,2.5316,165624,0
DUK.US,D,19830915,000000,2.5316,2.5316,2.5129,2.5129,170759,0
DUK.US,D,19830916,000000,2.5129,2.5698,2.5129,2.5698,770963,0
DUK.US,D,19830919,000000,2.5698,2.5698,2.5316,2.5698,244775,0
DUK.US,D,19830920,000000,2.5698,2.5883,2.5698,2.5698,1057505,0
DUK.US,D,19830921,000000,2.5698,2.5883,2.4757,2.5883,374123,0
DUK.US,D,19830922,000000,2.5883,2.5883,2.5698,2.5698,195672,0
DUK.US,D,19830923,000000,2.5883,2.5883,2.5507,2.5698,600209,0
DUK.US,D,19830926,000000,2.5698,2.6256,2.5698,2.6256,258337,0
DUK.US,D,19830927,000000,2.6071,2.6256,2.5883,2.6071,533151,0
DUK.US,D,19830928,000000,2.6256,2.6256,2.6071,2.6256,824091,0
DUK.US,D,19830929,000000,2.6071,2.6256,2.6071,2.6071,735784,0
DUK.US,D,19830930,000000,2.6256,2.6444,2.6071,2.6444,582615,0
DUK.US,D,19831003,000000,2.6444,2.6818,2.6256,2.6818,361659,0
DUK.US,D,19831004,000000,2.6818,2.7755,2.6818,2.7755,1584059,0
DUK.US,D,19831005,000000,2.7755,2.7755,2.7381,2.7755,2350256,0
DUK.US,D,19831006,000000,2.7755,2.8129,2.7381,2.8129,1415505,0
DUK.US,D,19831007,000000,2.7945,2.7945,2.7381,2.7755,2446989,0
DUK.US,D,19831010,000000,2.757,2.7755,2.757,2.7755,92707,0
DUK.US,D,19831011,000000,2.757,2.7755,2.7009,2.7195,1122727,0
DUK.US,D,19831012,000000,2.7009,2.7195,2.6631,2.6818,407467,0
DUK.US,D,19831013,000000,2.6818,2.6818,2.6631,2.6818,183213,0
DUK.US,D,19831014,000000,2.7009,2.7195,2.6818,2.6818,705372,0
DUK.US,D,19831017,000000,2.7195,2.7195,2.6818,2.7195,582615,0
DUK.US,D,19831018,000000,2.7195,2.7381,2.7195,2.7195,988984,0
DUK.US,D,19831019,000000,2.7195,2.7381,2.7195,2.7381,507869,0
DUK.US,D,19831020,000000,2.7381,2.7755,2.7381,2.757,732121,0
DUK.US,D,19831021,000000,2.7755,2.7755,2.7381,2.7755,990448,0
DUK.US,D,19831024,000000,2.757,2.7755,2.7381,2.7755,1204440,0
DUK.US,D,19831025,000000,2.7755,2.7945,2.7755,2.7945,121652,0
DUK.US,D,19831026,000000,2.7945,2.8318,2.7945,2.8318,333080,0
DUK.US,D,19831027,000000,2.8318,2.8694,2.8129,2.8318,1869140,0
DUK.US,D,19831028,000000,2.8318,2.8506,2.8318,2.8506,1019761,0
DUK.US,D,19831031,000000,2.8506,2.8506,2.8318,2.8506,1600547,0
DUK.US,D,19831101,000000,2.8506,2.8881,2.8318,2.8694,1231557,0
DUK.US,D,19831102,000000,2.8694,2.8881,2.8506,2.8881,1098177,0
