<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECAT.US,D,20210929,000000,20.02,20.09,20.02,20.08,858015,0
ECAT.US,D,20210930,000000,20.09,20.14,20.05,20.1,347908,0
ECAT.US,D,20211001,000000,20.11,20.19,20.07,20.15,229005,0
ECAT.US,D,20211004,000000,20.18,20.18,20.01,20.02,438074,0
ECAT.US,D,20211005,000000,20.05,20.05,20,20.01,800036,0
ECAT.US,D,20211006,000000,20,20.04,20,20.04,2018861,0
ECAT.US,D,20211007,000000,20.02,20.0799,20,20.03,252373,0
ECAT.US,D,20211008,000000,20.02,20.05,20,20.01,169164,0
ECAT.US,D,20211011,000000,20.03,20.03,20.01,20.01,99565,0
ECAT.US,D,20211012,000000,20.01,20.03,20,20,322868,0
ECAT.US,D,20211013,000000,20.02,20.04,20,20.01,137611,0
ECAT.US,D,20211014,000000,20.02,20.06,20,20.02,156856,0
ECAT.US,D,20211015,000000,20.02,20.03,20,20.01,161889,0
ECAT.US,D,20211018,000000,20,20.04,20,20.01,135037,0
ECAT.US,D,20211019,000000,20,20.015,20,20,196435,0
ECAT.US,D,20211020,000000,20,20.01,20,20.01,134697,0
ECAT.US,D,20211021,000000,20,20.01,20,20,291044,0
ECAT.US,D,20211022,000000,20.01,20.01,20,20,271848,0
ECAT.US,D,20211025,000000,20,20.03,20,20,186575,0
ECAT.US,D,20211026,000000,20,20.01,20,20,124144,0
ECAT.US,D,20211027,000000,20,20.01,20,20,199230,0
ECAT.US,D,20211028,000000,20,20.02,20,20,1622092,0
ECAT.US,D,20211029,000000,20,20.01,20,20.01,179046,0
ECAT.US,D,20211101,000000,19.95,19.95,19.6,19.64,126221,0
ECAT.US,D,20211102,000000,19.68,19.777,19.36,19.5913,180542,0
ECAT.US,D,20211103,000000,19.6,19.74,19.51,19.635,164079,0
ECAT.US,D,20211104,000000,19.68,19.68,19.52,19.54,91350,0
ECAT.US,D,20211105,000000,19.5,19.73,19.45,19.5,133515,0
ECAT.US,D,20211108,000000,19.64,19.78,19.5,19.68,70428,0
ECAT.US,D,20211109,000000,19.56,19.7,19.51,19.58,60262,0
ECAT.US,D,20211110,000000,19.53,19.75,19.5,19.69,112649,0
ECAT.US,D,20211111,000000,19.74,19.74,19.46,19.55,72281,0
ECAT.US,D,20211112,000000,19.53,19.73,19.5,19.56,99139,0
ECAT.US,D,20211115,000000,19.34,19.6436,19.34,19.49,105103,0
ECAT.US,D,20211116,000000,19.4,19.7,19.4,19.58,151002,0
ECAT.US,D,20211117,000000,19.5,19.75,19.48,19.55,187461,0
ECAT.US,D,20211118,000000,19.48,19.65,19.43,19.52,157269,0
ECAT.US,D,20211119,000000,19.59,19.6,19.4,19.48,76734,0
ECAT.US,D,20211122,000000,19.45,19.54,19.2,19.4,206635,0
ECAT.US,D,20211123,000000,19.52,19.5698,19.14,19.3,166233,0
ECAT.US,D,20211124,000000,19.3,19.3,19,19.08,184218,0
ECAT.US,D,20211126,000000,19.01,19.22,19,19.12,74676,0
ECAT.US,D,20211129,000000,19.14,19.1817,18.72,18.91,288420,0
ECAT.US,D,20211130,000000,18.81,18.89,18.51,18.63,301277,0
ECAT.US,D,20211201,000000,18.47,18.9,18.45,18.66,326830,0
ECAT.US,D,20211202,000000,18.54,18.7,18.45,18.67,450235,0
