<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EERN.US,D,20210804,000000,25.044,25.044,25.01,25.01,399,0
EERN.US,D,20210805,000000,25.046,25.046,25.046,25.046,3,0
EERN.US,D,20210806,000000,25.008,25.008,25.008,25.008,10,0
EERN.US,D,20210809,000000,25.043,25.043,25.043,25.043,3,0
EERN.US,D,20210810,000000,25.056,25.056,25.056,25.056,2,0
EERN.US,D,20210811,000000,25.099,25.099,25.099,25.099,10,0
EERN.US,D,20210812,000000,25.083,25.083,25.083,25.083,51,0
EERN.US,D,20210813,000000,25.083,25.083,25.083,25.083,1,0
EERN.US,D,20210816,000000,25.058,25.058,25.058,25.058,2,0
EERN.US,D,20210817,000000,25.053,25.053,25.009,25.009,153,0
EERN.US,D,20210818,000000,25.005,25.005,25.005,25.005,4,0
EERN.US,D,20210819,000000,24.953,24.953,24.953,24.953,3,0
EERN.US,D,20210820,000000,24.94,24.94,24.94,24.94,7,0
EERN.US,D,20210823,000000,24.847,24.847,24.847,24.847,2,0
EERN.US,D,20210824,000000,24.881,24.881,24.881,24.881,192,0
EERN.US,D,20210825,000000,24.897,24.897,24.897,24.897,51,0
EERN.US,D,20210826,000000,24.821,24.821,24.821,24.821,2,0
EERN.US,D,20210827,000000,24.935,24.935,24.935,24.935,2,0
EERN.US,D,20210830,000000,24.938,24.938,24.938,24.938,72,0
EERN.US,D,20210831,000000,24.975,24.975,24.975,24.975,3,0
EERN.US,D,20210901,000000,24.921,24.921,24.921,24.921,1,0
EERN.US,D,20210902,000000,24.892,24.892,24.892,24.892,2,0
EERN.US,D,20210903,000000,24.747,24.747,24.747,24.747,3,0
EERN.US,D,20210907,000000,24.724,24.724,24.724,24.724,4,0
EERN.US,D,20210908,000000,24.763,24.763,24.763,24.763,1,0
EERN.US,D,20210909,000000,24.761,24.761,24.761,24.761,1,0
EERN.US,D,20210910,000000,24.77,24.77,24.77,24.77,1,0
EERN.US,D,20210913,000000,24.729,24.729,24.729,24.729,1,0
EERN.US,D,20210914,000000,24.664,24.664,24.664,24.664,1,0
EERN.US,D,20210915,000000,24.707,24.707,24.707,24.707,1,0
EERN.US,D,20210916,000000,24.687,24.687,24.687,24.687,9,0
EERN.US,D,20210917,000000,24.593,24.593,24.593,24.593,32,0
EERN.US,D,20210920,000000,24.208,24.208,24.208,24.208,10,0
EERN.US,D,20210921,000000,24.358,24.358,24.358,24.358,1,0
EERN.US,D,20210922,000000,24.535,24.535,24.535,24.535,31,0
EERN.US,D,20210923,000000,24.545,24.545,24.545,24.545,2,0
EERN.US,D,20210924,000000,24.413,24.413,24.357,24.357,102,0
EERN.US,D,20210927,000000,24.114,24.114,24.114,24.114,2,0
EERN.US,D,20210928,000000,23.825,23.825,23.825,23.825,1,0
EERN.US,D,20210929,000000,23.903,23.903,23.903,23.903,2,0
EERN.US,D,20210930,000000,23.97,23.97,23.97,23.97,1,0
EERN.US,D,20211001,000000,24.008,24.008,24.008,24.008,1,0
EERN.US,D,20211004,000000,24.085,24.085,24.085,24.085,1,0
EERN.US,D,20211005,000000,24.214,24.326,24.214,24.326,235,0
EERN.US,D,20211006,000000,24.379,24.379,24.379,24.379,2,0
EERN.US,D,20211007,000000,24.495,24.495,24.495,24.495,3,0
EERN.US,D,20211008,000000,24.549,24.549,24.549,24.549,1,0
EERN.US,D,20211011,000000,24.568,24.568,24.568,24.568,4,0
EERN.US,D,20211012,000000,24.521,24.521,24.521,24.521,1,0
EERN.US,D,20211013,000000,24.52,24.52,24.52,24.52,4,0
EERN.US,D,20211014,000000,24.627,24.627,24.627,24.627,1,0
EERN.US,D,20211015,000000,24.594,24.594,24.594,24.594,1,0
EERN.US,D,20211018,000000,24.58,24.58,24.58,24.58,1,0
EERN.US,D,20211019,000000,24.634,24.634,24.634,24.634,1,0
EERN.US,D,20211020,000000,24.581,24.581,24.581,24.581,137,0
EERN.US,D,20211021,000000,24.507,24.507,24.507,24.507,2,0
EERN.US,D,20211022,000000,24.508,24.508,24.508,24.508,2,0
EERN.US,D,20211025,000000,24.357,24.357,24.357,24.357,2,0
EERN.US,D,20211026,000000,24.35,24.35,24.35,24.35,2,0
EERN.US,D,20211027,000000,24.329,24.329,24.329,24.329,2,0
EERN.US,D,20211028,000000,24.447,24.447,24.447,24.447,2,0
EERN.US,D,20211029,000000,24.53,24.53,24.53,24.53,1,0
EERN.US,D,20211101,000000,24.5334,24.5334,24.5334,24.5334,7,0
EERN.US,D,20211102,000000,24.6365,24.6365,24.6365,24.6365,2,0
EERN.US,D,20211103,000000,24.6896,24.6896,24.6896,24.6896,2,0
EERN.US,D,20211104,000000,24.6793,24.6793,24.6793,24.6793,2,0
EERN.US,D,20211105,000000,24.7179,24.7179,24.7179,24.7179,6,0
EERN.US,D,20211108,000000,25.04,25.04,24.67,24.7592,706,0
EERN.US,D,20211109,000000,24.7688,24.7688,24.7688,24.7688,7,0
EERN.US,D,20211110,000000,24.6527,24.6527,24.6527,24.6527,59,0
EERN.US,D,20211111,000000,24.6072,24.6072,24.6072,24.6072,2,0
EERN.US,D,20211112,000000,24.5883,24.5883,24.5883,24.5883,1,0
EERN.US,D,20211115,000000,24.5356,24.5356,24.5356,24.5356,2,0
EERN.US,D,20211116,000000,24.53,24.53,24.53,24.53,30,0
EERN.US,D,20211117,000000,24.4783,24.4783,24.4783,24.4783,1,0
EERN.US,D,20211118,000000,24.3588,24.3588,24.3588,24.3588,5,0
EERN.US,D,20211119,000000,24.3169,24.3169,24.3169,24.3169,1,0
EERN.US,D,20211122,000000,24.1187,24.1187,24.1187,24.1187,40,0
EERN.US,D,20211123,000000,24.0077,24.0077,24.0077,24.0077,1,0
EERN.US,D,20211124,000000,24.0665,24.0665,24.0665,24.0665,1,0
EERN.US,D,20211126,000000,23.8572,23.8572,23.8572,23.8572,55,0
EERN.US,D,20211129,000000,23.9266,23.9266,23.9266,23.9266,55,0
EERN.US,D,20211130,000000,23.7241,23.7241,23.7241,23.7241,55,0
EERN.US,D,20211201,000000,23.4495,23.4495,23.4495,23.4495,2,0
EERN.US,D,20211202,000000,23.4338,23.4338,23.4338,23.4338,1,0
EERN.US,D,20211203,000000,23.3094,23.3094,23.3094,23.3094,2,0
EERN.US,D,20211206,000000,23.4557,23.4557,23.4557,23.4557,3,0
EERN.US,D,20211207,000000,23.6404,23.6404,23.6404,23.6404,3,0
EERN.US,D,20211208,000000,23.589,23.589,23.589,23.589,1,0
EERN.US,D,20211209,000000,23.6144,23.6144,23.6144,23.6144,1,0
EERN.US,D,20211210,000000,23.5832,23.5832,23.5832,23.5832,43,0
EERN.US,D,20211213,000000,23.4192,23.4192,23.4192,23.4192,1,0
EERN.US,D,20211214,000000,23.2715,23.2715,23.2715,23.2715,1,0
EERN.US,D,20211215,000000,23.2712,23.2712,23.2712,23.2712,1,0
EERN.US,D,20211216,000000,23.2934,23.2934,23.2934,23.2934,1,0
EERN.US,D,20211217,000000,23.3467,23.3467,23.3467,23.3467,9,0
EERN.US,D,20211220,000000,22.9775,22.9775,22.9775,22.9775,2,0
EERN.US,D,20211221,000000,23.1394,23.1394,23.1394,23.1394,1,0
EERN.US,D,20211222,000000,23.3075,23.3075,23.3075,23.3075,1,0
EERN.US,D,20211223,000000,23.58,23.58,23.5765,23.5765,214501,0
EERN.US,D,20211227,000000,23.7638,23.7638,23.7253,23.7253,210481,0
EERN.US,D,20211228,000000,23.8821,23.8821,23.7225,23.7225,209379,0
EERN.US,D,20211229,000000,23.8957,23.8957,23.7839,23.7839,209242,0
EERN.US,D,20211230,000000,23.7476,23.7476,23.7476,23.7476,12,0
EERN.US,D,20211231,000000,23.47,24.0634,23.47,23.9749,208179,0
EERN.US,D,20220103,000000,24.0844,24.0844,24.0844,24.0844,4,0
EERN.US,D,20220104,000000,24.2091,24.2091,24.2091,24.2091,5,0
EERN.US,D,20220105,000000,23.9996,23.9996,23.9996,23.9996,53,0
EERN.US,D,20220106,000000,24.0581,24.0581,24.0581,24.0581,50,0
EERN.US,D,20220107,000000,24.1279,24.1279,24.1279,24.1279,50,0
EERN.US,D,20220110,000000,24.1026,24.1026,24.1026,24.1026,30,0
EERN.US,D,20220111,000000,24.2237,24.2237,24.2237,24.2237,3,0
EERN.US,D,20220112,000000,24.2398,24.2398,24.2398,24.2398,1,0
EERN.US,D,20220113,000000,24.1933,24.1933,24.1466,24.1466,401,0
EERN.US,D,20220114,000000,23.9484,23.9484,23.9484,23.9484,50,0
EERN.US,D,20220118,000000,23.7376,23.7376,23.7376,23.7376,1,0
