<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EIG.US,D,20070130,000000,14.186,14.186,14.186,14.186,0,0
EIG.US,D,20070131,000000,16.691,16.854,16.113,16.665,19050854,0
EIG.US,D,20070201,000000,16.505,16.647,16.187,16.603,2366749,0
EIG.US,D,20070202,000000,16.452,16.566,16.255,16.522,548510,0
EIG.US,D,20070205,000000,16.522,16.579,16.187,16.438,571641,0
EIG.US,D,20070206,000000,16.395,16.898,16.341,16.733,1193862,0
EIG.US,D,20070207,000000,16.733,17.399,16.733,17.241,1397711,0
EIG.US,D,20070208,000000,17.034,17.512,16.941,17.09,774060,0
EIG.US,D,20070209,000000,16.966,17.399,16.95,17.231,784605,0
EIG.US,D,20070212,000000,17.145,17.521,17.106,17.315,792387,0
EIG.US,D,20070213,000000,17.19,17.512,16.522,17.224,1475177,0
EIG.US,D,20070214,000000,17.145,19.111,17.145,19.016,430085,0
EIG.US,D,20070215,000000,18.664,18.664,17.78,18.36,886469,0
EIG.US,D,20070216,000000,18.064,19.159,17.818,19.111,1396877,0
EIG.US,D,20070220,000000,18.901,19.901,18.484,19.442,390800,0
EIG.US,D,20070221,000000,19.275,19.397,18.439,18.723,253708,0
EIG.US,D,20070222,000000,18.878,18.958,18.474,18.775,210920,0
EIG.US,D,20070223,000000,18.609,18.69,17.949,18.193,551632,0
EIG.US,D,20070226,000000,18.022,18.193,16.898,17.771,590823,0
EIG.US,D,20070227,000000,17.333,17.438,16.48,16.7,1076657,0
EIG.US,D,20070228,000000,16.603,17.024,16.549,17.024,495186,0
EIG.US,D,20070301,000000,16.811,17.064,16.53,16.933,337714,0
EIG.US,D,20070302,000000,16.854,16.941,16.691,16.762,138779,0
EIG.US,D,20070305,000000,16.682,17.136,16.682,16.898,194506,0
EIG.US,D,20070306,000000,16.898,17.315,16.898,17.071,142250,0
EIG.US,D,20070307,000000,15.019,17.279,15.019,16.984,138893,0
EIG.US,D,20070308,000000,16.984,17.106,16.941,17.014,293131,0
EIG.US,D,20070309,000000,17.024,17.09,16.682,16.787,215475,0
EIG.US,D,20070312,000000,16.772,16.811,16.387,16.778,206128,0
EIG.US,D,20070313,000000,16.715,16.742,16.382,16.47,521189,0
EIG.US,D,20070314,000000,16.619,16.647,16.113,16.239,631802,0
EIG.US,D,20070315,000000,16.239,16.239,16.071,16.172,245436,0
EIG.US,D,20070316,000000,16.187,16.357,15.813,16.078,616825,0
EIG.US,D,20070319,000000,16.187,16.214,16.025,16.062,572602,0
EIG.US,D,20070320,000000,15.894,16.214,15.689,15.997,725160,0
EIG.US,D,20070321,000000,16.078,16.864,15.864,16.656,904440,0
EIG.US,D,20070322,000000,16.656,17.447,16.522,16.691,799461,0
EIG.US,D,20070323,000000,16.691,16.966,16.589,16.845,553547,0
EIG.US,D,20070326,000000,16.762,16.821,16.187,16.222,468945,0
EIG.US,D,20070327,000000,16.121,16.665,15.772,15.936,711980,0
EIG.US,D,20070328,000000,15.857,16.43,15.813,16.357,547677,0
EIG.US,D,20070329,000000,16.438,16.762,16.387,16.715,853869,0
EIG.US,D,20070330,000000,16.572,16.996,16.154,16.708,4382006,0
EIG.US,D,20070402,000000,16.438,16.724,15.988,16.222,962210,0
EIG.US,D,20070403,000000,16.349,16.628,16.046,16.522,1128066,0
EIG.US,D,20070404,000000,16.357,16.715,16.231,16.647,631685,0
EIG.US,D,20070405,000000,16.619,16.778,16.522,16.628,273721,0
EIG.US,D,20070409,000000,16.603,16.854,16.513,16.647,521551,0
EIG.US,D,20070410,000000,16.619,16.691,16.366,16.557,781247,0
EIG.US,D,20070411,000000,16.557,16.811,16.47,16.733,696278,0
EIG.US,D,20070412,000000,16.691,16.845,16.495,16.828,437903,0
EIG.US,D,20070413,000000,16.845,17.08,16.787,16.905,948425,0
EIG.US,D,20070416,000000,17.08,17.521,17.005,17.407,618983,0
EIG.US,D,20070417,000000,17.359,17.415,17.064,17.097,503095,0
EIG.US,D,20070418,000000,16.966,17.27,16.772,16.795,406623,0
EIG.US,D,20070419,000000,16.691,17.248,16.674,16.879,438505,0
EIG.US,D,20070420,000000,17.366,17.366,16.708,16.762,611191,0
EIG.US,D,20070423,000000,16.787,16.996,16.566,16.613,640312,0
EIG.US,D,20070424,000000,16.613,16.757,16.489,16.589,547077,0
EIG.US,D,20070425,000000,16.025,16.691,16.025,16.619,655534,0
EIG.US,D,20070426,000000,16.566,16.708,16.489,16.596,808212,0
EIG.US,D,20070427,000000,16.596,16.682,16.452,16.522,538328,0
EIG.US,D,20070430,000000,16.557,16.762,16.48,16.549,948910,0
EIG.US,D,20070501,000000,16.549,16.7,16.505,16.656,611435,0
EIG.US,D,20070502,000000,16.637,16.691,16.53,16.613,645587,0
EIG.US,D,20070503,000000,16.603,16.682,16.395,16.549,392243,0
EIG.US,D,20070504,000000,16.522,16.674,16.404,16.674,615987,0
EIG.US,D,20070507,000000,16.674,16.691,16.421,16.647,250588,0
EIG.US,D,20070508,000000,16.549,16.603,16.323,16.505,359764,0
EIG.US,D,20070509,000000,16.48,16.674,16.255,16.288,2341224,0
EIG.US,D,20070510,000000,16.245,16.373,16.062,16.121,519393,0
EIG.US,D,20070511,000000,16.197,16.708,16.145,16.462,665722,0
EIG.US,D,20070514,000000,16.48,16.879,16.349,16.452,733911,0
EIG.US,D,20070515,000000,16.452,17.08,16.373,16.438,683339,0
EIG.US,D,20070516,000000,16.438,17.263,16.373,17.097,525627,0
EIG.US,D,20070517,000000,17.231,17.231,16.845,16.845,329805,0
EIG.US,D,20070518,000000,16.854,17.224,16.522,17.106,509568,0
EIG.US,D,20070521,000000,17.145,17.529,16.879,17.315,569129,0
EIG.US,D,20070522,000000,17.18,17.591,16.821,17.573,840564,0
EIG.US,D,20070523,000000,18.313,18.313,17.556,17.658,460792,0
EIG.US,D,20070524,000000,17.624,17.771,16.7,16.898,935841,0
EIG.US,D,20070525,000000,16.996,17.248,16.924,17.128,225779,0
EIG.US,D,20070529,000000,17.256,17.256,17.08,17.224,186953,0
EIG.US,D,20070530,000000,17.024,17.79,16.914,17.674,434667,0
EIG.US,D,20070531,000000,17.666,17.857,17.616,17.69,365877,0
EIG.US,D,20070601,000000,17.8,17.957,17.7,17.857,322131,0
EIG.US,D,20070604,000000,17.857,17.941,17.521,17.771,623178,0
EIG.US,D,20070605,000000,17.674,17.74,17.521,17.63,805460,0
EIG.US,D,20070606,000000,17.512,17.638,17.429,17.63,242799,0
EIG.US,D,20070607,000000,17.564,17.674,17.399,17.583,327048,0
EIG.US,D,20070608,000000,17.573,17.932,17.573,17.809,211278,0
EIG.US,D,20070611,000000,17.818,18.008,17.748,17.826,303682,0
EIG.US,D,20070612,000000,17.748,18.056,17.556,17.69,292293,0
EIG.US,D,20070613,000000,17.69,18.211,17.666,18.184,340590,0
EIG.US,D,20070614,000000,18.184,18.577,18.175,18.384,303682,0
EIG.US,D,20070615,000000,18.892,18.892,18.313,18.415,524066,0
EIG.US,D,20070618,000000,18.424,18.474,18.091,18.332,156634,0
EIG.US,D,20070619,000000,18.332,18.584,18.081,18.439,385411,0
EIG.US,D,20070620,000000,18.439,18.439,18.287,18.37,250947,0
