<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMR.US,D,19820104,000000,1.4495,1.4713,1.4276,1.4276,599356,0
EMR.US,D,19820105,000000,1.4133,1.4276,1.3991,1.3991,440409,0
EMR.US,D,19820106,000000,1.3843,1.3915,1.3772,1.3843,715251,0
EMR.US,D,19820107,000000,1.3915,1.406,1.3772,1.3991,435444,0
EMR.US,D,19820108,000000,1.4207,1.435,1.3991,1.4276,447031,0
EMR.US,D,19820111,000000,1.4207,1.435,1.406,1.406,213584,0
EMR.US,D,19820112,000000,1.3991,1.4133,1.3843,1.3915,486767,0
EMR.US,D,19820113,000000,1.3772,1.3915,1.3624,1.3624,592728,0
EMR.US,D,19820114,000000,1.348,1.3843,1.3117,1.37,750020,0
EMR.US,D,19820115,000000,1.3843,1.3991,1.37,1.3991,357624,0
EMR.US,D,19820118,000000,1.3843,1.3915,1.3772,1.3843,216894,0
EMR.US,D,19820119,000000,1.3991,1.406,1.3915,1.406,687103,0
EMR.US,D,19820120,000000,1.3991,1.406,1.3915,1.3991,1197051,0
EMR.US,D,19820121,000000,1.3915,1.3991,1.3843,1.3843,836116,0
EMR.US,D,19820122,000000,1.3843,1.3915,1.37,1.3843,803004,0
EMR.US,D,19820125,000000,1.3915,1.3991,1.3843,1.3915,534782,0
EMR.US,D,19820126,000000,1.3915,1.3991,1.3772,1.3843,630815,0
EMR.US,D,19820127,000000,1.3772,1.3843,1.3624,1.3843,584448,0
EMR.US,D,19820128,000000,1.3915,1.3991,1.3772,1.3915,1519910,0
EMR.US,D,19820129,000000,1.3991,1.406,1.3915,1.406,1726871,0
EMR.US,D,19820201,000000,1.3991,1.406,1.3915,1.3991,379151,0
EMR.US,D,19820202,000000,1.3991,1.406,1.3843,1.3915,1202018,0
EMR.US,D,19820203,000000,1.3991,1.406,1.3843,1.3915,374184,0
EMR.US,D,19820204,000000,1.3991,1.406,1.3915,1.3991,490081,0
EMR.US,D,19820205,000000,1.406,1.4207,1.3915,1.4133,1182155,0
EMR.US,D,19820208,000000,1.4276,1.4276,1.4207,1.4276,619222,0
EMR.US,D,19820209,000000,1.4133,1.4207,1.3991,1.406,382464,0
EMR.US,D,19820210,000000,1.4133,1.4207,1.406,1.4133,488425,0
EMR.US,D,19820211,000000,1.3991,1.4133,1.3772,1.3772,448692,0
EMR.US,D,19820212,000000,1.3915,1.3991,1.37,1.3772,413916,0
EMR.US,D,19820216,000000,1.37,1.3772,1.348,1.3552,491734,0
EMR.US,D,19820217,000000,1.3552,1.3624,1.348,1.3552,1180496,0
EMR.US,D,19820218,000000,1.3552,1.37,1.3407,1.3407,1274866,0
EMR.US,D,19820219,000000,1.348,1.3552,1.3407,1.3407,491734,0
EMR.US,D,19820222,000000,1.3337,1.3552,1.319,1.319,1029833,0
