<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQR.US,D,19930812,000000,4.731,4.731,4.4654,4.6646,10829256,0
EQR.US,D,19930813,000000,4.6463,4.6463,4.5255,4.5255,1057391,0
EQR.US,D,19930816,000000,4.5255,4.568,4.5013,4.568,462577,0
EQR.US,D,19930817,000000,4.568,4.6041,4.5439,4.586,451486,0
EQR.US,D,19930818,000000,4.586,4.586,4.586,4.586,388267,0
EQR.US,D,19930819,000000,4.586,4.586,4.5013,4.5013,338784,0
EQR.US,D,19930820,000000,4.5255,4.586,4.5255,4.5439,447514,0
EQR.US,D,19930823,000000,4.5439,4.586,4.5255,4.568,277712,0
EQR.US,D,19930824,000000,4.568,4.6284,4.568,4.6284,193969,0
EQR.US,D,19930825,000000,4.586,4.586,4.568,4.568,84901,0
EQR.US,D,19930826,000000,4.568,4.6646,4.568,4.6646,149283,0
EQR.US,D,19930827,000000,4.6646,4.6646,4.586,4.6041,98971,0
EQR.US,D,19930830,000000,4.586,4.6463,4.586,4.6041,59085,0
EQR.US,D,19930831,000000,4.6041,4.707,4.6041,4.6886,121644,0
EQR.US,D,19930901,000000,4.707,4.731,4.6646,4.6646,117172,0
EQR.US,D,19930902,000000,4.731,4.731,4.6886,4.731,180069,0
EQR.US,D,19930903,000000,4.707,4.8277,4.707,4.7673,147958,0
EQR.US,D,19930907,000000,4.749,4.8277,4.749,4.7913,138692,0
EQR.US,D,19930908,000000,4.8277,4.852,4.731,4.731,228559,0
EQR.US,D,19930909,000000,4.731,4.852,4.731,4.7673,61570,0
EQR.US,D,19930910,000000,4.749,4.9727,4.749,4.9305,202743,0
EQR.US,D,19930913,000000,4.8701,4.8939,4.852,4.8939,207869,0
EQR.US,D,19930914,000000,4.8098,4.8277,4.749,4.8098,105097,0
EQR.US,D,19930915,000000,4.8098,4.8098,4.749,4.8098,134388,0
EQR.US,D,19930916,000000,4.852,4.852,4.7913,4.852,73482,0
EQR.US,D,19930917,000000,4.8277,4.9124,4.8098,4.9124,93508,0
EQR.US,D,19930920,000000,4.8639,4.9061,4.8458,4.8458,12742,0
EQR.US,D,19930921,000000,4.8821,4.8821,4.8216,4.8639,236671,0
