<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETJ.US,D,20070726,000000,6.5904,6.5904,6.5904,6.5904,0,0
ETJ.US,D,20070727,000000,6.5904,6.5976,6.5904,6.5904,2381655,0
ETJ.US,D,20070730,000000,6.6086,6.6563,6.5904,6.5904,214753,0
ETJ.US,D,20070731,000000,6.5904,6.6271,6.5904,6.5904,255258,0
ETJ.US,D,20070801,000000,6.5904,6.6049,6.5904,6.5904,280466,0
ETJ.US,D,20070802,000000,6.5904,6.6049,6.4855,6.5904,1937483,0
ETJ.US,D,20070803,000000,6.5976,6.6029,6.5904,6.5904,112649,0
ETJ.US,D,20070806,000000,6.5904,6.6086,6.5904,6.5904,600252,0
ETJ.US,D,20070807,000000,6.5904,6.5976,6.5904,6.5904,207710,0
ETJ.US,D,20070808,000000,6.5904,6.6086,6.5904,6.5904,129089,0
ETJ.US,D,20070809,000000,6.5904,6.6086,6.5904,6.5904,186882,0
ETJ.US,D,20070810,000000,6.5904,6.6029,6.5904,6.5904,373762,0
ETJ.US,D,20070813,000000,6.5904,6.595,6.5904,6.5904,340027,0
ETJ.US,D,20070814,000000,6.5904,6.595,6.5763,6.5904,979008,0
ETJ.US,D,20070815,000000,6.5904,6.595,6.5904,6.5904,1439033,0
ETJ.US,D,20070816,000000,6.5904,6.595,6.0983,6.0983,4525388,0
ETJ.US,D,20070817,000000,6.179,6.2315,6.0983,6.118,281646,0
ETJ.US,D,20070820,000000,6.118,6.1604,6.0983,6.1011,367024,0
ETJ.US,D,20070821,000000,6.0983,6.1278,6.0983,6.1011,429793,0
ETJ.US,D,20070822,000000,6.1085,6.3779,6.1085,6.3607,171930,0
ETJ.US,D,20070823,000000,6.3291,6.4824,6.3125,6.4223,144633,0
ETJ.US,D,20070824,000000,6.3873,6.5079,6.3746,6.3849,136425,0
ETJ.US,D,20070827,000000,6.3746,6.3849,6.2613,6.2613,309506,0
ETJ.US,D,20070828,000000,6.2676,6.2846,6.2613,6.2613,555956,0
ETJ.US,D,20070829,000000,6.2676,6.2829,6.2613,6.2613,434209,0
ETJ.US,D,20070830,000000,6.2613,6.3361,6.2613,6.2613,397831,0
ETJ.US,D,20070831,000000,6.2613,6.2676,6.2613,6.2613,394594,0
ETJ.US,D,20070904,000000,6.2613,6.3398,6.197,6.2613,373762,0
ETJ.US,D,20070905,000000,6.2643,6.3421,6.2613,6.2829,286920,0
ETJ.US,D,20070906,000000,6.31,6.357,6.2613,6.2722,385499,0
ETJ.US,D,20070907,000000,6.2722,6.2755,6.2613,6.2613,240866,0
ETJ.US,D,20070910,000000,6.2676,6.2676,6.179,6.179,219153,0
ETJ.US,D,20070911,000000,6.1905,6.2134,6.179,6.179,306878,0
ETJ.US,D,20070912,000000,6.1755,6.2415,6.1727,6.2415,253471,0
ETJ.US,D,20070913,000000,6.2613,6.3779,6.2014,6.3421,247906,0
ETJ.US,D,20070914,000000,6.2415,6.3779,6.2415,6.3461,140235,0
ETJ.US,D,20070917,000000,6.3421,6.3461,6.197,6.2014,258457,0
ETJ.US,D,20070918,000000,6.2095,6.2755,6.1858,6.2056,254949,0
ETJ.US,D,20070919,000000,6.1858,6.2376,6.0127,6.157,411607,0
ETJ.US,D,20070920,000000,6.1629,6.2315,6.1278,6.179,324487,0
ETJ.US,D,20070921,000000,6.1905,6.3291,6.1858,6.3125,369061,0
ETJ.US,D,20070924,000000,6.3125,6.3779,6.197,6.197,301600,0
ETJ.US,D,20070925,000000,6.1824,6.2207,6.179,6.179,603187,0
