<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETR.US,D,19811231,000000,2.4218,2.4468,2.4033,2.4468,308699,0
ETR.US,D,19820104,000000,2.4468,2.4719,2.4218,2.4468,327491,0
ETR.US,D,19820105,000000,2.4468,2.4468,2.4218,2.4468,173940,0
ETR.US,D,19820106,000000,2.4218,2.4468,2.4033,2.4218,266942,0
ETR.US,D,19820107,000000,2.4218,2.4468,2.4033,2.4218,490839,0
ETR.US,D,19820108,000000,2.4966,2.5215,2.4468,2.5215,163022,0
ETR.US,D,19820111,000000,2.4719,2.4966,2.4468,2.4468,143587,0
ETR.US,D,19820112,000000,2.4468,2.4468,2.4218,2.4468,153391,0
ETR.US,D,19820113,000000,2.4468,2.4719,2.4218,2.4468,86574,0
ETR.US,D,19820114,000000,2.4468,2.4719,2.4218,2.4719,92996,0
ETR.US,D,19820115,000000,2.4468,2.4719,2.4218,2.4468,91392,0
ETR.US,D,19820118,000000,2.4468,2.4719,2.4218,2.4719,130259,0
ETR.US,D,19820119,000000,2.4719,2.4719,2.4468,2.4719,103113,0
ETR.US,D,19820120,000000,2.4719,2.4719,2.4468,2.4719,263086,0
ETR.US,D,19820121,000000,2.4468,2.4719,2.4218,2.4719,153064,0
ETR.US,D,19820122,000000,2.4966,2.5215,2.4468,2.4719,144716,0
ETR.US,D,19820125,000000,2.4719,2.4719,2.4468,2.4719,367486,0
ETR.US,D,19820126,000000,2.4719,2.4966,2.4468,2.4966,156441,0
ETR.US,D,19820127,000000,2.4966,2.5215,2.4719,2.4966,168008,0
ETR.US,D,19820128,000000,2.5215,2.5464,2.4966,2.5464,703492,0
ETR.US,D,19820129,000000,2.5714,2.5714,2.5464,2.5714,174746,0
ETR.US,D,19820201,000000,2.5215,2.5464,2.4719,2.4966,266459,0
ETR.US,D,19820202,000000,2.4966,2.5215,2.4719,2.4719,115965,0
ETR.US,D,19820203,000000,2.4966,2.4966,2.4719,2.4719,124636,0
ETR.US,D,19820204,000000,2.4966,2.4966,2.4719,2.4966,207189,0
ETR.US,D,19820205,000000,2.4966,2.5215,2.4719,2.5215,112749,0
ETR.US,D,19820208,000000,2.4966,2.5215,2.4719,2.5215,280116,0
ETR.US,D,19820209,000000,2.4966,2.5215,2.4719,2.5215,233690,0
ETR.US,D,19820210,000000,2.5215,2.5464,2.4966,2.5464,123192,0
ETR.US,D,19820211,000000,2.5215,2.5464,2.4966,2.5464,499668,0
ETR.US,D,19820212,000000,2.5464,2.5464,2.5215,2.5464,73401,0
ETR.US,D,19820216,000000,2.5215,2.5215,2.4966,2.5215,97334,0
ETR.US,D,19820217,000000,2.5464,2.5464,2.5215,2.5464,155961,0
ETR.US,D,19820218,000000,2.5464,2.5464,2.5215,2.5464,109702,0
ETR.US,D,19820219,000000,2.5464,2.5464,2.5215,2.5464,157562,0
ETR.US,D,19820222,000000,2.5964,2.5964,2.5714,2.5714,274168,0
ETR.US,D,19820223,000000,2.6213,2.6649,2.5714,2.6649,214261,0
ETR.US,D,19820224,000000,2.6397,2.6649,2.6213,2.6649,206552,0
ETR.US,D,19820225,000000,2.6397,2.6649,2.6213,2.6649,221970,0
ETR.US,D,19820226,000000,2.6649,2.6897,2.6397,2.6897,133311,0
ETR.US,D,19820301,000000,2.6649,2.6897,2.6397,2.6397,768384,0
ETR.US,D,19820302,000000,2.6897,2.7146,2.6649,2.6897,488427,0
ETR.US,D,19820303,000000,2.6897,2.7146,2.6649,2.7146,408602,0
ETR.US,D,19820304,000000,2.6897,2.7146,2.6649,2.6897,169128,0
ETR.US,D,19820305,000000,2.6897,2.7146,2.6649,2.7146,236263,0
ETR.US,D,19820308,000000,2.7645,2.7894,2.7146,2.7645,1009140,0
ETR.US,D,19820309,000000,2.7207,2.746,2.671,2.746,891250,0
ETR.US,D,19820310,000000,2.7207,2.746,2.696,2.7207,256178,0
ETR.US,D,19820311,000000,2.696,2.7207,2.6461,2.696,162060,0
ETR.US,D,19820312,000000,2.671,2.696,2.6213,2.6461,231605,0
ETR.US,D,19820315,000000,2.6213,2.6461,2.5964,2.6213,228393,0
ETR.US,D,19820316,000000,2.6213,2.6213,2.5964,2.5964,151301,0
ETR.US,D,19820317,000000,2.5964,2.6213,2.5714,2.5964,139896,0
ETR.US,D,19820318,000000,2.5964,2.6213,2.5714,2.5964,127688,0
ETR.US,D,19820319,000000,2.5964,2.6213,2.5714,2.6213,298259,0
ETR.US,D,19820322,000000,2.5964,2.6213,2.5714,2.6213,132508,0
ETR.US,D,19820323,000000,2.6461,2.6461,2.6213,2.6461,448919,0
ETR.US,D,19820324,000000,2.6461,2.671,2.6213,2.671,75965,0
ETR.US,D,19820325,000000,2.6461,2.671,2.5964,2.6461,145357,0
ETR.US,D,19820326,000000,2.6213,2.6213,2.5964,2.6213,172339,0
ETR.US,D,19820329,000000,2.5964,2.6213,2.5714,2.6213,136684,0
ETR.US,D,19820330,000000,2.6213,2.6213,2.5964,2.6213,216989,0
ETR.US,D,19820331,000000,2.6213,2.6213,2.5964,2.6213,179727,0
ETR.US,D,19820401,000000,2.6213,2.6213,2.5964,2.6213,162381,0
ETR.US,D,19820402,000000,2.6213,2.746,2.5964,2.671,415504,0
ETR.US,D,19820405,000000,2.6461,2.671,2.6213,2.671,191291,0
ETR.US,D,19820406,000000,2.6461,2.671,2.6213,2.6461,157884,0
ETR.US,D,19820407,000000,2.6461,2.6461,2.6213,2.6461,159487,0
ETR.US,D,19820408,000000,2.6461,2.6461,2.6213,2.6461,200288,0
ETR.US,D,19820412,000000,2.6461,2.671,2.6213,2.671,276260,0
ETR.US,D,19820413,000000,2.671,2.671,2.6461,2.671,171376,0
ETR.US,D,19820414,000000,2.671,2.671,2.6461,2.671,349821,0
