<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETW.US,D,20050928,000000,7.1296,7.132,7.1296,7.1296,2251908,0
ETW.US,D,20050929,000000,7.132,7.132,7.1296,7.132,364744,0
ETW.US,D,20050930,000000,7.1296,7.132,7.1296,7.1296,512897,0
ETW.US,D,20051003,000000,7.132,7.132,7.1296,7.1296,470806,0
ETW.US,D,20051004,000000,7.1296,7.132,7.1296,7.1296,364463,0
ETW.US,D,20051005,000000,7.1296,7.132,7.1296,7.1296,553858,0
ETW.US,D,20051006,000000,7.1296,7.132,7.1296,7.1296,422262,0
ETW.US,D,20051007,000000,7.1296,7.132,7.1296,7.1296,360260,0
ETW.US,D,20051010,000000,7.1296,7.132,7.1296,7.1296,376259,0
ETW.US,D,20051011,000000,7.1296,7.132,7.1296,7.132,441628,0
ETW.US,D,20051012,000000,7.1296,7.1358,7.1296,7.1358,451729,0
ETW.US,D,20051013,000000,7.1358,7.1358,7.1296,7.132,349319,0
ETW.US,D,20051014,000000,7.1296,7.2211,7.1296,7.1296,352127,0
ETW.US,D,20051017,000000,7.1296,7.1432,7.1296,7.1358,257002,0
ETW.US,D,20051018,000000,7.1296,7.1358,7.1296,7.1296,376539,0
ETW.US,D,20051019,000000,7.1296,7.132,7.1296,7.1296,473881,0
ETW.US,D,20051020,000000,7.132,7.132,7.1296,7.1296,363902,0
ETW.US,D,20051021,000000,7.1296,7.132,7.1296,7.1296,643926,0
ETW.US,D,20051024,000000,7.1296,7.132,7.1296,7.1296,583033,0
ETW.US,D,20051025,000000,7.1296,7.132,7.1296,7.1296,436853,0
ETW.US,D,20051026,000000,7.1296,7.132,7.1296,7.1296,606884,0
ETW.US,D,20051027,000000,7.1296,7.132,7.1296,7.1296,1017361,0
ETW.US,D,20051028,000000,7.1296,7.132,7.1296,7.1296,499991,0
ETW.US,D,20051031,000000,7.1296,7.132,7.0582,7.1296,559748,0
ETW.US,D,20051101,000000,7.1296,7.132,7.1296,7.1296,675627,0
ETW.US,D,20051102,000000,7.1296,7.132,7.1296,7.1296,457334,0
ETW.US,D,20051103,000000,7.1296,7.132,7.1296,7.1296,213223,0
ETW.US,D,20051104,000000,7.1296,7.132,7.1296,7.1296,369515,0
ETW.US,D,20051107,000000,7.1296,7.132,7.1296,7.1296,577146,0
ETW.US,D,20051108,000000,7.1296,7.132,7.1296,7.1296,1189913,0
ETW.US,D,20051109,000000,6.8598,7.1252,6.8598,6.8598,1914077,0
ETW.US,D,20051110,000000,6.8758,6.9139,6.8598,6.9139,480897,0
ETW.US,D,20051111,000000,6.9139,6.9139,6.8965,6.9111,538130,0
ETW.US,D,20051114,000000,6.8997,6.9333,6.8965,6.8965,258682,0
ETW.US,D,20051115,000000,6.8997,6.9065,6.8965,6.8965,372324,0
ETW.US,D,20051116,000000,6.8965,6.8965,6.7021,6.7733,1068714,0
ETW.US,D,20051117,000000,6.7733,6.7733,6.5394,6.647,849017,0
ETW.US,D,20051118,000000,6.647,6.7287,6.5064,6.7021,723603,0
ETW.US,D,20051121,000000,6.6582,6.6789,6.5083,6.558,684050,0
ETW.US,D,20051122,000000,6.5083,6.6301,6.4186,6.4744,871750,0
ETW.US,D,20051123,000000,6.2982,6.5064,6.2982,6.4681,1151757,0
ETW.US,D,20051125,000000,6.455,6.486,6.3473,6.3803,275242,0
ETW.US,D,20051128,000000,6.2982,6.5354,6.2982,6.486,636343,0
ETW.US,D,20051129,000000,6.486,6.486,6.3978,6.443,744642,0
ETW.US,D,20051130,000000,6.3911,6.4798,6.3836,6.4334,809740,0
ETW.US,D,20051201,000000,6.4186,6.5759,6.4014,6.4726,687127,0
ETW.US,D,20051202,000000,6.4501,6.5023,6.4157,6.4469,678719,0
ETW.US,D,20051205,000000,6.4014,6.4071,6.3088,6.3803,1061973,0
ETW.US,D,20051206,000000,6.3271,6.3395,6.2518,6.3014,1350976,0
