<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETY.US,D,20061127,000000,7.5741,7.5741,7.5741,7.5741,0,0
ETY.US,D,20061128,000000,7.5741,7.5915,7.5741,7.5741,1344248,0
ETY.US,D,20061129,000000,7.5915,7.7585,7.5741,7.7186,956817,0
ETY.US,D,20061130,000000,7.7236,7.7927,7.6493,7.7236,606633,0
ETY.US,D,20061201,000000,7.7236,7.7885,7.6526,7.7357,653366,0
ETY.US,D,20061204,000000,7.7927,7.8008,7.6698,7.7325,653641,0
ETY.US,D,20061205,000000,7.7745,7.7975,7.6739,7.7186,1110517,0
ETY.US,D,20061206,000000,7.7562,7.782,7.6493,7.7236,1031287,0
ETY.US,D,20061207,000000,7.7113,7.7585,7.6493,7.7585,697205,0
ETY.US,D,20061208,000000,7.748,7.7585,7.6657,7.7562,555924,0
ETY.US,D,20061211,000000,7.7236,7.7529,7.6866,7.703,518678,0
ETY.US,D,20061212,000000,7.7325,7.7357,7.6866,7.7186,512617,0
ETY.US,D,20061213,000000,7.7113,7.7236,7.6788,7.7003,492273,0
ETY.US,D,20061214,000000,7.703,7.7447,7.6739,7.703,404332,0
ETY.US,D,20061215,000000,7.7357,7.7562,7.6866,7.7236,509443,0
ETY.US,D,20061218,000000,7.786,7.786,7.6987,7.7562,704860,0
ETY.US,D,20061219,000000,7.7927,7.7927,7.6834,7.7149,661557,0
ETY.US,D,20061220,000000,7.7447,7.7585,7.6866,7.7447,490161,0
ETY.US,D,20061221,000000,7.7447,7.7529,7.6987,7.7067,535586,0
ETY.US,D,20061222,000000,7.7067,7.7357,7.6902,7.694,287861,0
ETY.US,D,20061226,000000,7.6902,7.7186,7.6611,7.694,384524,0
ETY.US,D,20061227,000000,7.6611,7.6866,7.6087,7.6456,507592,0
ETY.US,D,20061228,000000,7.6493,7.6526,7.5955,7.6493,539810,0
ETY.US,D,20061229,000000,7.6366,7.6803,7.5741,7.5915,681892,0
ETY.US,D,20070103,000000,7.6087,7.6205,7.5741,7.5741,1413172,0
ETY.US,D,20070104,000000,7.5789,7.5915,7.5741,7.582,971863,0
ETY.US,D,20070105,000000,7.5915,7.6011,7.5741,7.582,508650,0
ETY.US,D,20070108,000000,7.582,7.6052,7.5741,7.5741,568332,0
ETY.US,D,20070109,000000,7.5841,7.5841,7.5741,7.5741,486732,0
ETY.US,D,20070110,000000,7.5741,7.6011,7.5741,7.582,920636,0
ETY.US,D,20070111,000000,7.5789,7.6493,7.5741,7.6011,789642,0
ETY.US,D,20070112,000000,7.582,7.6087,7.5741,7.5741,1419505,0
ETY.US,D,20070116,000000,7.5841,7.6366,7.5789,7.6183,800997,0
ETY.US,D,20070117,000000,7.5978,7.6493,7.5978,7.6183,773008,0
ETY.US,D,20070118,000000,7.6493,7.6493,7.6011,7.6407,787532,0
ETY.US,D,20070119,000000,7.6407,7.6493,7.6087,7.628,602131,0
ETY.US,D,20070122,000000,7.6246,7.6366,7.6011,7.6183,699057,0
ETY.US,D,20070123,000000,7.628,7.6407,7.6011,7.6205,824501,0
ETY.US,D,20070124,000000,7.6456,7.6834,7.6183,7.6526,1087278,0
ETY.US,D,20070125,000000,7.6526,7.6866,7.6334,7.6788,925122,0
ETY.US,D,20070126,000000,7.6834,7.703,7.6565,7.6803,721508,0
ETY.US,D,20070129,000000,7.703,7.7186,7.6334,7.6698,1213777,0
ETY.US,D,20070130,000000,7.6834,7.7149,7.6493,7.7149,673173,0
ETY.US,D,20070131,000000,7.703,7.7186,7.6788,7.7186,802588,0
ETY.US,D,20070201,000000,7.7236,7.7325,7.6902,7.7067,844576,0
ETY.US,D,20070202,000000,7.7113,7.7648,7.6987,7.7562,899508,0
ETY.US,D,20070205,000000,7.7562,7.7745,7.7236,7.7236,891582,0
ETY.US,D,20070206,000000,7.7529,7.7698,7.7236,7.7447,913237,0
ETY.US,D,20070207,000000,7.7562,7.7745,7.7276,7.7562,733650,0
ETY.US,D,20070208,000000,7.748,7.7745,7.7325,7.7618,764300,0
ETY.US,D,20070209,000000,7.7447,7.7745,7.7236,7.748,715172,0
ETY.US,D,20070212,000000,7.7325,7.778,7.7325,7.7562,845890,0
ETY.US,D,20070213,000000,7.7562,7.782,7.7236,7.7447,1007846,0
ETY.US,D,20070214,000000,7.7745,7.7975,7.7447,7.7885,1195301,0
ETY.US,D,20070215,000000,7.7885,7.82,7.7698,7.7927,1100493,0
ETY.US,D,20070216,000000,7.7618,7.7618,7.5841,7.6087,808133,0
ETY.US,D,20070220,000000,7.615,7.6407,7.5531,7.5891,1008577,0
ETY.US,D,20070221,000000,7.5741,7.582,7.5575,7.5668,621156,0
ETY.US,D,20070222,000000,7.5613,7.5789,7.5531,7.5613,1168618,0
ETY.US,D,20070223,000000,7.5741,7.582,7.4745,7.5473,894750,0
ETY.US,D,20070226,000000,7.5668,7.5789,7.5531,7.5741,623161,0
ETY.US,D,20070227,000000,7.5613,7.5741,7.443,7.5283,928292,0
ETY.US,D,20070228,000000,7.5668,7.5789,7.5345,7.5668,685324,0
ETY.US,D,20070301,000000,7.5345,7.5345,7.45,7.4868,564891,0
ETY.US,D,20070302,000000,7.4523,7.4758,7.4231,7.4545,571763,0
ETY.US,D,20070305,000000,7.4231,7.4545,7.3925,7.3925,631181,0
ETY.US,D,20070306,000000,7.4602,7.5716,7.3977,7.5062,766673,0
ETY.US,D,20070307,000000,7.5283,7.5613,7.4797,7.5345,618516,0
ETY.US,D,20070308,000000,7.5424,7.5716,7.5163,7.5509,507065,0
ETY.US,D,20070309,000000,7.5283,7.5741,7.5283,7.5345,502830,0
ETY.US,D,20070312,000000,7.5716,7.5741,7.5345,7.5575,661557,0
ETY.US,D,20070313,000000,7.5424,7.582,7.4797,7.5005,854351,0
ETY.US,D,20070314,000000,7.5203,7.582,7.4967,7.5716,840090,0
ETY.US,D,20070315,000000,7.5716,7.5741,7.3925,7.5509,1161232,0
ETY.US,D,20070316,000000,7.5509,7.5668,7.4797,7.5575,602398,0
ETY.US,D,20070319,000000,7.5741,7.5789,7.5062,7.5283,538756,0
ETY.US,D,20070320,000000,7.5345,7.5741,7.5163,7.5345,980053,0
ETY.US,D,20070321,000000,7.5531,7.5716,7.5283,7.5613,701435,0
ETY.US,D,20070322,000000,7.5841,7.5891,7.5531,7.5741,779085,0
ETY.US,D,20070323,000000,7.5575,7.5741,7.5531,7.5531,558557,0
ETY.US,D,20070326,000000,7.5716,7.5789,7.4758,7.5575,768520,0
ETY.US,D,20070327,000000,7.5575,7.5789,7.5322,7.5716,742112,0
ETY.US,D,20070328,000000,7.5384,7.5741,7.5345,7.5531,585493,0
ETY.US,D,20070329,000000,7.5668,7.5915,7.5531,7.5741,617184,0
ETY.US,D,20070330,000000,7.5741,7.6087,7.5613,7.5668,597638,0
ETY.US,D,20070402,000000,7.5741,7.6052,7.5345,7.5716,581804,0
ETY.US,D,20070403,000000,7.5741,7.628,7.5741,7.615,598703,0
ETY.US,D,20070404,000000,7.6087,7.6739,7.6011,7.6456,668167,0
ETY.US,D,20070405,000000,7.6205,7.6834,7.6183,7.6565,597117,0
ETY.US,D,20070409,000000,7.6866,7.7186,7.6526,7.6565,704605,0
ETY.US,D,20070410,000000,7.6493,7.6866,7.5915,7.6866,667646,0
ETY.US,D,20070411,000000,7.6788,7.6788,7.6205,7.6611,756633,0
ETY.US,D,20070412,000000,7.6611,7.778,7.6493,7.7236,973460,0
ETY.US,D,20070413,000000,7.7447,7.7648,7.7236,7.7447,805750,0
ETY.US,D,20070416,000000,7.7618,7.7618,7.6902,7.7236,841936,0
ETY.US,D,20070417,000000,7.7618,7.778,7.7236,7.7357,1063513,0
ETY.US,D,20070418,000000,7.7618,7.7618,7.703,7.7236,920636,0
ETY.US,D,20070419,000000,7.7186,7.7618,7.694,7.7276,831372,0
ETY.US,D,20070420,000000,7.7562,7.7975,7.7149,7.7399,733385,0
ETY.US,D,20070423,000000,7.7562,7.7698,7.6788,7.6788,1010167,0
ETY.US,D,20070424,000000,7.703,7.7276,7.6611,7.7186,965008,0
ETY.US,D,20070425,000000,7.748,7.7618,7.6803,7.7186,1164390,0
ETY.US,D,20070426,000000,7.7885,7.7885,7.7186,7.7186,956817,0
ETY.US,D,20070427,000000,7.7447,7.782,7.7186,7.782,758752,0
ETY.US,D,20070430,000000,7.8008,7.8114,7.7585,7.7585,865446,0
ETY.US,D,20070501,000000,7.782,7.8008,7.748,7.7529,843518,0
ETY.US,D,20070502,000000,7.7562,7.8074,7.7003,7.7236,927496,0
ETY.US,D,20070503,000000,7.7648,7.786,7.7357,7.7529,619301,0
ETY.US,D,20070504,000000,7.7529,7.786,7.7447,7.7618,501782,0
ETY.US,D,20070507,000000,7.7745,7.7975,7.7529,7.7745,698273,0
ETY.US,D,20070508,000000,7.7885,7.856,7.7562,7.8248,879962,0
ETY.US,D,20070509,000000,7.8282,7.8525,7.7745,7.8008,994580,0
ETY.US,D,20070510,000000,7.7975,7.8074,7.7149,7.7357,761908,0
ETY.US,D,20070511,000000,7.7698,7.778,7.7276,7.7648,672918,0
ETY.US,D,20070514,000000,7.782,7.8248,7.7447,7.7745,786478,0
ETY.US,D,20070515,000000,7.782,7.833,7.7648,7.7698,732857,0
ETY.US,D,20070516,000000,7.7745,7.8008,7.7113,7.7357,1081993,0
ETY.US,D,20070517,000000,7.7447,7.7885,7.7276,7.7618,892636,0
ETY.US,D,20070518,000000,7.8008,7.8008,7.7325,7.7618,795456,0
ETY.US,D,20070521,000000,7.6334,7.7618,7.5473,7.5891,1293265,0
ETY.US,D,20070522,000000,7.5384,7.5789,7.5203,7.5716,891318,0
ETY.US,D,20070523,000000,7.5509,7.5741,7.5117,7.5322,1211673,0
ETY.US,D,20070524,000000,7.5203,7.5509,7.3869,7.4868,1211673,0
ETY.US,D,20070525,000000,7.5575,7.5741,7.5117,7.5716,579419,0
ETY.US,D,20070529,000000,7.5716,7.5716,7.5163,7.5509,575192,0
ETY.US,D,20070530,000000,7.5473,7.6087,7.5062,7.6052,744220,0
ETY.US,D,20070531,000000,7.6456,7.6526,7.5891,7.6334,673969,0
ETY.US,D,20070601,000000,7.6866,7.6866,7.615,7.6493,547731,0
ETY.US,D,20070604,000000,7.6739,7.6739,7.628,7.6407,658385,0
ETY.US,D,20070605,000000,7.6657,7.6657,7.5741,7.6052,708567,0
ETY.US,D,20070606,000000,7.5841,7.5915,7.5384,7.5716,689289,0
ETY.US,D,20070607,000000,7.5716,7.5716,7.4758,7.4838,581804,0
ETY.US,D,20070608,000000,7.4967,7.5668,7.4655,7.5384,426513,0
ETY.US,D,20070611,000000,7.5473,7.5509,7.4655,7.5163,509708,0
ETY.US,D,20070612,000000,7.4758,7.4967,7.3902,7.4369,908217,0
ETY.US,D,20070613,000000,7.4545,7.4967,7.4231,7.45,572032,0
ETY.US,D,20070614,000000,7.4967,7.5531,7.4545,7.4655,635414,0
ETY.US,D,20070615,000000,7.4758,7.5509,7.4758,7.5163,475378,0
ETY.US,D,20070618,000000,7.5283,7.5424,7.4655,7.4703,742634,0
ETY.US,D,20070619,000000,7.4523,7.4967,7.4369,7.4868,686115,0
ETY.US,D,20070620,000000,7.4868,7.5716,7.4868,7.5575,683996,0
ETY.US,D,20070621,000000,7.5424,7.582,7.5384,7.5509,672385,0
ETY.US,D,20070622,000000,7.5163,7.5203,7.447,7.4914,582861,0
ETY.US,D,20070625,000000,7.4967,7.4967,7.3838,7.3955,752400,0
ETY.US,D,20070626,000000,7.4086,7.4745,7.3838,7.3977,849592,0
ETY.US,D,20070627,000000,7.3838,7.4198,7.3044,7.3345,878096,0
ETY.US,D,20070628,000000,7.3509,7.3748,7.31,7.3686,574668,0
ETY.US,D,20070629,000000,7.3925,7.3977,7.3411,7.3977,648613,0
ETY.US,D,20070702,000000,7.3977,7.4914,7.3869,7.4838,423078,0
ETY.US,D,20070703,000000,7.5117,7.5668,7.4745,7.4967,252736,0
ETY.US,D,20070705,000000,7.4967,7.4967,7.443,7.4655,455029,0
ETY.US,D,20070706,000000,7.4838,7.5473,7.45,7.5163,385577,0
ETY.US,D,20070709,000000,7.4745,7.5345,7.443,7.447,683472,0
ETY.US,D,20070710,000000,7.4231,7.4545,7.3869,7.3902,767990,0
ETY.US,D,20070711,000000,7.3869,7.4545,7.3568,7.4231,707514,0
ETY.US,D,20070712,000000,7.3838,7.4745,7.3547,7.4042,915349,0
ETY.US,D,20070713,000000,7.4042,7.4745,7.3902,7.447,612183,0
ETY.US,D,20070716,000000,7.447,7.5062,7.3345,7.3977,872823,0
ETY.US,D,20070717,000000,7.3786,7.4289,7.3411,7.3869,999595,0
ETY.US,D,20070718,000000,7.3838,7.3902,7.2755,7.3411,1183934,0
ETY.US,D,20070719,000000,7.3568,7.3977,7.2864,7.3568,875208,0
ETY.US,D,20070720,000000,7.3254,7.3625,7.2785,7.3086,754778,0
ETY.US,D,20070723,000000,7.271,7.3485,7.2669,7.3001,829536,0
ETY.US,D,20070724,000000,7.271,7.271,7.0843,7.2312,1272152,0
ETY.US,D,20070725,000000,7.2533,7.3254,7.0991,7.1382,1041857,0
ETY.US,D,20070726,000000,7.0991,7.1039,6.6272,7.0177,2188027,0
ETY.US,D,20070727,000000,7.0652,7.0991,6.8233,7.0354,923547,0
ETY.US,D,20070730,000000,7.08,7.1969,6.9304,7.1039,938859,0
ETY.US,D,20070731,000000,7.154,7.1969,6.9977,7.08,941757,0
ETY.US,D,20070801,000000,6.967,7.068,6.9148,6.988,749774,0
ETY.US,D,20070802,000000,7.0211,7.1939,7.014,7.1939,689289,0
ETY.US,D,20070803,000000,7.1481,7.1798,7.068,7.0771,503628,0
ETY.US,D,20070806,000000,7.113,7.113,6.891,7.0652,652050,0
ETY.US,D,20070807,000000,7.068,7.1382,6.953,6.9909,709625,0
ETY.US,D,20070808,000000,7.0332,7.1195,6.9938,7.0724,872043,0
ETY.US,D,20070809,000000,6.9446,7.0523,6.9446,7.0243,612960,0
ETY.US,D,20070810,000000,6.9471,6.9938,6.7783,6.9257,951794,0
ETY.US,D,20070813,000000,6.953,7.005,6.8233,6.8377,665251,0
ETY.US,D,20070814,000000,6.843,6.9304,6.4746,6.519,1197144,0
ETY.US,D,20070815,000000,6.5012,6.5012,6.1423,6.3812,2588991,0
ETY.US,D,20070816,000000,6.2331,6.4728,5.8691,6.4187,3497402,0
ETY.US,D,20070817,000000,6.8151,6.953,6.5333,6.8879,1544418,0
ETY.US,D,20070820,000000,6.9304,7.0243,6.8793,7.0013,884451,0
ETY.US,D,20070821,000000,7.0243,7.0991,6.967,7.0419,1302253,0
ETY.US,D,20070822,000000,7.0396,7.0396,6.8315,6.9148,1181027,0
ETY.US,D,20070823,000000,6.9829,7.0523,6.9106,6.9304,1007521,0
ETY.US,D,20070824,000000,6.988,6.988,6.8542,6.9195,982961,0
ETY.US,D,20070827,000000,6.9411,6.9786,6.8377,6.8377,933051,0
ETY.US,D,20070828,000000,6.891,6.8948,6.7035,6.7589,1269765,0
ETY.US,D,20070829,000000,6.7451,6.8315,6.7168,6.8121,771688,0
ETY.US,D,20070830,000000,6.8094,6.8793,6.7316,6.8278,841936,0
ETY.US,D,20070831,000000,7.0243,7.0243,6.7958,6.8498,1028125,0
ETY.US,D,20070904,000000,6.891,7.0211,6.8121,6.967,1068801,0
ETY.US,D,20070905,000000,6.9106,6.9909,6.8233,6.9629,663141,0
ETY.US,D,20070906,000000,7.0013,7.0843,6.953,7.0771,953906,0
ETY.US,D,20070907,000000,6.9506,7.0211,6.8948,6.9977,873817,0
ETY.US,D,20070910,000000,7.005,7.1481,7.005,7.0991,1346137,0
ETY.US,D,20070911,000000,7.0961,7.0961,6.9372,6.9698,826724,0
ETY.US,D,20070912,000000,6.9938,7.0243,6.8991,6.9106,888680,0
ETY.US,D,20070913,000000,6.9257,6.9583,6.891,6.891,617983,0
ETY.US,D,20070914,000000,6.8743,6.9304,6.7928,6.843,708658,0
ETY.US,D,20070917,000000,6.7829,6.8278,6.7255,6.7669,612960,0
ETY.US,D,20070918,000000,6.7716,6.891,6.7504,6.8708,963937,0
ETY.US,D,20070919,000000,6.8948,6.934,6.7431,6.8377,1107816,0
ETY.US,D,20070920,000000,6.8048,6.8048,6.6578,6.6578,1069056,0
ETY.US,D,20070921,000000,6.6805,6.7316,6.6445,6.6843,883673,0
ETY.US,D,20070924,000000,6.6997,6.7316,6.5517,6.5624,1255250,0
ETY.US,D,20070925,000000,6.5517,6.5517,6.4656,6.541,1574007,0
ETY.US,D,20070926,000000,6.5492,6.6324,6.5367,6.6324,1290370,0
ETY.US,D,20070927,000000,6.6923,6.6997,6.5861,6.675,929291,0
ETY.US,D,20070928,000000,6.6578,6.7753,6.6389,6.7126,1045288,0
ETY.US,D,20071001,000000,6.7168,6.7865,6.697,6.7633,886299,0
ETY.US,D,20071002,000000,6.7829,6.8151,6.7284,6.8121,803641,0
ETY.US,D,20071003,000000,6.7999,6.8498,6.721,6.721,961830,0
ETY.US,D,20071004,000000,6.7284,6.7783,6.7084,6.7547,1055315,0
