<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVNT.US,D,20210922,000000,10.415,10.415,10.415,10.415,47,0
EVNT.US,D,20210923,000000,10.43,10.43,10.43,10.43,12,0
EVNT.US,D,20210924,000000,10.49,10.49,10.4235,10.4235,522,0
EVNT.US,D,20210927,000000,10.51,10.51,10.4529,10.4529,229,0
EVNT.US,D,20210928,000000,10.4813,10.4813,10.4813,10.4813,2,0
EVNT.US,D,20210929,000000,10.45,10.45,10.45,10.45,26,0
EVNT.US,D,20210930,000000,10.39,10.39,10.39,10.39,124,0
EVNT.US,D,20211001,000000,10.4795,10.4795,10.4795,10.4795,31,0
EVNT.US,D,20211004,000000,10.4646,10.4646,10.4646,10.4646,7,0
EVNT.US,D,20211005,000000,10.47,10.47,10.47,10.47,11,0
EVNT.US,D,20211006,000000,10.47,10.47,10.47,10.47,2,0
EVNT.US,D,20211007,000000,10.4577,10.4577,10.4577,10.4577,3,0
EVNT.US,D,20211008,000000,10.451,10.451,10.451,10.451,5,0
EVNT.US,D,20211011,000000,10.4499,10.4499,10.4499,10.4499,3,0
EVNT.US,D,20211012,000000,10.4551,10.4551,10.4551,10.4551,3,0
EVNT.US,D,20211013,000000,10.5,10.5,10.4595,10.4595,208,0
EVNT.US,D,20211014,000000,10.41,10.4269,10.39,10.4269,2403,0
EVNT.US,D,20211015,000000,10.39,10.4,10.39,10.3923,227,0
EVNT.US,D,20211018,000000,10.377,10.377,10.377,10.377,53,0
EVNT.US,D,20211019,000000,10.35,10.35,10.35,10.35,726,0
EVNT.US,D,20211020,000000,10.385,10.385,10.385,10.385,9,0
EVNT.US,D,20211021,000000,10.3305,10.3305,10.3305,10.3305,2421,0
EVNT.US,D,20211022,000000,10.36,10.36,10.36,10.36,32,0
EVNT.US,D,20211025,000000,10.4285,10.4285,10.4285,10.4285,6,0
EVNT.US,D,20211026,000000,10.32,10.32,10.32,10.32,2421,0
EVNT.US,D,20211027,000000,10.4199,10.4199,10.4199,10.4199,9,0
EVNT.US,D,20211028,000000,10.4157,10.4157,10.4157,10.4157,7,0
EVNT.US,D,20211029,000000,10.3966,10.47,10.3966,10.47,4663,0
EVNT.US,D,20211101,000000,10.5,10.55,10.49,10.51,3584,0
EVNT.US,D,20211102,000000,10.475,10.475,10.475,10.475,9,0
EVNT.US,D,20211103,000000,10.5,10.5,10.5,10.5,104,0
EVNT.US,D,20211104,000000,10.45,10.45,10.395,10.395,2387,0
EVNT.US,D,20211105,000000,10.4,10.4,10.4,10.4,2433,0
EVNT.US,D,20211108,000000,10.3501,10.39,10.3501,10.39,2901,0
EVNT.US,D,20211109,000000,10.3706,10.3706,10.3706,10.3706,5,0
EVNT.US,D,20211110,000000,10.45,10.45,10.4179,10.4179,1213,0
EVNT.US,D,20211111,000000,10.4,10.4245,10.39,10.4245,2401,0
EVNT.US,D,20211112,000000,10.38,10.38,10.38,10.38,4804,0
EVNT.US,D,20211115,000000,10.422,10.422,10.422,10.422,93,0
EVNT.US,D,20211116,000000,10.3448,10.3448,10.3448,10.3448,4,0
EVNT.US,D,20211117,000000,10.29,10.29,10.29,10.29,2437,0
EVNT.US,D,20211118,000000,10.2202,10.2202,10.2202,10.2202,13,0
EVNT.US,D,20211119,000000,10.1918,10.1918,10.1918,10.1918,35,0
EVNT.US,D,20211122,000000,10.152,10.152,10.152,10.152,3,0
EVNT.US,D,20211123,000000,10.06,10.165,10.06,10.165,2588,0
EVNT.US,D,20211124,000000,10.175,10.175,10.175,10.175,3,0
EVNT.US,D,20211126,000000,10.09,10.103,10.08,10.103,2455,0
EVNT.US,D,20211129,000000,10.04,10.0447,10.03,10.0447,2476,0
EVNT.US,D,20211130,000000,10.0254,10.0254,10.0254,10.0254,2,0
EVNT.US,D,20211201,000000,10.0045,10.0045,10.0045,10.0045,1,0
EVNT.US,D,20211202,000000,10.0199,10.0199,9.97,9.9957,5311,0
EVNT.US,D,20211203,000000,10.0055,10.0055,10.0055,10.0055,2,0
EVNT.US,D,20211206,000000,10.0408,10.0408,10.0408,10.0408,2,0
EVNT.US,D,20211207,000000,10.13,10.13,10.13,10.13,300,0
EVNT.US,D,20211208,000000,10.1995,10.1995,10.1995,10.1995,15,0
EVNT.US,D,20211209,000000,10.12,10.1445,10.12,10.1445,1225,0
EVNT.US,D,20211210,000000,10.11,10.11,10.11,10.11,15,0
EVNT.US,D,20211213,000000,10.07,10.07,10.0452,10.0452,1237,0
EVNT.US,D,20211214,000000,10.0254,10.0254,10.0254,10.0254,15,0
EVNT.US,D,20211215,000000,10.16,10.16,10.04,10.04,400,0
EVNT.US,D,20211216,000000,10.05,10.05,10.0187,10.0187,1340,0
EVNT.US,D,20211217,000000,10.0485,10.0485,10.0485,10.0485,1,0
EVNT.US,D,20211220,000000,10,10.0257,10,10.0257,599,0
EVNT.US,D,20211221,000000,10.05,10.05,10.05,10.05,99,0
EVNT.US,D,20211222,000000,10.1246,10.1246,10.1246,10.1246,1236,0
EVNT.US,D,20211223,000000,10.21,10.21,10.1356,10.1356,1735,0
EVNT.US,D,20211227,000000,10.12,10.1291,10.12,10.1291,110,0
EVNT.US,D,20211228,000000,10.1103,10.1103,10.1103,10.1103,15,0
EVNT.US,D,20211229,000000,10.1301,10.1301,10.1301,10.1301,99,0
EVNT.US,D,20211230,000000,10.158,10.158,10.158,10.158,12,0
EVNT.US,D,20211231,000000,10.1433,10.1433,10.1433,10.1433,99,0
EVNT.US,D,20220103,000000,10.1653,10.1653,10.1653,10.1653,1,0
EVNT.US,D,20220104,000000,10.19,10.19,10.17,10.19,4862,0
