<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FATH-WS.US,D,20211229,000000,0.885001,0.885001,0.79,0.7999,38304,0
FATH-WS.US,D,20211230,000000,0.74,0.79,0.68,0.75,212758,0
FATH-WS.US,D,20211231,000000,0.893,0.98818,0.75,0.88,301669,0
FATH-WS.US,D,20220103,000000,0.8,0.8399,0.76,0.785,63057,0
FATH-WS.US,D,20220104,000000,0.785,0.79,0.716395,0.749,33207,0
FATH-WS.US,D,20220105,000000,0.7,0.8718,0.7,0.77,455111,0
FATH-WS.US,D,20220106,000000,0.7471,0.7471,0.648,0.65,30347,0
FATH-WS.US,D,20220107,000000,0.6,0.64,0.56,0.56,62885,0
FATH-WS.US,D,20220110,000000,0.56,0.560301,0.4811,0.54,58149,0
FATH-WS.US,D,20220111,000000,0.5091,0.52,0.4878,0.4878,97322,0
FATH-WS.US,D,20220112,000000,0.73,0.88,0.64,0.70005,529850,0
FATH-WS.US,D,20220113,000000,0.78,0.8,0.7,0.78,47313,0
FATH-WS.US,D,20220114,000000,0.84,0.91,0.8,0.884999,137791,0
FATH-WS.US,D,20220118,000000,0.9,1.0505,0.9,0.985,281506,0
FATH-WS.US,D,20220119,000000,0.83,1.13,0.83,1.08,66897,0
FATH-WS.US,D,20220120,000000,1.11,1.23,0.99,0.99,87252,0
FATH-WS.US,D,20220121,000000,1.005,1.19,0.945,1.05,160506,0
