<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBRT.US,D,20211020,000000,17.2,17.3,16.7,16.88,1031551,0
FBRT.US,D,20211021,000000,16.88,17.065,16.77,16.85,436905,0
FBRT.US,D,20211022,000000,16.72,17.25,16.71,16.86,358070,0
FBRT.US,D,20211025,000000,16.78,17.09,16.78,16.95,277762,0
FBRT.US,D,20211026,000000,16.83,16.98,16.8,16.85,227155,0
FBRT.US,D,20211027,000000,16.73,16.85,16.61,16.71,260140,0
FBRT.US,D,20211028,000000,16.71,16.71,16.4,16.58,272409,0
FBRT.US,D,20211029,000000,16.55,16.58,16.36,16.41,362742,0
FBRT.US,D,20211101,000000,16.35,16.52,16.24,16.33,281378,0
FBRT.US,D,20211102,000000,16.24,16.45,16.13,16.32,181056,0
FBRT.US,D,20211103,000000,16.28,16.6,16.15,16.59,195661,0
FBRT.US,D,20211104,000000,16.53,16.53,16.25,16.27,207016,0
FBRT.US,D,20211105,000000,16.31,16.58,16.24,16.55,238763,0
FBRT.US,D,20211108,000000,16.54,16.85,16.28,16.84,266518,0
FBRT.US,D,20211109,000000,16.77,17.1,16.38,17.1,353961,0
FBRT.US,D,20211110,000000,17.09,17.2,16.83,17.08,195009,0
FBRT.US,D,20211111,000000,17.06,17.17,16.85,17.09,167432,0
FBRT.US,D,20211112,000000,17.06,17.17,16.87,17.13,273168,0
FBRT.US,D,20211115,000000,17.1,17.1,16.66,16.75,342829,0
FBRT.US,D,20211116,000000,16.71,16.745,16.45,16.48,421292,0
FBRT.US,D,20211117,000000,16.41,16.45,16.09,16.27,344541,0
FBRT.US,D,20211118,000000,16.22,16.71,16.17,16.6,358433,0
FBRT.US,D,20211119,000000,16.41,16.71,16.3,16.56,837764,0
FBRT.US,D,20211122,000000,16.67,16.75,16.37,16.4,326088,0
FBRT.US,D,20211123,000000,16.32,16.51,16.28,16.37,96008,0
FBRT.US,D,20211124,000000,16.18,16.42,16.15,16.32,172993,0
FBRT.US,D,20211126,000000,16,16.42,15.84,15.99,140536,0
FBRT.US,D,20211129,000000,16.08,16.22,15.87,15.95,289095,0
FBRT.US,D,20211130,000000,15.82,15.9,15.27,15.34,346466,0
FBRT.US,D,20211201,000000,15.49,15.67,15.21,15.21,304107,0
FBRT.US,D,20211202,000000,15.2,15.79,15.2,15.71,235320,0
FBRT.US,D,20211203,000000,15.73,15.85,15.57,15.78,251353,0
FBRT.US,D,20211206,000000,15.94,16.62,15.78,16.48,841338,0
FBRT.US,D,20211207,000000,16.53,16.79,16.5,16.63,386217,0
FBRT.US,D,20211208,000000,16.54,16.67,16.42,16.48,383312,0
FBRT.US,D,20211209,000000,16.36,16.52,16.22,16.22,210513,0
FBRT.US,D,20211210,000000,16.16,16.32,16.05,16.09,260012,0
FBRT.US,D,20211213,000000,15.98,16.03,15.8,15.86,381681,0
FBRT.US,D,20211214,000000,15.76,15.95,15.56,15.61,398655,0
FBRT.US,D,20211215,000000,15.53,15.73,15.42,15.6,665528,0
FBRT.US,D,20211216,000000,15.6,15.76,15.32,15.36,590389,0
FBRT.US,D,20211217,000000,15.32,15.44,14.9,15.02,3524083,0
FBRT.US,D,20211220,000000,14.87,15.05,14.26,14.69,415699,0
FBRT.US,D,20211221,000000,14.7,15.285,14.6856,15.12,340555,0
FBRT.US,D,20211222,000000,15.06,15.41,15.06,15.28,301739,0
FBRT.US,D,20211223,000000,15.31,15.465,15.23,15.38,170208,0
FBRT.US,D,20211227,000000,15.23,15.37,14.95,15.27,180660,0
FBRT.US,D,20211228,000000,15.32,15.54,15.31,15.32,215105,0
FBRT.US,D,20211229,000000,15.31,15.43,15.1921,15.39,206478,0
FBRT.US,D,20211230,000000,15.1,15.31,15.035,15.06,252703,0
FBRT.US,D,20211231,000000,15,15.1387,14.9,14.94,199761,0
FBRT.US,D,20220103,000000,14.92,15.34,14.92,15.27,253883,0
FBRT.US,D,20220104,000000,15.31,15.5,15.31,15.34,167143,0
FBRT.US,D,20220105,000000,15.34,15.61,15.27,15.33,347972,0
FBRT.US,D,20220106,000000,15.3,15.61,15.3,15.47,269873,0
FBRT.US,D,20220107,000000,15.45,15.51,15.32,15.33,185575,0
FBRT.US,D,20220110,000000,15.28,15.37,15.14,15.24,186853,0
FBRT.US,D,20220111,000000,15.14,15.34,14.98,15.24,297944,0
FBRT.US,D,20220112,000000,15.29,15.31,15.17,15.17,323306,0
FBRT.US,D,20220113,000000,15.17,15.29,15.04,15.06,146221,0
FBRT.US,D,20220114,000000,14.92,15.04,14.695,14.99,170276,0
FBRT.US,D,20220118,000000,14.88,14.9,14.63,14.75,132990,0
FBRT.US,D,20220119,000000,14.8,14.81,14.49,14.53,176549,0
FBRT.US,D,20220120,000000,14.55,14.74,14.34,14.34,146064,0
FBRT.US,D,20220121,000000,14.33,14.58,14.01,14.06,465877,0
