<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDEU.US,D,20150925,000000,11.839,11.991,11.839,11.845,2506343,0
FDEU.US,D,20150928,000000,11.853,11.956,11.839,11.839,140857,0
FDEU.US,D,20150929,000000,11.839,11.845,11.839,11.839,77859,0
FDEU.US,D,20150930,000000,11.845,11.93,11.839,11.839,104547,0
FDEU.US,D,20151001,000000,11.839,11.871,11.839,11.839,53711,0
FDEU.US,D,20151002,000000,11.839,11.866,11.839,11.861,42728,0
FDEU.US,D,20151005,000000,11.839,12.363,11.839,12.139,350453,0
FDEU.US,D,20151006,000000,11.942,12.139,11.839,11.839,216193,0
FDEU.US,D,20151007,000000,11.861,11.888,11.839,11.839,70264,0
FDEU.US,D,20151008,000000,11.853,12.124,11.845,11.898,185289,0
FDEU.US,D,20151009,000000,11.898,12.117,11.861,11.861,291018,0
FDEU.US,D,20151012,000000,11.866,11.981,11.866,11.871,26487,0
FDEU.US,D,20151013,000000,11.871,11.93,11.839,11.839,190357,0
FDEU.US,D,20151014,000000,11.861,11.861,11.839,11.839,126508,0
FDEU.US,D,20151015,000000,11.845,11.936,11.839,11.845,132250,0
FDEU.US,D,20151016,000000,11.981,11.981,11.839,11.839,86647,0
FDEU.US,D,20151019,000000,11.916,12.003,11.845,11.871,177521,0
FDEU.US,D,20151020,000000,11.871,11.871,11.839,11.839,108125,0
FDEU.US,D,20151021,000000,11.853,11.883,11.839,11.845,64518,0
FDEU.US,D,20151022,000000,11.853,11.853,11.839,11.839,87666,0
FDEU.US,D,20151023,000000,11.871,11.91,11.839,11.839,96951,0
FDEU.US,D,20151026,000000,11.845,11.996,11.839,11.93,56751,0
FDEU.US,D,20151027,000000,11.924,12.003,11.845,11.91,35640,0
FDEU.US,D,20151028,000000,11.861,11.969,11.839,11.963,141039,0
FDEU.US,D,20151029,000000,11.883,12.044,11.883,12.044,59624,0
FDEU.US,D,20151030,000000,11.963,12.014,11.839,11.839,210791,0
FDEU.US,D,20151102,000000,11.839,12.014,11.839,11.839,1240554,0
FDEU.US,D,20151103,000000,11.853,11.866,11.839,11.839,138159,0
FDEU.US,D,20151104,000000,11.839,11.845,11.839,11.839,117395,0
FDEU.US,D,20151105,000000,11.839,11.861,11.839,11.839,102017,0
FDEU.US,D,20151106,000000,11.818,11.888,11.818,11.839,288997,0
FDEU.US,D,20151109,000000,11.606,11.768,10.97,11.086,202114,0
FDEU.US,D,20151110,000000,10.878,11.067,10.878,11.037,93570,0
FDEU.US,D,20151111,000000,11.042,11.307,11.042,11.17,69083,0
FDEU.US,D,20151112,000000,11.167,11.368,11.167,11.208,104047,0
FDEU.US,D,20151113,000000,11.272,11.793,10.938,10.976,150706,0
FDEU.US,D,20151116,000000,11.024,11.584,11.024,11.428,75853,0
FDEU.US,D,20151117,000000,11.398,11.428,11.235,11.324,54206,0
FDEU.US,D,20151118,000000,11.241,11.324,11.066,11.291,74848,0
FDEU.US,D,20151119,000000,11.142,11.208,10.988,11.059,75020,0
FDEU.US,D,20151120,000000,11.201,11.272,11.024,11.109,69977,0
FDEU.US,D,20151123,000000,11.25,11.25,10.726,10.899,88943,0
FDEU.US,D,20151124,000000,11.018,11.018,10.736,10.803,137010,0
FDEU.US,D,20151125,000000,11.024,11.024,10.797,10.822,89959,0
FDEU.US,D,20151127,000000,10.779,10.797,10.726,10.74,39772,0
FDEU.US,D,20151130,000000,10.744,10.751,10.278,10.453,352930,0
FDEU.US,D,20151201,000000,10.488,10.683,10.401,10.683,115177,0
