<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIX.US,D,20050225,000000,6.3425,6.6514,6.3337,6.6071,120839,0
FIX.US,D,20050228,000000,6.6165,6.8367,6.5279,6.8105,235901,0
FIX.US,D,20050301,000000,6.7925,7.0308,6.7925,6.96,273991,0
FIX.US,D,20050302,000000,6.8367,6.969,6.7399,6.9337,472823,0
FIX.US,D,20050303,000000,6.969,7.542,6.969,7.2425,1286856,0
FIX.US,D,20050304,000000,7.1896,7.2337,6.9516,7.0838,285321,0
FIX.US,D,20050307,000000,7.0395,7.1454,7.0046,7.0574,255512,0
FIX.US,D,20050308,000000,7.013,7.1367,6.96,6.96,177973,0
FIX.US,D,20050309,000000,6.969,7.1011,6.9424,6.9424,125604,0
FIX.US,D,20050310,000000,6.9866,7.0483,6.8453,6.925,143738,0
FIX.US,D,20050311,000000,6.8807,6.8807,6.6338,6.7044,99760,0
FIX.US,D,20050314,000000,6.7044,6.8895,6.6867,6.8807,96354,0
FIX.US,D,20050315,000000,6.925,6.925,6.6867,6.8721,137959,0
FIX.US,D,20050316,000000,6.8105,6.8807,6.6601,6.784,166865,0
FIX.US,D,20050317,000000,6.8545,6.9161,6.7044,6.9161,58607,0
FIX.US,D,20050318,000000,6.9955,6.9955,6.6778,6.7925,248257,0
FIX.US,D,20050321,000000,6.7925,6.7925,6.5898,6.6778,121747,0
FIX.US,D,20050322,000000,6.7044,6.8367,6.5898,6.6165,73345,0
FIX.US,D,20050323,000000,6.581,6.7481,6.581,6.5986,129003,0
FIX.US,D,20050324,000000,6.6248,6.96,6.6165,6.9072,104403,0
FIX.US,D,20050328,000000,6.925,6.9337,6.8105,6.8807,95901,0
FIX.US,D,20050329,000000,6.8807,6.96,6.7925,6.8807,161198,0
FIX.US,D,20050330,000000,6.9072,7.0046,6.6955,7.0046,92389,0
FIX.US,D,20050331,000000,6.969,6.969,6.7308,6.8367,182849,0
FIX.US,D,20050401,000000,6.8367,6.9161,6.5544,6.6338,190332,0
FIX.US,D,20050404,000000,6.5718,7.013,6.5718,6.9955,164824,0
FIX.US,D,20050405,000000,6.9072,7.013,6.8807,7.013,89779,0
FIX.US,D,20050406,000000,7.013,7.0574,6.925,6.9955,120616,0
FIX.US,D,20050407,000000,6.9778,7.0483,6.8807,7.0308,60988,0
FIX.US,D,20050408,000000,7.0308,7.0395,6.7223,6.7308,91480,0
FIX.US,D,20050411,000000,6.7662,6.775,6.6248,6.6514,88758,0
FIX.US,D,20050412,000000,6.6165,6.8807,6.4571,6.8545,154052,0
FIX.US,D,20050413,000000,6.8545,7.1011,6.7481,7.0395,297114,0
FIX.US,D,20050414,000000,7.0574,7.0925,6.7925,6.8013,162558,0
FIX.US,D,20050415,000000,6.8013,6.8367,6.4223,6.563,107239,0
FIX.US,D,20050418,000000,6.5014,6.969,6.5014,6.7662,120616,0
FIX.US,D,20050419,000000,6.828,6.8367,6.581,6.6165,120616,0
FIX.US,D,20050420,000000,6.6248,6.6601,6.3779,6.5367,153150,0
FIX.US,D,20050421,000000,6.6248,6.96,6.5279,6.9072,112112,0
FIX.US,D,20050422,000000,6.8453,6.96,6.4486,6.4927,187726,0
FIX.US,D,20050425,000000,6.581,6.7044,6.2016,6.3605,152807,0
FIX.US,D,20050426,000000,6.2723,6.6867,6.2191,6.2456,124242,0
FIX.US,D,20050427,000000,6.2546,6.5457,6.1222,6.2897,99186,0
FIX.US,D,20050428,000000,6.2897,6.4839,6.2016,6.3251,121636,0
FIX.US,D,20050429,000000,6.3425,6.3952,6.1752,6.2984,78558,0
FIX.US,D,20050502,000000,6.2984,6.3779,6.2016,6.3074,81729,0
FIX.US,D,20050503,000000,6.3164,6.3779,5.8307,5.8575,100774,0
FIX.US,D,20050504,000000,5.9457,6.0694,5.8399,5.9987,145328,0
FIX.US,D,20050505,000000,5.9544,5.9637,5.5134,5.6017,277390,0
FIX.US,D,20050506,000000,5.6459,5.7254,5.4694,5.5224,290427,0
FIX.US,D,20050509,000000,5.5134,5.9637,5.5134,5.8929,439721,0
FIX.US,D,20050510,000000,5.8049,5.8929,5.7337,5.8575,250523,0
FIX.US,D,20050511,000000,5.9015,5.9457,5.7958,5.8049,304251,0
FIX.US,D,20050512,000000,5.8399,5.8575,5.6896,5.7254,189424,0
FIX.US,D,20050513,000000,5.7337,5.7958,5.4694,5.5134,213797,0
FIX.US,D,20050516,000000,5.5134,5.7254,5.5134,5.6986,120839,0
FIX.US,D,20050517,000000,5.7076,5.7076,5.4428,5.5751,157343,0
FIX.US,D,20050518,000000,5.6636,5.8222,5.4956,5.6281,128776,0
FIX.US,D,20050519,000000,5.5398,5.9105,5.5398,5.7254,125716,0
FIX.US,D,20050520,000000,5.7516,5.8661,5.584,5.7254,67333,0
FIX.US,D,20050523,000000,5.6986,5.8399,5.6808,5.7165,102022,0
FIX.US,D,20050524,000000,5.6896,5.7076,5.4872,5.5489,131159,0
FIX.US,D,20050525,000000,5.5574,5.6896,5.4255,5.5224,96469,0
FIX.US,D,20050526,000000,5.5398,5.6723,5.4872,5.5665,108254,0
FIX.US,D,20050527,000000,5.5665,5.6017,5.5134,5.5398,58496,0
FIX.US,D,20050531,000000,5.5311,5.6459,5.5311,5.5489,70626,0
FIX.US,D,20050601,000000,5.5489,5.6636,5.5398,5.6459,75608,0
FIX.US,D,20050602,000000,5.6459,5.6896,5.5751,5.6636,142948,0
FIX.US,D,20050603,000000,5.6636,5.6986,5.5398,5.5574,71416,0
FIX.US,D,20050606,000000,5.6017,5.6017,5.4694,5.5489,107578,0
FIX.US,D,20050607,000000,5.5574,5.6459,5.4694,5.5751,79694,0
FIX.US,D,20050608,000000,5.5665,5.6896,5.5224,5.5751,91593,0
FIX.US,D,20050609,000000,5.5574,5.6808,5.5398,5.6194,114605,0
FIX.US,D,20050610,000000,5.6459,5.6544,5.5224,5.584,110184,0
FIX.US,D,20050613,000000,5.5926,5.7254,5.5398,5.6636,176612,0
FIX.US,D,20050614,000000,5.6723,5.7254,5.5926,5.6723,80369,0
FIX.US,D,20050615,000000,5.7337,5.7606,5.5574,5.7076,86607,0
FIX.US,D,20050616,000000,5.7165,5.9281,5.6281,5.9191,80599,0
FIX.US,D,20050617,000000,5.9105,5.9105,5.7695,5.8661,280334,0
FIX.US,D,20050620,000000,5.8575,5.8837,5.7429,5.7866,49650,0
FIX.US,D,20050621,000000,5.7958,5.8837,5.778,5.8575,99186,0
FIX.US,D,20050622,000000,5.8661,5.9544,5.778,5.8661,132404,0
FIX.US,D,20050623,000000,5.8399,5.8575,5.7866,5.7958,126170,0
FIX.US,D,20050624,000000,5.7866,5.8222,5.6459,5.8222,184209,0
FIX.US,D,20050627,000000,5.7866,5.7866,5.6281,5.6636,105765,0
FIX.US,D,20050628,000000,5.6896,5.8222,5.6194,5.8222,87287,0
FIX.US,D,20050629,000000,5.8136,5.8222,5.6896,5.8222,90799,0
FIX.US,D,20050630,000000,5.8222,5.8222,5.6459,5.8049,129117,0
FIX.US,D,20050701,000000,5.7516,5.778,5.6544,5.7337,40242,0
FIX.US,D,20050705,000000,5.7337,5.8222,5.7076,5.778,78899,0
FIX.US,D,20050706,000000,5.7695,5.7958,5.6459,5.6636,79242,0
FIX.US,D,20050707,000000,5.6017,5.7606,5.4872,5.7076,101796,0
FIX.US,D,20050708,000000,5.7076,6.0871,5.6459,5.9987,74364,0
FIX.US,D,20050711,000000,5.9987,6.3074,5.9987,6.2282,191579,0
FIX.US,D,20050712,000000,6.2102,6.563,6.1043,6.3952,113129,0
FIX.US,D,20050713,000000,6.3952,6.5544,6.3517,6.4396,103610,0
FIX.US,D,20050714,000000,6.4927,6.5898,6.3952,6.4046,99304,0
FIX.US,D,20050715,000000,6.3952,6.5188,6.2634,6.4307,127870,0
FIX.US,D,20050718,000000,6.4138,6.4571,6.1486,6.2282,128890,0
FIX.US,D,20050719,000000,6.2723,6.5188,6.1834,6.4307,85361,0
FIX.US,D,20050720,000000,6.3952,6.581,6.2546,6.5102,76854,0
FIX.US,D,20050721,000000,6.5188,6.5718,6.3074,6.3692,52259,0
FIX.US,D,20050722,000000,6.3952,6.6338,6.3952,6.6338,67906,0
FIX.US,D,20050725,000000,6.6601,6.7308,6.4307,6.4307,68470,0
FIX.US,D,20050726,000000,6.4396,6.7044,6.3517,6.5544,111435,0
FIX.US,D,20050727,000000,6.5544,6.7044,6.5279,6.7044,69035,0
FIX.US,D,20050728,000000,6.7308,6.775,6.5986,6.775,136144,0
