<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLYA-U.US,D,20210917,000000,10.2,10.2,10.12,10.2,376252,0
FLYA-U.US,D,20210920,000000,10.14,10.2,10.12,10.16,21759,0
FLYA-U.US,D,20210921,000000,10.2,10.2,10.15,10.1999,27679,0
FLYA-U.US,D,20210922,000000,10.95,10.95,10.145,10.19,5635,0
FLYA-U.US,D,20210923,000000,10.3,10.3,10.14,10.1487,3997,0
FLYA-U.US,D,20210924,000000,10.2,10.2,10.15,10.1536,203350,0
FLYA-U.US,D,20210927,000000,10.9,10.9,10.15,10.15,42929,0
FLYA-U.US,D,20210928,000000,10.24,10.24,10.15,10.17,2655,0
FLYA-U.US,D,20210929,000000,10.17,10.19,10.16,10.19,2904,0
FLYA-U.US,D,20210930,000000,10.1956,10.2,10.15,10.15,1227,0
FLYA-U.US,D,20211004,000000,10.22,10.22,10.12,10.15,58926,0
FLYA-U.US,D,20211005,000000,10.15,10.2,10.15,10.18,7387,0
FLYA-U.US,D,20211006,000000,10.165,10.18,10.165,10.18,95566,0
FLYA-U.US,D,20211007,000000,10.2,10.2,10.19,10.19,1799,0
FLYA-U.US,D,20211012,000000,10.19,10.19,10.19,10.19,117936,0
FLYA-U.US,D,20211013,000000,10.19,10.19,10.15,10.15,117862,0
FLYA-U.US,D,20211014,000000,10.24,10.24,10.2,10.2,329560,0
FLYA-U.US,D,20211015,000000,10.15,10.2,10.15,10.2,400006,0
FLYA-U.US,D,20211018,000000,10.18,10.18,10.17,10.17,221000,0
FLYA-U.US,D,20211019,000000,10.16,10.18,10.16,10.17,448377,0
FLYA-U.US,D,20211020,000000,10.16,10.16,10.16,10.16,394,0
FLYA-U.US,D,20211021,000000,10.2308,10.2308,10.16,10.1759,10252,0
FLYA-U.US,D,20211025,000000,10.18,10.2,10.18,10.2,1335,0
FLYA-U.US,D,20211026,000000,10.16,10.18,10.16,10.18,700,0
FLYA-U.US,D,20211027,000000,10.16,10.16,10.16,10.16,500,0
FLYA-U.US,D,20211028,000000,10.17,10.18,10.17,10.18,48735,0
FLYA-U.US,D,20211029,000000,10.24,10.24,10.17,10.17,3120,0
FLYA-U.US,D,20211102,000000,10.2,10.22,10.2,10.2,131256,0
FLYA-U.US,D,20211103,000000,10.22,10.22,10.22,10.22,200103,0
FLYA-U.US,D,20211104,000000,10.28,10.28,10.28,10.28,100,0
FLYA-U.US,D,20211105,000000,10.22,10.23,10.22,10.22,43500,0
FLYA-U.US,D,20211108,000000,10.24,10.24,10.23,10.23,1500,0
FLYA-U.US,D,20211109,000000,10.22,10.245,10.2,10.22,141378,0
FLYA-U.US,D,20211110,000000,10.21,10.25,10.21,10.24,153396,0
FLYA-U.US,D,20211111,000000,10.22,10.32,10.22,10.26,64942,0
FLYA-U.US,D,20211112,000000,10.26,10.26,10.25,10.25,29762,0
FLYA-U.US,D,20211115,000000,10.27,10.295,10.25,10.26,51600,0
FLYA-U.US,D,20211118,000000,10.23,10.27,10.23,10.27,61367,0
FLYA-U.US,D,20211119,000000,10.5229,10.5229,10.28,10.29,15976,0
FLYA-U.US,D,20211122,000000,10.29,10.29,10.27,10.285,5515,0
FLYA-U.US,D,20211123,000000,10.22,10.37,10.22,10.37,240,0
FLYA-U.US,D,20211124,000000,10.27,10.27,10.27,10.27,50100,0
FLYA-U.US,D,20211129,000000,10.25,10.25,10.24,10.25,36510,0
FLYA-U.US,D,20211130,000000,10.365,10.365,10.3,10.3,6323,0
FLYA-U.US,D,20211201,000000,10.251,10.251,10.24,10.24,4587,0
FLYA-U.US,D,20211202,000000,10.31,10.31,10.31,10.31,120,0
FLYA-U.US,D,20211207,000000,10.24,10.24,10.24,10.24,101,0
FLYA-U.US,D,20211208,000000,10.22,10.22,10.22,10.22,680,0
FLYA-U.US,D,20211209,000000,10.22,10.22,10.22,10.22,12827,0
FLYA-U.US,D,20211213,000000,10.25,10.25,10.25,10.25,100,0
FLYA-U.US,D,20211214,000000,10.26,10.26,10.26,10.26,100,0
FLYA-U.US,D,20211222,000000,10.26,10.26,10.26,10.26,200,0
FLYA-U.US,D,20211223,000000,10.29,10.3345,10.23,10.23,6927,0
FLYA-U.US,D,20211227,000000,10.23,10.255,10.23,10.23,2848,0
FLYA-U.US,D,20211228,000000,10.23,10.255,10.23,10.255,500,0
FLYA-U.US,D,20220106,000000,10.22,10.27,10.22,10.22,15186,0
FLYA-U.US,D,20220107,000000,10.22,10.22,10.22,10.22,5000,0
FLYA-U.US,D,20220110,000000,10.23,10.25,10.23,10.24,29821,0
FLYA-U.US,D,20220111,000000,10.23,10.24,10.23,10.24,6112,0
FLYA-U.US,D,20220114,000000,10.25,10.25,10.2,10.25,5864,0
FLYA-U.US,D,20220120,000000,10.27,10.27,10.27,10.27,1000,0
FLYA-U.US,D,20220121,000000,10.2403,10.2403,10.24,10.24,4403,0
