<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNA.US,D,20211015,000000,19.15,19.92,17.52,18.71,4346574,0
FNA.US,D,20211018,000000,19,19.83,18.109,19.52,526398,0
FNA.US,D,20211019,000000,19.4,19.83,18,18.19,339336,0
FNA.US,D,20211020,000000,17.8,19.03,17.52,18.86,381952,0
FNA.US,D,20211021,000000,18.65,19.07,18.5157,18.86,273180,0
FNA.US,D,20211022,000000,18.85,19.23,17.255,17.81,457352,0
FNA.US,D,20211025,000000,18,18.68,17.76,18.52,204506,0
FNA.US,D,20211026,000000,18.77,19.19,18.665,18.95,227824,0
FNA.US,D,20211027,000000,18.97,19.22,18.8001,19.1,134080,0
FNA.US,D,20211028,000000,18.95,21.13,18.83,20.68,223325,0
FNA.US,D,20211029,000000,20.68,21.55,20.35,21.04,149843,0
FNA.US,D,20211101,000000,21.49,21.8807,20.81,21.05,171021,0
FNA.US,D,20211102,000000,20.8,22.34,20.8,22.34,256106,0
FNA.US,D,20211103,000000,22.55,23.3,22.36,23.22,214147,0
FNA.US,D,20211104,000000,23.5,24.47,22.8001,23.22,198164,0
FNA.US,D,20211105,000000,23.5,24,23.15,23.95,205892,0
FNA.US,D,20211108,000000,24.3,24.95,24.03,24.5,172622,0
FNA.US,D,20211109,000000,24.95,25.3804,24.2,25.09,224480,0
FNA.US,D,20211110,000000,25.09,25.41,21.6689,22.13,172828,0
FNA.US,D,20211111,000000,22.29,24.57,22.29,23.75,278185,0
FNA.US,D,20211112,000000,23.5,24.01,22.2867,23.09,182612,0
FNA.US,D,20211115,000000,23.15,23.535,22.02,22.26,187278,0
FNA.US,D,20211116,000000,22,23.24,21.83,23.03,209247,0
FNA.US,D,20211117,000000,22.98,23.58,21.7806,22.08,279845,0
FNA.US,D,20211118,000000,22.24,23.15,21.01,22.41,199044,0
FNA.US,D,20211119,000000,22.17,22.74,21.05,21.13,145665,0
FNA.US,D,20211122,000000,21.6,22.3899,19.85,20.53,289043,0
FNA.US,D,20211123,000000,20.25,21.26,17.8,20.68,403749,0
FNA.US,D,20211124,000000,20.44,21.73,20.205,21.16,361534,0
FNA.US,D,20211126,000000,20.33,21.005,19.69,19.87,209903,0
FNA.US,D,20211129,000000,20.34,20.74,18.66,19.24,273473,0
FNA.US,D,20211130,000000,18.82,19,18.1608,18.76,179654,0
FNA.US,D,20211201,000000,18.88,19.45,18.15,19.07,145683,0
FNA.US,D,20211202,000000,19.04,20.07,18.77,20.06,149003,0
FNA.US,D,20211203,000000,20.04,20.5,18.15,18.8,204922,0
FNA.US,D,20211206,000000,19.22,19.915,18.5501,19.27,183944,0
FNA.US,D,20211207,000000,19.2,19.7,18.12,18.54,239552,0
FNA.US,D,20211208,000000,18.55,18.72,17.8793,18.23,164843,0
FNA.US,D,20211209,000000,18.01,18.4977,17.22,17.36,165837,0
FNA.US,D,20211210,000000,17.28,17.51,16.63,16.84,184743,0
FNA.US,D,20211213,000000,16.71,17,16.38,16.75,239459,0
FNA.US,D,20211214,000000,16.7,17.4,16.11,16.41,200421,0
FNA.US,D,20211215,000000,16.34,16.5874,15.01,15.97,153721,0
FNA.US,D,20211216,000000,15.78,15.935,14.555,14.76,247110,0
FNA.US,D,20211217,000000,14.64,15.17,13.74,13.9,1691240,0
FNA.US,D,20211220,000000,13.9,14.48,12.87,13.33,364541,0
FNA.US,D,20211221,000000,13.4,14.06,12.95,13.96,240551,0
FNA.US,D,20211222,000000,14.16,14.26,13.38,13.76,118068,0
FNA.US,D,20211223,000000,13.83,15.26,13.76,15.09,213921,0
FNA.US,D,20211227,000000,15.24,16.72,15.24,16.69,246954,0
FNA.US,D,20211228,000000,16.69,17.1329,15.84,16.44,194778,0
FNA.US,D,20211229,000000,16.5,16.855,16.155,16.66,144283,0
FNA.US,D,20211230,000000,16.72,18.01,16.615,17.92,189588,0
FNA.US,D,20211231,000000,17.9,18.96,17.36,17.69,269201,0
FNA.US,D,20220103,000000,17.57,18.12,17.28,17.56,165676,0
FNA.US,D,20220104,000000,17.52,17.54,16.5419,17.51,255254,0
FNA.US,D,20220105,000000,17.54,17.99,16.6,16.8,147089,0
FNA.US,D,20220106,000000,16.8,16.95,15.7,16.27,153079,0
FNA.US,D,20220107,000000,16.2,16.63,15.075,15.41,309672,0
FNA.US,D,20220110,000000,15.13,17.38,14.63,17.31,191181,0
FNA.US,D,20220111,000000,17.25,17.25,16.5,17.08,165204,0
FNA.US,D,20220112,000000,17.58,17.82,16.25,16.47,301439,0
FNA.US,D,20220113,000000,16.48,16.93,15.65,15.98,87295,0
FNA.US,D,20220114,000000,15.93,16.45,15.55,16.35,126103,0
FNA.US,D,20220118,000000,16.13,16.13,14.57,14.96,213822,0
FNA.US,D,20220119,000000,14.89,15.17,13.84,14.19,209926,0
FNA.US,D,20220120,000000,14.17,15.35,14.09,14.49,72406,0
FNA.US,D,20220121,000000,14.13,14.54,13.67,13.91,136537,0
