<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FT.US,D,20050225,000000,3.1536,3.2114,3.1487,3.1955,92413,0
FT.US,D,20050228,000000,3.2166,3.2166,3.1801,3.1853,122780,0
FT.US,D,20050301,000000,3.2056,3.2529,3.2009,3.2374,186189,0
FT.US,D,20050302,000000,3.2374,3.2477,3.2009,3.2056,135650,0
FT.US,D,20050303,000000,3.2009,3.2265,3.1955,3.2114,217894,0
FT.US,D,20050304,000000,3.2114,3.2477,3.2114,3.2322,319151,0
FT.US,D,20050307,000000,3.2322,3.2477,3.2322,3.2374,97218,0
FT.US,D,20050308,000000,3.2419,3.2477,3.2218,3.2265,148529,0
FT.US,D,20050309,000000,3.2218,3.2419,3.2056,3.2114,71287,0
FT.US,D,20050310,000000,3.2114,3.2166,3.1955,3.2166,143720,0
FT.US,D,20050311,000000,3.2166,3.2218,3.1955,3.1955,83773,0
FT.US,D,20050314,000000,3.2056,3.2114,3.1801,3.1801,209812,0
FT.US,D,20050315,000000,3.1955,3.2114,3.1853,3.1853,115279,0
FT.US,D,20050316,000000,3.1955,3.2056,3.1692,3.1853,354126,0
FT.US,D,20050317,000000,3.1593,3.175,3.1487,3.1487,257083,0
FT.US,D,20050318,000000,3.1487,3.175,3.1487,3.175,47070,0
FT.US,D,20050321,000000,3.1692,3.1801,3.1593,3.1593,135458,0
FT.US,D,20050322,000000,3.1593,3.1647,3.107,3.1179,167733,0
FT.US,D,20050323,000000,3.0912,3.0969,3.0392,3.0969,179456,0
FT.US,D,20050324,000000,3.0654,3.1329,3.0654,3.0969,66288,0
FT.US,D,20050328,000000,3.0497,3.0969,3.0497,3.0704,91274,0
FT.US,D,20050329,000000,3.0392,3.0704,3.0392,3.055,76668,0
FT.US,D,20050330,000000,3.0451,3.102,3.0451,3.102,48619,0
FT.US,D,20050331,000000,3.0865,3.107,3.0813,3.102,52269,0
FT.US,D,20050401,000000,3.102,3.1279,3.0969,3.107,143149,0
FT.US,D,20050404,000000,3.107,3.1385,3.0813,3.0912,40927,0
FT.US,D,20050405,000000,3.0912,3.1179,3.0865,3.1179,18830,0
FT.US,D,20050406,000000,3.1227,3.1227,3.0969,3.1121,50717,0
FT.US,D,20050407,000000,3.0912,3.1329,3.0912,3.1329,59950,0
FT.US,D,20050408,000000,3.102,3.1279,3.102,3.1279,49760,0
FT.US,D,20050411,000000,3.1227,3.1279,3.102,3.1179,38241,0
FT.US,D,20050412,000000,3.107,3.1279,3.102,3.1279,28251,0
FT.US,D,20050413,000000,3.102,3.1435,3.102,3.102,60141,0
FT.US,D,20050414,000000,3.102,3.1179,3.0969,3.102,51687,0
FT.US,D,20050415,000000,3.1121,3.1179,3.0969,3.102,46883,0
FT.US,D,20050418,000000,3.1121,3.1692,3.0969,3.102,109511,0
FT.US,D,20050419,000000,3.1385,3.1385,3.0813,3.107,83003,0
FT.US,D,20050420,000000,3.0969,3.102,3.0704,3.0969,82427,0
FT.US,D,20050421,000000,3.102,3.1121,3.0813,3.102,172741,0
FT.US,D,20050422,000000,3.0912,3.0912,3.055,3.0865,135269,0
FT.US,D,20050425,000000,3.0704,3.102,3.055,3.102,150442,0
FT.US,D,20050426,000000,3.0865,3.1227,3.0865,3.1227,67056,0
FT.US,D,20050427,000000,3.0912,3.1179,3.0704,3.0969,32664,0
FT.US,D,20050428,000000,3.107,3.1227,3.0865,3.1179,58796,0
FT.US,D,20050429,000000,3.1329,3.1329,3.0865,3.0969,65711,0
FT.US,D,20050502,000000,3.0969,3.1329,3.0813,3.0969,55529,0
FT.US,D,20050503,000000,3.0865,3.1329,3.0865,3.1279,24397,0
FT.US,D,20050504,000000,3.102,3.1329,3.0969,3.1179,56107,0
FT.US,D,20050505,000000,3.1121,3.1279,3.102,3.107,55719,0
FT.US,D,20050506,000000,3.1227,3.1385,3.107,3.1179,25740,0
FT.US,D,20050509,000000,3.1179,3.1329,3.1179,3.1227,32288,0
FT.US,D,20050510,000000,3.1385,3.1385,3.1121,3.1227,22864,0
FT.US,D,20050511,000000,3.1227,3.1329,3.1179,3.1227,37081,0
FT.US,D,20050512,000000,3.1279,3.1385,3.1121,3.1329,29973,0
FT.US,D,20050513,000000,3.1329,3.1329,3.107,3.1179,70323,0
FT.US,D,20050516,000000,3.107,3.1227,3.0912,3.1121,94725,0
FT.US,D,20050517,000000,3.0865,3.1179,3.076,3.0912,100299,0
FT.US,D,20050518,000000,3.0865,3.1385,3.0865,3.107,66671,0
FT.US,D,20050519,000000,3.1435,3.1435,3.107,3.1121,78782,0
FT.US,D,20050520,000000,3.1121,3.1385,3.1121,3.1121,49194,0
FT.US,D,20050523,000000,3.1121,3.1385,3.1121,3.1329,109341,0
FT.US,D,20050524,000000,3.1227,3.1385,3.1179,3.1329,28251,0
FT.US,D,20050525,000000,3.1227,3.1329,3.1179,3.1179,44765,0
FT.US,D,20050526,000000,3.1121,3.1227,3.107,3.1121,44568,0
FT.US,D,20050527,000000,3.1121,3.1329,3.1121,3.1329,109919,0
FT.US,D,20050531,000000,3.1329,3.1801,3.1329,3.1801,111059,0
FT.US,D,20050601,000000,3.175,3.1801,3.1647,3.1801,30353,0
FT.US,D,20050602,000000,3.175,3.1853,3.175,3.1853,37081,0
FT.US,D,20050603,000000,3.2009,3.2009,3.1385,3.1435,151032,0
FT.US,D,20050606,000000,3.1593,3.1853,3.1593,3.1801,41501,0
FT.US,D,20050607,000000,3.175,3.1955,3.175,3.1801,48415,0
FT.US,D,20050608,000000,3.1647,3.1801,3.1647,3.1692,38421,0
FT.US,D,20050609,000000,3.1692,3.1853,3.1593,3.1593,33820,0
FT.US,D,20050610,000000,3.175,3.1853,3.1593,3.1647,75510,0
FT.US,D,20050613,000000,3.1647,3.1801,3.1647,3.1692,27085,0
FT.US,D,20050614,000000,3.175,3.1853,3.1536,3.1853,86271,0
FT.US,D,20050615,000000,3.1692,3.1899,3.1692,3.1899,88011,0
FT.US,D,20050616,000000,3.175,3.2114,3.1692,3.175,157555,0
FT.US,D,20050617,000000,3.175,3.2056,3.1647,3.2056,89540,0
FT.US,D,20050620,000000,3.2056,3.2056,3.175,3.2056,73198,0
FT.US,D,20050621,000000,3.175,3.2009,3.1647,3.175,105487,0
FT.US,D,20050622,000000,3.175,3.1955,3.1647,3.1647,132966,0
FT.US,D,20050623,000000,3.1692,3.1899,3.1692,3.1801,64750,0
FT.US,D,20050624,000000,3.1801,3.2009,3.1801,3.1955,83003,0
FT.US,D,20050627,000000,3.1853,3.2009,3.175,3.1899,58219,0
FT.US,D,20050628,000000,3.1853,3.2218,3.1692,3.2166,127586,0
FT.US,D,20050629,000000,3.1899,3.2166,3.1899,3.2166,78969,0
FT.US,D,20050630,000000,3.2056,3.2166,3.2056,3.2114,70900,0
FT.US,D,20050701,000000,3.2114,3.2265,3.2009,3.2265,93191,0
FT.US,D,20050705,000000,3.2218,3.2218,3.2056,3.2056,32091,0
FT.US,D,20050706,000000,3.2056,3.2374,3.2056,3.2374,37276,0
FT.US,D,20050707,000000,3.2166,3.2419,3.2114,3.2419,16525,0
FT.US,D,20050708,000000,3.2419,3.2419,3.2218,3.2322,55337,0
FT.US,D,20050711,000000,3.2322,3.2529,3.2166,3.2477,79728,0
FT.US,D,20050712,000000,3.2477,3.2529,3.2322,3.2374,40346,0
FT.US,D,20050713,000000,3.2322,3.2477,3.2322,3.2477,59564,0
FT.US,D,20050714,000000,3.2477,3.2529,3.2374,3.2419,56871,0
FT.US,D,20050715,000000,3.2419,3.2583,3.2322,3.2419,116837,0
FT.US,D,20050718,000000,3.2529,3.2787,3.2374,3.2477,201750,0
FT.US,D,20050719,000000,3.2477,3.2787,3.2477,3.2686,131422,0
FT.US,D,20050720,000000,3.2841,3.2945,3.2419,3.2737,163703,0
FT.US,D,20050721,000000,3.2686,3.2888,3.2529,3.2888,121438,0
FT.US,D,20050722,000000,3.2841,3.2945,3.2737,3.2841,66288,0
FT.US,D,20050725,000000,3.2787,3.2888,3.2419,3.2583,67830,0
FT.US,D,20050726,000000,3.2686,3.2787,3.2529,3.2787,53801,0
FT.US,D,20050727,000000,3.2529,3.2686,3.2166,3.2419,82041,0
FT.US,D,20050728,000000,3.2419,3.2628,3.2322,3.2628,77812,0
FT.US,D,20050729,000000,3.2583,3.2686,3.2529,3.2628,36501,0
FT.US,D,20050801,000000,3.2529,3.2737,3.2419,3.2737,85688,0
FT.US,D,20050802,000000,3.2628,3.2737,3.2583,3.2628,49951,0
FT.US,D,20050803,000000,3.2686,3.2888,3.2583,3.2787,136811,0
FT.US,D,20050804,000000,3.2841,3.2841,3.2686,3.2787,29014,0
FT.US,D,20050805,000000,3.2686,3.2686,3.2628,3.2628,24588,0
FT.US,D,20050808,000000,3.2583,3.2737,3.2419,3.2419,90689,0
FT.US,D,20050809,000000,3.2322,3.2477,3.2114,3.2218,89733,0
FT.US,D,20050810,000000,3.2419,3.2477,3.2009,3.2218,130463,0
FT.US,D,20050811,000000,3.2056,3.2265,3.2056,3.2166,82618,0
FT.US,D,20050812,000000,3.2322,3.2419,3.2166,3.2419,16912,0
FT.US,D,20050815,000000,3.2419,3.2419,3.2265,3.2322,22864,0
FT.US,D,20050816,000000,3.2322,3.2888,3.2322,3.2686,165625,0
FT.US,D,20050817,000000,3.2628,3.2787,3.2374,3.2787,66288,0
FT.US,D,20050818,000000,3.2787,3.2787,3.2529,3.2686,53225,0
FT.US,D,20050819,000000,3.2529,3.2787,3.2529,3.2583,74741,0
FT.US,D,20050822,000000,3.2583,3.2628,3.2374,3.2583,44199,0
FT.US,D,20050823,000000,3.2529,3.2686,3.2529,3.2686,36309,0
FT.US,D,20050824,000000,3.2628,3.2686,3.2529,3.2529,81851,0
FT.US,D,20050825,000000,3.2529,3.2628,3.2477,3.2529,51304,0
FT.US,D,20050826,000000,3.2529,3.2628,3.2477,3.2583,42080,0
FT.US,D,20050829,000000,3.2265,3.2628,3.2265,3.2583,73591,0
FT.US,D,20050830,000000,3.2628,3.2686,3.2265,3.2477,55914,0
FT.US,D,20050831,000000,3.2477,3.2529,3.2166,3.2374,89733,0
FT.US,D,20050901,000000,3.2419,3.2477,3.2322,3.2477,33623,0
FT.US,D,20050902,000000,3.2265,3.2628,3.2265,3.2419,56107,0
FT.US,D,20050906,000000,3.2419,3.2737,3.2419,3.2628,89540,0
FT.US,D,20050907,000000,3.2529,3.2787,3.2529,3.2686,114710,0
FT.US,D,20050908,000000,3.2686,3.2841,3.2583,3.2841,65711,0
FT.US,D,20050909,000000,3.2841,3.2996,3.2841,3.2888,55337,0
FT.US,D,20050912,000000,3.2945,3.3205,3.2888,3.3048,44964,0
FT.US,D,20050913,000000,3.2996,3.315,3.2787,3.3048,44000,0
FT.US,D,20050914,000000,3.3048,3.3205,3.2787,3.3048,184840,0
FT.US,D,20050915,000000,3.3048,3.315,3.2888,3.3048,72829,0
FT.US,D,20050916,000000,3.3048,3.3357,3.2996,3.3256,137386,0
FT.US,D,20050919,000000,3.3048,3.3205,3.2945,3.3048,27085,0
FT.US,D,20050920,000000,3.2996,3.3307,3.2888,3.2945,115672,0
FT.US,D,20050921,000000,3.2888,3.3101,3.2888,3.3048,76096,0
FT.US,D,20050922,000000,3.3048,3.3101,3.2787,3.2996,83384,0
FT.US,D,20050923,000000,3.2945,3.2945,3.2322,3.2529,119325,0
FT.US,D,20050926,000000,3.2583,3.2737,3.2114,3.2529,46883,0
FT.US,D,20050927,000000,3.2322,3.2583,3.2166,3.2166,264006,0
FT.US,D,20050928,000000,3.2218,3.2628,3.2166,3.2322,97218,0
