<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FUL.US,D,20050225,000000,11.401,11.602,11.32,11.602,145169,0
FUL.US,D,20050228,000000,11.602,11.728,11.585,11.709,398419,0
FUL.US,D,20050301,000000,11.7,11.883,11.69,11.761,262351,0
FUL.US,D,20050302,000000,11.646,11.875,11.576,11.618,307403,0
FUL.US,D,20050303,000000,11.602,11.866,11.602,11.806,184534,0
FUL.US,D,20050304,000000,11.833,12.06,11.833,12.043,197503,0
FUL.US,D,20050307,000000,12.053,12.078,11.761,11.806,278277,0
FUL.US,D,20050308,000000,11.892,12.025,11.892,11.916,206830,0
FUL.US,D,20050309,000000,11.916,12.146,11.899,12.053,189539,0
FUL.US,D,20050310,000000,12.043,12.121,11.964,12.043,386591,0
FUL.US,D,20050311,000000,12.043,12.129,11.945,12.06,185896,0
FUL.US,D,20050314,000000,12.043,12.174,12.043,12.103,202962,0
FUL.US,D,20050315,000000,12.146,12.297,11.925,11.945,268950,0
FUL.US,D,20050316,000000,11.907,11.978,11.728,11.779,208424,0
FUL.US,D,20050317,000000,11.806,11.945,11.681,11.709,251885,0
FUL.US,D,20050318,000000,11.842,11.954,11.779,11.899,516286,0
FUL.US,D,20050321,000000,11.971,11.971,11.779,11.899,139250,0
FUL.US,D,20050322,000000,11.899,12.043,11.709,11.736,248929,0
FUL.US,D,20050323,000000,12.146,12.743,12.086,12.409,1389804,0
FUL.US,D,20050324,000000,12.464,12.516,12.341,12.385,435965,0
FUL.US,D,20050328,000000,12.409,12.659,12.409,12.639,389777,0
FUL.US,D,20050329,000000,12.581,12.832,12.535,12.553,710375,0
FUL.US,D,20050330,000000,12.563,12.771,12.563,12.715,656217,0
FUL.US,D,20050331,000000,12.681,12.78,12.614,12.743,441648,0
FUL.US,D,20050401,000000,12.715,12.807,12.544,12.591,473050,0
FUL.US,D,20050404,000000,12.614,12.699,12.498,12.676,346085,0
FUL.US,D,20050405,000000,12.659,12.807,12.659,12.681,245059,0
FUL.US,D,20050406,000000,12.734,12.789,12.639,12.639,456896,0
FUL.US,D,20050407,000000,12.639,12.715,12.498,12.676,528348,0
FUL.US,D,20050408,000000,12.699,12.715,12.639,12.659,487617,0
FUL.US,D,20050411,000000,12.699,12.734,12.563,12.563,313324,0
FUL.US,D,20050412,000000,12.563,12.6,12.288,12.572,582726,0
FUL.US,D,20050413,000000,12.622,12.681,12.305,12.393,716064,0
FUL.US,D,20050414,000000,12.416,12.472,12.086,12.129,639382,0
FUL.US,D,20050415,000000,12.129,12.129,11.833,11.945,504680,0
FUL.US,D,20050418,000000,12.025,12.253,11.964,12.2,659405,0
FUL.US,D,20050419,000000,12.262,12.591,12.245,12.553,804574,0
FUL.US,D,20050420,000000,12.535,12.535,12.324,12.351,773175,0
FUL.US,D,20050421,000000,12.444,12.734,12.444,12.715,522427,0
FUL.US,D,20050422,000000,12.681,12.699,12.393,12.563,370887,0
FUL.US,D,20050425,000000,12.591,12.78,12.525,12.676,371798,0
FUL.US,D,20050426,000000,12.965,13.457,12.941,13.29,1518365,0
FUL.US,D,20050427,000000,13.29,13.5,13.195,13.229,735858,0
FUL.US,D,20050428,000000,13.229,13.448,13.229,13.29,980693,0
FUL.US,D,20050429,000000,13.334,13.361,13.14,13.324,887853,0
FUL.US,D,20050502,000000,13.406,13.624,13.315,13.5,573169,0
FUL.US,D,20050503,000000,13.466,13.809,13.466,13.652,805260,0
FUL.US,D,20050504,000000,13.652,14.133,13.616,14.06,863279,0
FUL.US,D,20050505,000000,14.07,14.224,14.036,14.079,762705,0
FUL.US,D,20050506,000000,14.123,14.188,13.933,14.002,467818,0
FUL.US,D,20050509,000000,14.012,14.044,13.968,14.026,403657,0
FUL.US,D,20050510,000000,13.933,13.968,13.668,13.799,470320,0
FUL.US,D,20050511,000000,13.809,13.852,13.643,13.791,315140,0
FUL.US,D,20050512,000000,13.624,13.95,13.548,13.624,440515,0
FUL.US,D,20050513,000000,13.668,13.683,13.158,13.361,412528,0
FUL.US,D,20050516,000000,13.307,13.528,13.246,13.528,572030,0
FUL.US,D,20050517,000000,13.466,13.548,13.361,13.548,414121,0
FUL.US,D,20050518,000000,13.616,14.051,13.616,14.018,356095,0
FUL.US,D,20050519,000000,14.018,14.188,13.763,13.933,405472,0
FUL.US,D,20050520,000000,13.933,13.933,13.73,13.754,215478,0
FUL.US,D,20050523,000000,13.745,13.943,13.738,13.781,323786,0
FUL.US,D,20050524,000000,13.693,13.906,13.562,13.771,171561,0
FUL.US,D,20050525,000000,13.73,13.754,13.519,13.676,276457,0
FUL.US,D,20050526,000000,13.693,13.958,13.683,13.958,169064,0
FUL.US,D,20050527,000000,13.943,14.026,13.879,13.978,185446,0
FUL.US,D,20050531,000000,13.958,14.31,13.958,14.241,413667,0
FUL.US,D,20050601,000000,14.198,14.411,14.143,14.404,476011,0
FUL.US,D,20050602,000000,14.404,14.802,14.267,14.678,572714,0
FUL.US,D,20050603,000000,14.658,14.764,14.566,14.694,555196,0
FUL.US,D,20050606,000000,14.504,14.522,14.31,14.411,307633,0
FUL.US,D,20050607,000000,14.421,14.739,14.421,14.576,305134,0
FUL.US,D,20050608,000000,14.576,14.576,14.283,14.342,186125,0
FUL.US,D,20050609,000000,14.335,14.404,14.171,14.293,256893,0
FUL.US,D,20050610,000000,14.277,14.369,14.241,14.258,184308,0
FUL.US,D,20050613,000000,14.123,14.342,14.098,14.325,306037,0
FUL.US,D,20050614,000000,14.283,14.486,14.283,14.421,322193,0
FUL.US,D,20050615,000000,14.44,14.566,14.224,14.566,333343,0
FUL.US,D,20050616,000000,14.566,14.783,14.459,14.703,337212,0
