<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIA.US,D,20211105,000000,9.9,9.9524,9.89,9.91,56697,0
GIA.US,D,20211108,000000,9.8726,9.9,9.87,9.88,103669,0
GIA.US,D,20211109,000000,9.87,9.93,9.86,9.91,691303,0
GIA.US,D,20211110,000000,9.9269,9.9269,9.84,9.91,139305,0
GIA.US,D,20211111,000000,9.9,9.9,9.895,9.895,644010,0
GIA.US,D,20211112,000000,9.89,9.9,9.89,9.9,827,0
GIA.US,D,20211115,000000,9.91,9.93,9.9,9.91,139573,0
GIA.US,D,20211116,000000,9.9,9.92,9.9,9.92,1531,0
GIA.US,D,20211117,000000,9.91,9.92,9.9,9.91,52796,0
GIA.US,D,20211118,000000,9.91,9.91,9.91,9.91,2005,0
GIA.US,D,20211119,000000,9.91,9.9217,9.9,9.92,5533,0
GIA.US,D,20211122,000000,9.96,9.96,9.9199,9.9199,230,0
GIA.US,D,20211123,000000,9.96,9.96,9.92,9.92,4310,0
GIA.US,D,20211124,000000,9.96,9.96,9.91,9.91,720,0
GIA.US,D,20211129,000000,9.91,9.91,9.91,9.91,391,0
GIA.US,D,20211130,000000,9.91,9.91,9.9,9.91,121573,0
GIA.US,D,20211201,000000,9.91,9.92,9.91,9.92,29971,0
GIA.US,D,20211203,000000,9.92,9.92,9.92,9.92,2800,0
GIA.US,D,20211206,000000,9.92,9.92,9.91,9.91,71758,0
GIA.US,D,20211207,000000,9.91,9.92,9.91,9.92,622,0
GIA.US,D,20211208,000000,9.91,9.92,9.91,9.92,1613,0
GIA.US,D,20211209,000000,9.92,9.92,9.92,9.92,781,0
GIA.US,D,20211210,000000,9.91,9.9105,9.91,9.91,161881,0
GIA.US,D,20211214,000000,9.91,9.91,9.85,9.85,866600,0
GIA.US,D,20211215,000000,9.87,9.87,9.87,9.87,310,0
GIA.US,D,20211216,000000,9.88,9.88,9.88,9.88,8957,0
GIA.US,D,20211217,000000,9.88,9.88,9.88,9.88,302,0
GIA.US,D,20211220,000000,9.86,9.86,9.85,9.86,3622,0
GIA.US,D,20211221,000000,9.88,9.88,9.87,9.87,5134,0
GIA.US,D,20211222,000000,9.88,9.91,9.87,9.87,18484,0
GIA.US,D,20211223,000000,9.87,9.89,9.87,9.87,71529,0
GIA.US,D,20211227,000000,9.87,9.88,9.87,9.88,21374,0
GIA.US,D,20211228,000000,9.88,9.88,9.86,9.86,1539,0
GIA.US,D,20211229,000000,9.89,9.89,9.87,9.87,25587,0
GIA.US,D,20211230,000000,9.87,9.89,9.87,9.89,1144,0
GIA.US,D,20220103,000000,9.93,9.93,9.88,9.88,1573,0
GIA.US,D,20220104,000000,9.89,9.89,9.88,9.89,17759,0
GIA.US,D,20220105,000000,9.89,9.92,9.89,9.9,35052,0
GIA.US,D,20220107,000000,9.89,9.89,9.89,9.89,118709,0
GIA.US,D,20220110,000000,9.84,9.9,9.84,9.9,3180,0
GIA.US,D,20220111,000000,9.87,9.91,9.81,9.91,5916,0
GIA.US,D,20220112,000000,9.86,9.9,9.86,9.88,16093,0
GIA.US,D,20220113,000000,9.8801,9.905,9.8801,9.9,12450,0
GIA.US,D,20220114,000000,9.88,9.9,9.87,9.9,172496,0
GIA.US,D,20220118,000000,9.89,9.89,9.89,9.89,630,0
GIA.US,D,20220119,000000,9.89,9.91,9.89,9.91,612146,0
GIA.US,D,20220120,000000,9.9,9.9,9.9,9.9,55189,0
GIA.US,D,20220121,000000,9.89,9.9,9.89,9.9,511,0
