<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLT.US,D,20050225,000000,10.91,11.122,10.827,11.122,175980,0
GLT.US,D,20050228,000000,10.992,11.237,10.979,11.158,237603,0
GLT.US,D,20050301,000000,11.196,11.388,11.145,11.345,516377,0
GLT.US,D,20050302,000000,10.918,11.122,10.392,10.926,495786,0
GLT.US,D,20050303,000000,10.947,11.113,10.791,11.09,284755,0
GLT.US,D,20050304,000000,11.145,11.445,11.145,11.362,351027,0
GLT.US,D,20050307,000000,11.362,11.362,11.048,11.065,316097,0
GLT.US,D,20050308,000000,11.072,11.09,10.858,10.902,265630,0
GLT.US,D,20050309,000000,10.902,10.992,10.714,10.783,170395,0
GLT.US,D,20050310,000000,10.82,10.918,10.654,10.684,143170,0
GLT.US,D,20050311,000000,10.714,10.918,10.707,10.864,148222,0
GLT.US,D,20050314,000000,10.918,11.072,10.864,10.986,200415,0
GLT.US,D,20050315,000000,11.032,11.175,11.001,11.15,286483,0
GLT.US,D,20050316,000000,11.145,11.212,11.008,11.032,280500,0
GLT.US,D,20050317,000000,11.055,11.203,10.992,11.188,168143,0
GLT.US,D,20050318,000000,11.218,11.322,11.065,11.299,548522,0
GLT.US,D,20050321,000000,11.257,11.257,11.001,11.113,154329,0
GLT.US,D,20050322,000000,11.113,11.188,10.931,10.964,272532,0
GLT.US,D,20050323,000000,10.964,11.264,10.937,11.257,237603,0
GLT.US,D,20050324,000000,11.196,11.372,10.814,10.814,324196,0
GLT.US,D,20050328,000000,10.878,11.065,10.806,10.979,215693,0
GLT.US,D,20050329,000000,10.956,11.181,10.858,10.858,333096,0
GLT.US,D,20050330,000000,10.858,11.048,10.858,11.023,231096,0
GLT.US,D,20050331,000000,10.986,11.122,10.937,11.106,185408,0
GLT.US,D,20050401,000000,11.081,11.218,10.918,11.138,230166,0
GLT.US,D,20050404,000000,10.878,11.06,10.878,11.014,196963,0
GLT.US,D,20050405,000000,10.992,11.09,10.894,11.048,172926,0
GLT.US,D,20050406,000000,11.065,11.181,11.014,11.023,102533,0
GLT.US,D,20050407,000000,10.992,11.243,10.979,11.081,108111,0
GLT.US,D,20050408,000000,11.065,11.065,10.878,10.918,152203,0
GLT.US,D,20050411,000000,10.878,10.956,10.851,10.858,141714,0
GLT.US,D,20050412,000000,10.858,11.138,10.751,11.055,167346,0
GLT.US,D,20050413,000000,11.06,11.06,10.721,10.721,181823,0
GLT.US,D,20050414,000000,10.691,10.814,10.42,10.426,136403,0
GLT.US,D,20050415,000000,10.426,10.642,10.195,10.227,227776,0
GLT.US,D,20050418,000000,10.227,10.504,10.127,10.392,95623,0
GLT.US,D,20050419,000000,10.392,10.61,10.278,10.525,127900,0
GLT.US,D,20050420,000000,10.504,10.642,10.459,10.525,322075,0
GLT.US,D,20050421,000000,10.616,10.767,10.481,10.654,299628,0
GLT.US,D,20050422,000000,10.654,10.654,10.293,10.4,222327,0
GLT.US,D,20050425,000000,10.435,10.54,10.239,10.518,213293,0
GLT.US,D,20050426,000000,9.786,10.392,9.4574,9.681,794361,0
GLT.US,D,20050427,000000,9.681,9.681,9.0068,9.1559,877499,0
GLT.US,D,20050428,000000,9.1655,9.1694,8.6823,8.6823,686247,0
GLT.US,D,20050429,000000,8.6905,9.0068,8.3423,8.9813,474544,0
GLT.US,D,20050502,000000,9.0278,9.0278,8.5746,8.8344,298032,0
GLT.US,D,20050503,000000,8.8392,9.0192,8.7644,8.8841,189527,0
GLT.US,D,20050504,000000,8.955,9.0732,8.7947,9.0192,199484,0
GLT.US,D,20050505,000000,8.9683,9.0192,8.6976,8.8533,155127,0
GLT.US,D,20050506,000000,8.9233,9.0278,8.7252,8.7707,336017,0
GLT.US,D,20050509,000000,8.7497,8.7497,8.598,8.7333,246372,0
GLT.US,D,20050510,000000,8.6587,8.7644,8.5746,8.7644,321807,0
GLT.US,D,20050511,000000,8.8104,8.8392,8.6224,8.6905,242248,0
GLT.US,D,20050512,000000,8.6905,8.7333,8.4396,8.4551,269879,0
GLT.US,D,20050513,000000,8.4703,8.5898,8.2443,8.3423,328714,0
GLT.US,D,20050516,000000,8.3423,8.5746,8.3198,8.5468,152601,0
GLT.US,D,20050517,000000,8.4853,8.7791,8.4177,8.6306,132944,0
GLT.US,D,20050518,000000,8.6823,8.9466,8.6823,8.8104,233087,0
GLT.US,D,20050519,000000,8.8104,8.8755,8.6976,8.8021,205329,0
GLT.US,D,20050520,000000,8.7707,8.8682,8.6905,8.7791,208650,0
GLT.US,D,20050523,000000,8.8187,8.8841,8.7104,8.7947,128829,0
GLT.US,D,20050524,000000,8.8104,8.8344,8.6905,8.7644,240257,0
GLT.US,D,20050525,000000,8.6976,8.6976,8.5094,8.5094,180893,0
GLT.US,D,20050526,000000,8.5146,8.8841,8.5146,8.607,207326,0
GLT.US,D,20050527,000000,8.6139,8.7644,8.5819,8.7167,143969,0
GLT.US,D,20050531,000000,8.7333,8.7333,8.4325,8.4325,229636,0
GLT.US,D,20050601,000000,8.4619,8.6732,8.4033,8.6732,261907,0
GLT.US,D,20050602,000000,8.5819,8.6139,8.4177,8.5013,598595,0
GLT.US,D,20050603,000000,8.4551,8.53,8.3652,8.3956,167745,0
GLT.US,D,20050606,000000,8.4325,8.555,8.3652,8.53,182486,0
GLT.US,D,20050607,000000,8.5819,8.6504,8.4246,8.5094,895295,0
GLT.US,D,20050608,000000,8.5013,8.6823,8.4703,8.6442,893835,0
GLT.US,D,20050609,000000,8.6587,8.6587,8.4033,8.598,178638,0
GLT.US,D,20050610,000000,8.607,8.636,8.4853,8.5819,147557,0
GLT.US,D,20050613,000000,8.5819,9.1559,8.5819,9.1118,415038,0
GLT.US,D,20050614,000000,9.0645,9.1655,8.9813,9.1118,238798,0
GLT.US,D,20050615,000000,9.058,9.1424,9.0068,9.1118,340134,0
GLT.US,D,20050616,000000,9.0732,9.1263,9.0192,9.088,519834,0
GLT.US,D,20050617,000000,9.0332,9.1339,9.0068,9.0732,719716,0
GLT.US,D,20050620,000000,9.0409,9.4485,9.0409,9.4098,644672,0
GLT.US,D,20050621,000000,9.3911,9.786,9.3911,9.739,629802,0
