<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLW.US,D,19811231,000000,0.9005,0.9005,0.8927,0.9005,876282,0
GLW.US,D,19820104,000000,0.9005,0.9083,0.8927,0.9005,1188126,0
GLW.US,D,19820105,000000,0.8927,0.9005,0.8927,0.8927,1138231,0
GLW.US,D,19820106,000000,0.8853,0.8927,0.8773,0.8773,1001023,0
GLW.US,D,19820107,000000,0.8544,0.8698,0.8464,0.8464,1624712,0
GLW.US,D,19820108,000000,0.8698,0.8853,0.8464,0.8773,1172534,0
GLW.US,D,19820111,000000,0.8698,0.8853,0.8544,0.8544,1085222,0
GLW.US,D,19820112,000000,0.8464,0.8544,0.8392,0.8544,657992,0
GLW.US,D,19820113,000000,0.8464,0.8544,0.8392,0.8464,1830530,0
GLW.US,D,19820114,000000,0.831,0.8464,0.8155,0.8236,1078984,0
GLW.US,D,19820115,000000,0.831,0.831,0.8236,0.831,1216195,0
GLW.US,D,19820118,000000,0.831,0.8392,0.831,0.8392,894990,0
GLW.US,D,19820119,000000,0.8392,0.8464,0.831,0.831,1350286,0
GLW.US,D,19820120,000000,0.8155,0.8236,0.8155,0.8236,788965,0
GLW.US,D,19820121,000000,0.8236,0.8236,0.8155,0.8236,1175652,0
GLW.US,D,19820122,000000,0.8236,0.8236,0.8155,0.8236,1325338,0
GLW.US,D,19820125,000000,0.8236,0.8236,0.8155,0.8236,2154849,0
GLW.US,D,19820126,000000,0.831,0.831,0.8236,0.831,795203,0
GLW.US,D,19820127,000000,0.831,0.831,0.8236,0.8236,130974,0
GLW.US,D,19820128,000000,0.8236,0.8236,0.8155,0.8236,2332595,0
GLW.US,D,19820129,000000,0.831,0.831,0.8236,0.8236,1004140,0
GLW.US,D,19820201,000000,0.8236,0.8236,0.8155,0.8155,180871,0
GLW.US,D,19820202,000000,0.8155,0.8155,0.8081,0.8081,639282,0
GLW.US,D,19820203,000000,0.8004,0.8081,0.7851,0.7851,424113,0
GLW.US,D,19820204,000000,0.7775,0.7851,0.7775,0.7775,2260873,0
GLW.US,D,19820205,000000,0.7775,0.7851,0.7775,0.7775,1752567,0
GLW.US,D,19820208,000000,0.7775,0.7775,0.7694,0.7694,651752,0
GLW.US,D,19820209,000000,0.7694,0.7694,0.7623,0.7694,1777512,0
GLW.US,D,19820210,000000,0.7694,0.7775,0.7623,0.7775,1091453,0
GLW.US,D,19820211,000000,0.7775,0.7851,0.7775,0.7775,2488515,0
GLW.US,D,19820212,000000,0.7851,0.7851,0.7775,0.7775,1010374,0
GLW.US,D,19820216,000000,0.7775,0.7775,0.7775,0.7775,1100809,0
GLW.US,D,19820217,000000,0.7775,0.7775,0.7775,0.7775,954241,0
GLW.US,D,19820218,000000,0.7775,0.7775,0.7775,0.7775,1032204,0
GLW.US,D,19820219,000000,0.7775,0.7775,0.7694,0.7775,1038445,0
GLW.US,D,19820222,000000,0.7775,0.7775,0.7775,0.7775,1624712,0
GLW.US,D,19820223,000000,0.7775,0.7775,0.7694,0.7694,1113285,0
GLW.US,D,19820224,000000,0.7775,0.7775,0.7775,0.7775,645516,0
GLW.US,D,19820225,000000,0.7775,0.7775,0.7775,0.7775,2722400,0
GLW.US,D,19820226,000000,0.7775,0.7775,0.7775,0.7775,2451094,0
GLW.US,D,19820301,000000,0.7775,0.7775,0.7694,0.7775,1291039,0
GLW.US,D,19820302,000000,0.7694,0.7775,0.7623,0.7623,1403299,0
GLW.US,D,19820303,000000,0.7465,0.7623,0.7387,0.7387,2348188,0
GLW.US,D,19820304,000000,0.7234,0.7312,0.7156,0.7234,979194,0
GLW.US,D,19820305,000000,0.7312,0.7465,0.7156,0.7465,3461473,0
GLW.US,D,19820308,000000,0.7465,0.7539,0.7387,0.7465,648639,0
GLW.US,D,19820309,000000,0.7387,0.7539,0.7312,0.7465,4986392,0
GLW.US,D,19820310,000000,0.7539,0.7623,0.7465,0.7539,654872,0
GLW.US,D,19820311,000000,0.7539,0.7539,0.7465,0.7539,492715,0
GLW.US,D,19820312,000000,0.7539,0.7539,0.7465,0.7539,274425,0
GLW.US,D,19820315,000000,0.7539,0.7539,0.7465,0.7539,1032204,0
GLW.US,D,19820316,000000,0.7539,0.7623,0.7539,0.7539,433461,0
GLW.US,D,19820317,000000,0.7623,0.7623,0.7539,0.7623,717244,0
GLW.US,D,19820318,000000,0.7623,0.7623,0.7539,0.7539,290015,0
GLW.US,D,19820319,000000,0.7623,0.7694,0.7539,0.7539,792084,0
GLW.US,D,19820322,000000,0.7623,0.7623,0.7539,0.7623,720361,0
GLW.US,D,19820323,000000,0.7539,0.7623,0.7465,0.7539,1874190,0
GLW.US,D,19820324,000000,0.7465,0.7539,0.7387,0.7387,1110169,0
GLW.US,D,19820325,000000,0.7465,0.7465,0.7387,0.7387,948007,0
GLW.US,D,19820326,000000,0.7387,0.7465,0.7387,0.7387,689178,0
GLW.US,D,19820329,000000,0.7387,0.7465,0.7387,0.7465,2092475,0
GLW.US,D,19820330,000000,0.7387,0.7465,0.7234,0.7387,1509331,0
GLW.US,D,19820331,000000,0.7234,0.7387,0.7082,0.7082,1103931,0
GLW.US,D,19820401,000000,0.7002,0.7082,0.693,0.7002,2176677,0
GLW.US,D,19820402,000000,0.7156,0.7234,0.7002,0.7234,2613253,0
GLW.US,D,19820405,000000,0.7312,0.7312,0.7234,0.7312,1250494,0
GLW.US,D,19820406,000000,0.7465,0.7539,0.7312,0.7539,2020749,0
GLW.US,D,19820407,000000,0.7694,0.7694,0.7539,0.7623,2030105,0
GLW.US,D,19820408,000000,0.7775,0.7851,0.7694,0.7851,3308667,0
GLW.US,D,19820412,000000,0.7851,0.7851,0.7851,0.7851,601858,0
GLW.US,D,19820413,000000,0.8004,0.8081,0.7851,0.8081,1702673,0
GLW.US,D,19820414,000000,0.8081,0.8155,0.8081,0.8081,2357545,0
GLW.US,D,19820415,000000,0.8004,0.8081,0.7851,0.7928,2519704,0
GLW.US,D,19820416,000000,0.7928,0.8081,0.7851,0.8081,1521800,0
GLW.US,D,19820419,000000,0.8155,0.8236,0.8004,0.8155,888758,0
GLW.US,D,19820420,000000,0.8004,0.8155,0.7928,0.8004,860689,0
GLW.US,D,19820421,000000,0.7928,0.8004,0.7851,0.7928,436581,0
GLW.US,D,19820422,000000,0.8004,0.8155,0.7928,0.8004,876282,0
GLW.US,D,19820423,000000,0.8155,0.8236,0.8081,0.8236,879399,0
GLW.US,D,19820426,000000,0.831,0.831,0.8236,0.831,1443842,0
GLW.US,D,19820427,000000,0.831,0.8392,0.8236,0.831,723479,0
GLW.US,D,19820428,000000,0.831,0.8392,0.8236,0.831,670465,0
GLW.US,D,19820429,000000,0.831,0.8392,0.8236,0.831,1057154,0
GLW.US,D,19820430,000000,0.8464,0.8464,0.831,0.8464,1038445,0
GLW.US,D,19820503,000000,0.8392,0.8464,0.8392,0.8392,913709,0
GLW.US,D,19820504,000000,0.8464,0.8464,0.8392,0.8464,894990,0
GLW.US,D,19820505,000000,0.8464,0.8464,0.8464,0.8464,240123,0
GLW.US,D,19820506,000000,0.8464,0.8544,0.8464,0.8464,458416,0
GLW.US,D,19820507,000000,0.8464,0.8544,0.8464,0.8464,1696434,0
GLW.US,D,19820510,000000,0.8464,0.8464,0.8464,0.8464,817034,0
GLW.US,D,19820511,000000,0.8544,0.8619,0.8464,0.8544,2108066,0
GLW.US,D,19820512,000000,0.8544,0.8619,0.8544,0.8544,358624,0
GLW.US,D,19820513,000000,0.8619,0.8619,0.8544,0.8544,4275390,0
GLW.US,D,19820514,000000,0.8544,0.8544,0.8544,0.8544,667350,0
GLW.US,D,19820517,000000,0.8544,0.8544,0.8464,0.8544,988548,0
GLW.US,D,19820518,000000,0.8544,0.8544,0.8464,0.8544,701649,0
GLW.US,D,19820519,000000,0.8544,0.8544,0.8464,0.8464,558199,0
GLW.US,D,19820520,000000,0.8464,0.8464,0.8464,0.8464,991663,0
GLW.US,D,19820521,000000,0.8464,0.8464,0.8464,0.8464,396042,0
GLW.US,D,19820524,000000,0.8544,0.8544,0.8464,0.8464,580032,0
GLW.US,D,19820525,000000,0.8544,0.8544,0.8464,0.8544,629926,0
GLW.US,D,19820526,000000,0.8464,0.8544,0.8464,0.8464,3293075,0
GLW.US,D,19820527,000000,0.8464,0.8464,0.8464,0.8464,2844020,0
GLW.US,D,19820528,000000,0.8464,0.8464,0.8464,0.8464,586267,0
GLW.US,D,19820601,000000,0.831,0.8464,0.8155,0.8236,667350,0
GLW.US,D,19820602,000000,0.831,0.831,0.8236,0.831,2117419,0
GLW.US,D,19820603,000000,0.831,0.8392,0.831,0.831,866931,0
GLW.US,D,19820604,000000,0.831,0.831,0.8236,0.8236,614338,0
GLW.US,D,19820607,000000,0.8155,0.8155,0.8081,0.8081,841977,0
GLW.US,D,19820608,000000,0.8004,0.8081,0.7928,0.7928,1708905,0
GLW.US,D,19820609,000000,0.7928,0.8004,0.7928,0.8004,2011395,0
GLW.US,D,19820610,000000,0.7928,0.8004,0.7928,0.7928,929295,0
GLW.US,D,19820611,000000,0.8081,0.8155,0.8004,0.8004,670465,0
GLW.US,D,19820614,000000,0.8081,0.8081,0.8004,0.8081,2235925,0
GLW.US,D,19820615,000000,0.8081,0.8081,0.8081,0.8081,620572,0
GLW.US,D,19820616,000000,0.8081,0.8081,0.8004,0.8004,1241140,0
GLW.US,D,19820617,000000,0.8004,0.8004,0.7928,0.8004,3105973,0
GLW.US,D,19820618,000000,0.8004,0.8004,0.7928,0.7928,505190,0
GLW.US,D,19820621,000000,0.8004,0.8081,0.7928,0.8004,1964622,0
GLW.US,D,19820622,000000,0.8004,0.8081,0.7928,0.8081,1135116,0
GLW.US,D,19820623,000000,0.8081,0.8236,0.8004,0.8236,1334694,0
GLW.US,D,19820624,000000,0.8236,0.831,0.8155,0.831,1506210,0
GLW.US,D,19820625,000000,0.8155,0.8236,0.8155,0.8155,121619,0
GLW.US,D,19820628,000000,0.8081,0.8236,0.8004,0.8004,230766,0
GLW.US,D,19820629,000000,0.7928,0.7928,0.7775,0.7851,851332,0
GLW.US,D,19820630,000000,0.7775,0.7851,0.7694,0.7694,4016553,0
