<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMRE.US,D,20160629,000000,6.6546,6.6807,6.6546,6.6546,2331451,0
GMRE.US,D,20160630,000000,6.7018,6.8099,6.6475,6.721,368745,0
GMRE.US,D,20160701,000000,6.7672,6.8402,6.7278,6.7474,296258,0
GMRE.US,D,20160705,000000,6.7474,6.8402,6.6683,6.7538,163319,0
GMRE.US,D,20160706,000000,6.7538,6.8276,6.6546,6.7278,306447,0
GMRE.US,D,20160707,000000,6.7474,6.8408,6.7141,6.721,316735,0
GMRE.US,D,20160708,000000,6.7341,6.9133,6.7341,6.8465,225274,0
GMRE.US,D,20160711,000000,7.1668,7.1668,6.9466,6.9538,392206,0
GMRE.US,D,20160712,000000,6.9797,7.0469,6.8799,6.9133,263134,0
GMRE.US,D,20160713,000000,6.9067,6.974,6.8537,6.8537,220376,0
GMRE.US,D,20160714,000000,6.8799,6.9205,6.781,6.8007,210780,0
GMRE.US,D,20160715,000000,6.9011,24.896,6.781,6.8799,210598,0
GMRE.US,D,20160718,000000,7.0139,7.0802,6.8805,6.9602,225192,0
GMRE.US,D,20160719,000000,6.9797,7.0067,6.8945,6.9335,84981,0
GMRE.US,D,20160720,000000,6.9797,7.041,6.9133,6.974,235579,0
GMRE.US,D,20160721,000000,7.0469,7.0802,6.9133,6.9928,139768,0
GMRE.US,D,20160722,000000,7.0741,7.2453,7.0139,7.1333,134888,0
GMRE.US,D,20160725,000000,7.2127,7.2725,7.1281,7.1734,277998,0
GMRE.US,D,20160726,000000,7.146,7.2127,7.0802,7.1521,281665,0
GMRE.US,D,20160727,000000,7.1521,7.1793,7.0478,7.0927,147020,0
GMRE.US,D,20160728,000000,7.0741,7.2401,7.0741,7.1867,117844,0
GMRE.US,D,20160729,000000,7.1521,7.2795,7.0802,7.2581,276572,0
GMRE.US,D,20160801,000000,7.2795,7.2795,7.2127,7.2255,142495,0
GMRE.US,D,20160802,000000,7.2659,7.2725,7.126,7.1867,156237,0
GMRE.US,D,20160803,000000,7.2719,7.4451,7.1333,7.1333,125814,0
GMRE.US,D,20160804,000000,7.2394,7.2461,7.146,7.1521,107261,0
GMRE.US,D,20160805,000000,7.0802,7.1556,7.0513,7.0741,167978,0
GMRE.US,D,20160808,000000,7.146,7.146,7.0802,7.0927,71240,0
GMRE.US,D,20160809,000000,7.0741,7.1926,7.0741,7.0927,76054,0
GMRE.US,D,20160810,000000,7.146,7.2127,7.126,7.1402,89588,0
GMRE.US,D,20160811,000000,7.1995,7.2725,7.1269,7.2324,71260,0
GMRE.US,D,20160812,000000,7.2581,7.2659,7.203,7.2205,45217,0
GMRE.US,D,20160815,000000,7.2725,7.3659,7.2127,7.2993,94403,0
GMRE.US,D,20160816,000000,7.2993,7.3128,7.2127,7.3052,90180,0
GMRE.US,D,20160817,000000,7.2993,7.3128,7.146,7.1926,46359,0
GMRE.US,D,20160818,000000,7.3128,7.3128,7.0667,7.2535,47135,0
GMRE.US,D,20160819,000000,7.2993,7.4715,7.2234,7.3933,96659,0
GMRE.US,D,20160822,000000,7.3052,7.3258,7.1734,7.2394,105384,0
GMRE.US,D,20160823,000000,7.2394,7.375,7.0802,7.1402,146891,0
GMRE.US,D,20160824,000000,7.1793,7.2127,6.9205,7.1333,106876,0
GMRE.US,D,20160825,000000,7.1333,7.2394,7.1184,7.146,138416,0
GMRE.US,D,20160826,000000,7.1402,7.2127,7.1133,7.126,99406,0
GMRE.US,D,20160829,000000,7.146,7.2394,7.0469,7.2058,111142,0
GMRE.US,D,20160830,000000,7.2581,7.2659,7.1364,7.1594,60695,0
GMRE.US,D,20160831,000000,7.1995,7.1995,6.987,7.146,128286,0
GMRE.US,D,20160901,000000,7.0927,7.2659,6.9797,7.041,95067,0
GMRE.US,D,20160902,000000,7.1133,7.2795,6.9797,7.1333,58516,0
GMRE.US,D,20160906,000000,7.1521,7.1793,6.8674,6.974,156768,0
GMRE.US,D,20160907,000000,6.9538,6.9797,6.3957,6.8135,441220,0
GMRE.US,D,20160908,000000,6.7874,6.9669,6.6737,6.8077,345341,0
GMRE.US,D,20160909,000000,6.781,6.7866,6.6475,6.781,163144,0
GMRE.US,D,20160912,000000,6.781,6.8135,6.7141,6.7278,131974,0
GMRE.US,D,20160913,000000,6.7381,6.7381,6.3287,6.4817,207675,0
GMRE.US,D,20160914,000000,6.6279,6.7404,6.5481,6.6475,211946,0
GMRE.US,D,20160915,000000,6.5949,6.7474,6.5865,6.7341,146019,0
GMRE.US,D,20160916,000000,6.7474,6.8007,6.6406,6.7141,1027491,0
GMRE.US,D,20160919,000000,6.7404,7.0741,6.7141,6.9335,353008,0
GMRE.US,D,20160920,000000,6.9133,6.9133,6.6876,6.7474,341620,0
GMRE.US,D,20160921,000000,6.8077,6.8799,6.6475,6.7474,310952,0
GMRE.US,D,20160922,000000,6.781,6.9797,6.7474,6.8937,260347,0
GMRE.US,D,20160923,000000,6.8872,6.9822,6.8603,6.8728,143440,0
GMRE.US,D,20160926,000000,6.8799,6.9039,6.5887,6.7446,324703,0
GMRE.US,D,20160927,000000,6.7653,6.8799,6.5006,6.5751,256370,0
GMRE.US,D,20160928,000000,6.6026,6.7986,6.4597,6.7517,244602,0
GMRE.US,D,20160929,000000,6.7105,6.792,6.5209,6.6088,524638,0
GMRE.US,D,20160930,000000,6.5887,6.8192,6.5816,6.6155,1957624,0
GMRE.US,D,20161003,000000,6.6088,6.6426,6.4803,6.5412,195619,0
GMRE.US,D,20161004,000000,6.5279,6.5279,6.1211,6.2362,239904,0
GMRE.US,D,20161005,000000,6.2498,6.4396,6.1343,6.3782,214201,0
GMRE.US,D,20161006,000000,6.3716,6.4124,6.1211,6.304,150151,0
GMRE.US,D,20161007,000000,6.304,6.392,6.1958,6.2634,101064,0
GMRE.US,D,20161010,000000,6.2634,6.5955,6.2566,6.3716,318211,0
GMRE.US,D,20161011,000000,6.4191,6.4532,6.2768,6.3716,155379,0
GMRE.US,D,20161012,000000,6.3987,6.3987,6.2023,6.2429,64533,0
GMRE.US,D,20161013,000000,6.1685,6.426,6.0872,6.2835,129333,0
GMRE.US,D,20161014,000000,6.2768,6.4733,6.209,6.3651,150820,0
GMRE.US,D,20161017,000000,6.3514,6.4597,6.2498,6.4124,139436,0
GMRE.US,D,20161018,000000,6.4396,6.558,6.3852,6.3987,86523,0
GMRE.US,D,20161019,000000,6.4124,6.5242,6.3242,6.3716,60158,0
GMRE.US,D,20161020,000000,6.3782,6.3782,6.2158,6.2429,124900,0
GMRE.US,D,20161021,000000,6.2362,6.3379,6.2023,6.2362,141283,0
GMRE.US,D,20161024,000000,6.297,6.3711,6.2472,6.2768,98908,0
GMRE.US,D,20161025,000000,6.2429,6.4496,6.1753,6.2498,107205,0
GMRE.US,D,20161026,000000,6.2498,6.3141,6.1887,6.2429,47201,0
GMRE.US,D,20161027,000000,6.2702,6.2835,6.1411,6.1685,59586,0
GMRE.US,D,20161028,000000,6.1685,6.3449,6.1278,6.2362,83766,0
GMRE.US,D,20161031,000000,6.2362,6.6088,6.1753,6.6088,341047,0
GMRE.US,D,20161101,000000,6.5209,6.5955,6.1753,6.2498,149224,0
GMRE.US,D,20161102,000000,6.2702,6.2818,5.9311,5.9514,109194,0
GMRE.US,D,20161103,000000,6.0057,6.0057,5.7075,5.721,202759,0
GMRE.US,D,20161104,000000,5.7413,5.7685,5.5583,5.6397,185965,0
GMRE.US,D,20161107,000000,5.7075,5.8293,5.6464,5.7618,159626,0
GMRE.US,D,20161108,000000,5.7344,5.843,5.6464,5.8025,93026,0
GMRE.US,D,20161109,000000,5.7144,5.8293,5.6115,5.7685,159203,0
GMRE.US,D,20161110,000000,5.5854,5.6397,4.5627,5.3008,702332,0
GMRE.US,D,20161111,000000,5.2532,5.4228,5.0161,5.2804,466931,0
GMRE.US,D,20161114,000000,5.2397,5.3008,5.0637,5.1516,503392,0
GMRE.US,D,20161115,000000,5.0907,5.1516,4.7721,4.9077,226639,0
GMRE.US,D,20161116,000000,4.9144,4.9685,4.8127,4.9009,196578,0
GMRE.US,D,20161117,000000,4.9077,4.9348,4.8269,4.9009,164133,0
GMRE.US,D,20161118,000000,4.9009,5.0161,4.8941,4.9144,266398,0
GMRE.US,D,20161121,000000,4.9144,4.9278,4.8602,4.9009,215488,0
GMRE.US,D,20161122,000000,4.8871,5.1831,4.8871,5.0974,342161,0
GMRE.US,D,20161123,000000,5.0839,5.0839,4.9685,4.9891,142386,0
GMRE.US,D,20161125,000000,4.9618,5.0703,4.9618,5.0295,39748,0
GMRE.US,D,20161128,000000,5.0839,5.1714,4.8941,4.9618,224906,0
GMRE.US,D,20161129,000000,4.9348,5.1176,4.8602,4.9685,165683,0
GMRE.US,D,20161130,000000,4.9823,5.1583,4.9008,4.9551,386005,0
GMRE.US,D,20161201,000000,4.9957,5.0161,4.8263,4.8871,313038,0
GMRE.US,D,20161202,000000,4.874,5.0092,4.8467,4.8871,393779,0
GMRE.US,D,20161205,000000,4.9483,5.4431,4.8871,5.2941,509674,0
GMRE.US,D,20161206,000000,5.3142,5.6872,5.1382,5.5922,189927,0
GMRE.US,D,20161207,000000,5.6329,5.7075,5.2941,5.6263,151920,0
GMRE.US,D,20161208,000000,5.6329,5.8567,5.5718,5.7957,124999,0
GMRE.US,D,20161209,000000,5.8226,5.8567,5.6263,5.7549,87921,0
GMRE.US,D,20161212,000000,5.7549,6.4124,5.7549,6.209,337875,0
GMRE.US,D,20161213,000000,6.2362,6.4803,6.1211,6.4464,381120,0
GMRE.US,D,20161214,000000,6.2702,6.5887,6.1822,6.4396,504894,0
GMRE.US,D,20161215,000000,6.4733,6.5075,6.3782,6.4396,371266,0
GMRE.US,D,20161216,000000,6.4464,6.6973,6.1753,6.6973,4520518,0
GMRE.US,D,20161219,000000,6.7033,6.7033,6.4464,6.4803,221966,0
GMRE.US,D,20161220,000000,6.4666,6.6226,6.4396,6.5279,429500,0
GMRE.US,D,20161221,000000,6.5279,6.5751,6.3109,6.3379,120119,0
GMRE.US,D,20161222,000000,6.2965,6.3723,6.2063,6.2615,98069,0
GMRE.US,D,20161223,000000,6.2478,6.4903,6.1301,6.4488,58437,0
GMRE.US,D,20161227,000000,6.4212,6.6564,6.324,6.3655,140739,0
GMRE.US,D,20161228,000000,6.3308,6.3308,5.9154,6.0054,139934,0
GMRE.US,D,20161229,000000,6.047,6.3655,6.02,6.345,115807,0
GMRE.US,D,20161230,000000,6.303,6.5648,6.0885,6.1784,110866,0
GMRE.US,D,20170103,000000,6.1923,6.3901,6.0538,6.1855,107883,0
GMRE.US,D,20170104,000000,6.1647,6.4002,6.0677,6.3102,239332,0
GMRE.US,D,20170105,000000,6.2615,6.3308,5.9777,6.0332,129922,0
GMRE.US,D,20170106,000000,6.047,6.4071,5.943,6.2546,117645,0
GMRE.US,D,20170109,000000,6.2546,6.4556,6.1301,6.2756,252827,0
GMRE.US,D,20170110,000000,6.4002,6.4763,6.1994,6.3379,84746,0
GMRE.US,D,20170111,000000,6.345,6.3581,6.1508,6.2063,82780,0
