<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOGN-U.US,D,20211022,000000,10.08,10.1,10.05,10.09,1275920,0
GOGN-U.US,D,20211025,000000,10.09,10.1,10.08,10.1,198582,0
GOGN-U.US,D,20211026,000000,10.1,10.115,10.08,10.1,198735,0
GOGN-U.US,D,20211027,000000,10.1,10.12,10.1,10.12,53962,0
GOGN-U.US,D,20211028,000000,10.12,10.13,10.12,10.13,10568,0
GOGN-U.US,D,20211029,000000,10.12,10.12,10.09,10.12,160953,0
GOGN-U.US,D,20211101,000000,10.1,10.1001,10.09,10.1,25789,0
GOGN-U.US,D,20211102,000000,10.1,10.13,10.1,10.13,3115,0
GOGN-U.US,D,20211103,000000,10.0908,10.12,10.09,10.0989,12744,0
GOGN-U.US,D,20211104,000000,10.15,10.15,10.08,10.1,2111252,0
GOGN-U.US,D,20211105,000000,10.11,10.11,10.09,10.09,29533,0
GOGN-U.US,D,20211108,000000,10.1,10.105,10.09,10.105,111560,0
GOGN-U.US,D,20211109,000000,10.09,10.11,10.09,10.09,71572,0
GOGN-U.US,D,20211110,000000,10.09,10.094,10.09,10.09,20005,0
GOGN-U.US,D,20211112,000000,10.09,10.14,10.09,10.14,9135,0
GOGN-U.US,D,20211115,000000,10.09,10.09,10.09,10.09,100010,0
GOGN-U.US,D,20211117,000000,10.11,10.11,10.1,10.11,25537,0
GOGN-U.US,D,20211119,000000,10.095,10.11,10.095,10.11,516753,0
GOGN-U.US,D,20211122,000000,10.11,10.16,10.11,10.11,11385,0
GOGN-U.US,D,20211123,000000,10.19,10.19,10.14,10.14,45055,0
GOGN-U.US,D,20211126,000000,10.1021,10.1021,10.1021,10.1021,106,0
GOGN-U.US,D,20211129,000000,10.13,10.24,10.11,10.12,344811,0
GOGN-U.US,D,20211201,000000,10.13,10.13,10.12,10.12,27404,0
GOGN-U.US,D,20211202,000000,10.11,10.11,10.1011,10.11,416828,0
GOGN-U.US,D,20211203,000000,10.12,10.12,10.12,10.12,222245,0
GOGN-U.US,D,20211206,000000,10.12,10.12,10.12,10.12,983,0
GOGN-U.US,D,20211208,000000,10.11,10.13,10.11,10.12,52100,0
GOGN-U.US,D,20211209,000000,10.2,10.2,10.1,10.14,155159,0
GOGN-U.US,D,20211210,000000,10.1,10.15,10.1,10.14,2912,0
GOGN-U.US,D,20211215,000000,10.1,10.1007,10.05,10.1,72708,0
GOGN-U.US,D,20211216,000000,10.15,10.19,10.1,10.13,45679,0
GOGN-U.US,D,20211220,000000,10.15,10.2,10.15,10.15,4846,0
GOGN-U.US,D,20211222,000000,10.16,10.16,10.16,10.16,1550,0
GOGN-U.US,D,20211223,000000,10.07,10.07,10.07,10.07,126,0
GOGN-U.US,D,20211227,000000,10.03,10.03,10.03,10.03,1182,0
GOGN-U.US,D,20211228,000000,10.14,10.15,10.12,10.12,9568,0
GOGN-U.US,D,20211229,000000,10.44,10.44,10.44,10.44,248,0
GOGN-U.US,D,20211230,000000,10.2,10.2,10.11,10.11,10000,0
GOGN-U.US,D,20220105,000000,10.19,10.2,10.19,10.19,4983,0
GOGN-U.US,D,20220106,000000,10.19,10.19,10.19,10.19,1335,0
GOGN-U.US,D,20220107,000000,10.19,10.19,10.18,10.1898,2995,0
GOGN-U.US,D,20220113,000000,10.11,10.15,10.11,10.15,1806,0
GOGN-U.US,D,20220114,000000,10.15,10.16,10.15,10.16,937,0
GOGN-U.US,D,20220118,000000,10.19,10.19,10.13,10.14,3100,0
GOGN-U.US,D,20220119,000000,10.15,10.15,10.13,10.15,1157,0
GOGN-U.US,D,20220120,000000,10.13,10.13,10.09,10.09,5808,0
GOGN-U.US,D,20220121,000000,10.11,10.11,10.05,10.06,32665,0
