<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPOR.US,D,20210519,000000,67,82.16,64.953,68.01,100920,0
GPOR.US,D,20210520,000000,64,70,64,66.05,48020,0
GPOR.US,D,20210521,000000,64.51,65.125,63,63.59,54542,0
GPOR.US,D,20210524,000000,59.9,63.95,59.9,63,32283,0
GPOR.US,D,20210525,000000,58.75,62.55,58.7101,61.8,12738,0
GPOR.US,D,20210526,000000,60.8,62.17,60.8,61.21,11352,0
GPOR.US,D,20210527,000000,63.34,65.7,62.2277,62.23,18660,0
GPOR.US,D,20210528,000000,61.6,64.76,61.6,62.5,4709,0
GPOR.US,D,20210601,000000,62.5,63.81,61.605,63.53,109590,0
GPOR.US,D,20210602,000000,63,63.87,62.95,63.5,17561,0
GPOR.US,D,20210603,000000,62.63,64.27,62.33,63.6,65119,0
GPOR.US,D,20210604,000000,63.705,64.4999,62,63.55,41131,0
GPOR.US,D,20210607,000000,63.12,64.09,61,62.17,31134,0
GPOR.US,D,20210608,000000,61.225,63.165,61.01,61.79,108411,0
GPOR.US,D,20210609,000000,61.79,63.2,60.01,62.97,41190,0
GPOR.US,D,20210610,000000,63,63.99,63,63.6,39571,0
GPOR.US,D,20210611,000000,64.88,66.6299,64.88,65.75,95497,0
GPOR.US,D,20210614,000000,65.48,66.51,65.21,65.73,15817,0
GPOR.US,D,20210615,000000,65.8,67,65.8,66.7,204209,0
GPOR.US,D,20210616,000000,66.27,66.27,65,65.1,20569,0
GPOR.US,D,20210617,000000,65.09,65.09,64.27,64.27,3187,0
GPOR.US,D,20210618,000000,63.72,63.79,62.82,62.82,17583,0
GPOR.US,D,20210621,000000,62.74,65.5,62.74,64,51732,0
GPOR.US,D,20210622,000000,64.24,64.7799,63.02,64.19,15945,0
GPOR.US,D,20210623,000000,63.89,64.95,63.89,64.48,33597,0
GPOR.US,D,20210624,000000,65.105,65.105,64.1944,64.61,20541,0
GPOR.US,D,20210625,000000,64.8,65.7443,64.75,64.75,27732,0
GPOR.US,D,20210628,000000,64.75,65.3499,62.24,62.52,26487,0
GPOR.US,D,20210629,000000,62.75,63.4258,61.1864,62.59,27630,0
GPOR.US,D,20210630,000000,62.4,65.33,62.4,64.7,48503,0
GPOR.US,D,20210701,000000,62.04,66,62.04,65.82,41782,0
GPOR.US,D,20210702,000000,65.15,66,64.49,64.49,17717,0
GPOR.US,D,20210706,000000,64.46,64.59,62.4683,63.09,8073,0
GPOR.US,D,20210707,000000,63.52,65.11,63.52,63.86,19278,0
GPOR.US,D,20210708,000000,64.08,65.3,63.59,65.3,12109,0
GPOR.US,D,20210709,000000,65.31,66.46,65.2,66.31,55661,0
