<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSFP.US,D,20210716,000000,39.57,39.76,39.241,39.241,46886,0
GSFP.US,D,20210719,000000,38.661,38.686,38.421,38.641,21636,0
GSFP.US,D,20210720,000000,38.841,39.351,38.841,39.272,4275,0
GSFP.US,D,20210721,000000,39.89,39.96,39.48,39.9,21310,0
GSFP.US,D,20210722,000000,40.14,40.14,39.9,40.02,15905,0
GSFP.US,D,20210723,000000,40.37,40.42,40.089,40.22,19909,0
GSFP.US,D,20210726,000000,40.15,40.37,40.15,40.361,8168,0
GSFP.US,D,20210727,000000,40.01,40.01,39.712,39.93,10998,0
GSFP.US,D,20210728,000000,39.99,40.3,39.96,40.22,5382,0
GSFP.US,D,20210729,000000,40.61,41.22,40.598,40.61,14911,0
GSFP.US,D,20210730,000000,40.7,40.75,40.655,40.668,402872,0
GSFP.US,D,20210802,000000,40.9,41.09,40.651,40.651,26333,0
GSFP.US,D,20210803,000000,40.855,41.3,40.851,41.28,15494,0
GSFP.US,D,20210804,000000,41.38,41.519,41.318,41.32,16676,0
GSFP.US,D,20210805,000000,41.43,43.19,41.11,41.215,64439,0
GSFP.US,D,20210806,000000,41.09,41.28,41.09,41.22,29482,0
GSFP.US,D,20210809,000000,41.24,41.39,41.203,41.334,8126,0
GSFP.US,D,20210810,000000,41.63,41.707,41.62,41.63,4637,0
GSFP.US,D,20210811,000000,41.82,41.82,41.64,41.805,23561,0
GSFP.US,D,20210812,000000,41.94,41.945,41.6,41.69,29730,0
GSFP.US,D,20210813,000000,41.706,41.726,41.59,41.59,9406,0
GSFP.US,D,20210816,000000,41.38,41.468,41.055,41.289,25990,0
GSFP.US,D,20210817,000000,40.9,40.92,40.61,40.79,10452,0
GSFP.US,D,20210818,000000,40.98,41.12,40.95,41.03,12534,0
GSFP.US,D,20210819,000000,40.59,40.69,40.53,40.663,12287,0
GSFP.US,D,20210820,000000,40.81,40.94,40.8,40.932,4554,0
GSFP.US,D,20210823,000000,41.28,41.581,41.28,41.51,8363,0
GSFP.US,D,20210824,000000,41.57,41.75,41.57,41.74,9708,0
GSFP.US,D,20210825,000000,41.73,41.97,41.73,41.953,8138,0
GSFP.US,D,20210826,000000,41.85,41.86,41.7,41.7,2954,0
GSFP.US,D,20210827,000000,41.84,42.152,41.84,42.15,7788,0
GSFP.US,D,20210830,000000,42.29,42.36,42.27,42.3,3652,0
GSFP.US,D,20210831,000000,42.35,42.35,42.13,42.24,7376,0
GSFP.US,D,20210901,000000,42.39,42.588,42.21,42.474,5101,0
GSFP.US,D,20210902,000000,42.9,42.91,42.8,42.803,8411,0
GSFP.US,D,20210903,000000,42.98,42.98,42.62,42.77,13442,0
GSFP.US,D,20210907,000000,42.8,42.8,42.52,42.606,17971,0
GSFP.US,D,20210908,000000,42.4,42.59,42.061,42.236,6225,0
GSFP.US,D,20210909,000000,42.27,42.35,42.27,42.29,3794,0
GSFP.US,D,20210910,000000,42.46,42.47,42.16,42.16,16623,0
GSFP.US,D,20210913,000000,42.46,42.46,42.06,42.16,3661,0
GSFP.US,D,20210914,000000,42.48,42.48,41.95,42.08,40726,0
GSFP.US,D,20210915,000000,42.05,42.24,41.88,42.2,5655,0
GSFP.US,D,20210916,000000,41.88,41.88,41.642,41.845,17542,0
GSFP.US,D,20210917,000000,41.64,41.678,41.29,41.39,13661,0
