<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTEK.US,D,20210917,000000,40.95,41.05,40.19,40.35,803065,0
GTEK.US,D,20210920,000000,39.73,39.7999,38.95,39.47,827201,0
GTEK.US,D,20210921,000000,39.8,39.9,39.41,39.76,688362,0
GTEK.US,D,20210922,000000,40.15,40.28,39.77,40.21,586200,0
GTEK.US,D,20210923,000000,40.59,40.779,40.3,40.73,462341,0
GTEK.US,D,20210924,000000,40.43,40.5824,40.25,40.53,689821,0
GTEK.US,D,20210927,000000,40.4,40.4,39.94,40.1889,547269,0
GTEK.US,D,20210928,000000,39.83,39.83,38.8,38.86,494063,0
GTEK.US,D,20210929,000000,39.15,39.15,38.3,38.37,259439,0
GTEK.US,D,20210930,000000,38.67,38.79,38.39,38.48,116722,0
GTEK.US,D,20211001,000000,38.76,38.839,38.1,38.72,193866,0
GTEK.US,D,20211004,000000,38.38,38.38,37.21,37.48,238818,0
GTEK.US,D,20211005,000000,37.72,38.1199,37.5904,37.89,99693,0
GTEK.US,D,20211006,000000,37.37,38.085,37.25,38.05,135939,0
GTEK.US,D,20211007,000000,38.65,39.11,38.65,38.81,131399,0
GTEK.US,D,20211008,000000,38.87,38.9148,38.445,38.5,149527,0
GTEK.US,D,20211011,000000,38.4,38.61,38.07,38.07,80777,0
GTEK.US,D,20211012,000000,38.11,38.5,37.9418,38.27,69803,0
GTEK.US,D,20211013,000000,38.49,38.82,38.431,38.78,107589,0
GTEK.US,D,20211014,000000,39.29,39.55,39.29,39.45,103914,0
GTEK.US,D,20211015,000000,39.73,39.8,39.5111,39.66,101190,0
GTEK.US,D,20211018,000000,39.54,39.905,39.501,39.88,224933,0
GTEK.US,D,20211019,000000,40.18,40.556,40.18,40.5,221832,0
GTEK.US,D,20211020,000000,40.5,40.68,40.301,40.42,157563,0
GTEK.US,D,20211021,000000,40.37,40.75,40.35,40.69,167659,0
GTEK.US,D,20211022,000000,40.69,40.8881,40.32,40.46,105411,0
GTEK.US,D,20211025,000000,40.62,40.76,40.44,40.62,117707,0
GTEK.US,D,20211026,000000,40.77,40.9781,40.38,40.41,128288,0
