<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GUT.US,D,20050225,000000,3.9233,3.9475,3.8884,3.9475,98807,0
GUT.US,D,20050228,000000,3.9278,3.9592,3.8519,3.8837,86711,0
GUT.US,D,20050301,000000,3.8519,3.9118,3.8484,3.9118,61506,0
GUT.US,D,20050302,000000,3.8884,3.9475,3.8884,3.9278,80408,0
GUT.US,D,20050303,000000,3.9352,3.9352,3.8799,3.8884,82929,0
GUT.US,D,20050304,000000,3.9074,3.9233,3.8884,3.8918,93517,0
GUT.US,D,20050307,000000,3.9074,3.9352,3.8884,3.904,105379,0
GUT.US,D,20050308,000000,3.8997,3.943,3.8563,3.8837,102587,0
GUT.US,D,20050309,000000,3.8604,3.9153,3.8484,3.8957,70331,0
GUT.US,D,20050310,000000,3.9118,3.9592,3.8761,3.9278,98552,0
GUT.US,D,20050311,000000,3.9475,3.9672,3.9278,3.9475,64794,0
GUT.US,D,20050314,000000,3.9153,3.9672,3.9118,3.9352,63265,0
GUT.US,D,20050315,000000,3.9074,3.9074,3.7886,3.8638,196610,0
GUT.US,D,20050316,000000,3.8484,3.8563,3.7769,3.8045,141665,0
GUT.US,D,20050317,000000,3.7926,3.8284,3.7806,3.7806,73343,0
GUT.US,D,20050318,000000,3.7806,3.8284,3.7015,3.7136,135614,0
GUT.US,D,20050321,000000,3.7528,3.7847,3.594,3.6379,123756,0
GUT.US,D,20050322,000000,3.6496,3.6738,3.618,3.618,79409,0
GUT.US,D,20050323,000000,3.618,3.6496,3.5906,3.5906,79907,0
GUT.US,D,20050324,000000,3.5745,3.7253,3.5703,3.7253,142663,0
GUT.US,D,20050328,000000,3.7291,3.7291,3.5906,3.6257,96549,0
GUT.US,D,20050329,000000,3.6655,3.67,3.5745,3.6097,97302,0
GUT.US,D,20050330,000000,3.6496,3.6815,3.5906,3.6815,59996,0
GUT.US,D,20050331,000000,3.6815,3.7136,3.6305,3.7136,82173,0
GUT.US,D,20050401,000000,3.7291,3.7572,3.6776,3.7291,59740,0
GUT.US,D,20050404,000000,3.6889,3.7651,3.6338,3.686,71580,0
GUT.US,D,20050405,000000,3.6496,3.686,3.6418,3.6776,59996,0
GUT.US,D,20050406,000000,3.6776,3.7847,3.6576,3.7572,155781,0
