<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDLB.US,D,20191028,000000,21.475,21.534,21.338,21.358,4201,0
HDLB.US,D,20191029,000000,21.446,21.524,21.409,21.409,5368,0
HDLB.US,D,20191030,000000,21.292,21.292,21.106,21.27,1867,0
HDLB.US,D,20191031,000000,21.329,21.329,21.121,21.121,3033,0
HDLB.US,D,20191101,000000,21.216,21.661,21.216,21.661,934,0
HDLB.US,D,20191104,000000,21.876,22.065,21.876,22.018,5841,0
HDLB.US,D,20191105,000000,21.98,21.98,21.825,21.966,1746,0
HDLB.US,D,20191106,000000,21.834,21.963,21.696,21.696,5831,0
HDLB.US,D,20191107,000000,21.842,21.842,21.583,21.583,2202,0
HDLB.US,D,20191108,000000,21.481,21.6,21.481,21.6,123,0
HDLB.US,D,20191111,000000,21.498,21.577,21.498,21.551,232,0
HDLB.US,D,20191112,000000,21.559,21.67,21.445,21.445,1421,0
HDLB.US,D,20191113,000000,21.501,21.501,21.501,21.501,2,0
HDLB.US,D,20191114,000000,21.492,21.492,21.492,21.492,1,0
HDLB.US,D,20191115,000000,21.836,21.874,21.836,21.874,119,0
HDLB.US,D,20191118,000000,21.897,21.897,21.897,21.897,20,0
HDLB.US,D,20191119,000000,21.441,21.441,21.441,21.441,69,0
HDLB.US,D,20191120,000000,21.353,21.473,21.353,21.473,5005,0
HDLB.US,D,20191121,000000,21.337,21.495,21.337,21.495,1163,0
HDLB.US,D,20191122,000000,21.551,21.551,21.551,21.551,1,0
HDLB.US,D,20191125,000000,21.662,21.662,21.662,21.662,1,0
HDLB.US,D,20191126,000000,21.736,21.736,21.736,21.736,1,0
HDLB.US,D,20191129,000000,21.769,21.769,21.769,21.769,1,0
HDLB.US,D,20191202,000000,21.77,21.77,21.633,21.633,119,0
HDLB.US,D,20191203,000000,21.588,21.588,21.588,21.588,1,0
HDLB.US,D,20191204,000000,21.792,21.792,21.792,21.792,1,0
HDLB.US,D,20191205,000000,21.831,21.831,21.831,21.831,1,0
HDLB.US,D,20191206,000000,22.094,22.094,22.094,22.094,94,0
HDLB.US,D,20191209,000000,22.186,22.277,22.186,22.277,8842,0
HDLB.US,D,20191210,000000,22.185,22.185,22.173,22.173,267,0
HDLB.US,D,20191211,000000,22.005,22.005,22.005,22.005,8,0
HDLB.US,D,20191212,000000,21.891,21.985,21.891,21.891,118,0
HDLB.US,D,20191213,000000,21.915,21.915,21.915,21.915,1,0
HDLB.US,D,20191216,000000,22.25,22.25,22.25,22.25,1,0
HDLB.US,D,20191217,000000,22.349,22.349,22.232,22.232,3397,0
HDLB.US,D,20191218,000000,22.406,22.556,22.406,22.536,4024,0
HDLB.US,D,20191219,000000,22.624,22.65,22.615,22.622,10912,0
HDLB.US,D,20191220,000000,22.911,22.911,22.911,22.911,6,0
HDLB.US,D,20191223,000000,22.897,22.897,22.877,22.887,569,0
HDLB.US,D,20191224,000000,22.877,22.877,22.848,22.848,726,0
HDLB.US,D,20191226,000000,22.999,22.999,22.999,22.999,7,0
HDLB.US,D,20191227,000000,23.118,23.118,23.037,23.037,118,0
HDLB.US,D,20191230,000000,23.076,23.076,22.824,22.824,904,0
HDLB.US,D,20191231,000000,22.937,23.074,22.937,23.074,751,0
HDLB.US,D,20200102,000000,22.593,22.621,22.529,22.621,1475,0
HDLB.US,D,20200103,000000,22.686,23.023,22.686,22.813,37070,0
HDLB.US,D,20200106,000000,22.764,23.88,22.732,22.912,29691,0
HDLB.US,D,20200107,000000,22.73,22.73,22.73,22.73,202,0
HDLB.US,D,20200108,000000,22.72,22.723,22.711,22.723,1023,0
HDLB.US,D,20200109,000000,22.609,23.207,22.588,22.783,13437,0
HDLB.US,D,20200110,000000,22.81,22.81,22.757,22.757,8011,0
HDLB.US,D,20200113,000000,23.057,23.057,22.999,23.033,1247,0
HDLB.US,D,20200114,000000,23.234,23.234,23.032,23.032,160,0
HDLB.US,D,20200115,000000,23.194,23.194,23.194,23.194,23,0
HDLB.US,D,20200116,000000,23.398,23.398,23.398,23.398,34,0
HDLB.US,D,20200117,000000,23.453,23.459,23.453,23.459,214,0
HDLB.US,D,20200121,000000,23.49,23.49,23.331,23.348,1158,0
HDLB.US,D,20200122,000000,23.718,23.718,23.359,23.359,338,0
HDLB.US,D,20200123,000000,23.291,23.449,23.291,23.449,6229,0
HDLB.US,D,20200124,000000,23.41,23.41,23.041,23.107,2976,0
HDLB.US,D,20200127,000000,22.63,22.698,22.563,22.563,2686,0
HDLB.US,D,20200128,000000,22.854,22.864,22.844,22.844,2754,0
HDLB.US,D,20200129,000000,22.715,22.715,22.499,22.499,1225,0
HDLB.US,D,20200130,000000,22.125,22.502,22.125,22.502,655,0
HDLB.US,D,20200131,000000,22.276,22.276,22.196,22.236,1616,0
HDLB.US,D,20200203,000000,22.256,22.538,22.214,22.217,4206,0
