<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HLGN-WS.US,D,20220103,000000,1.85,1.89,1.56,1.71,723915,0
HLGN-WS.US,D,20220104,000000,1.62,1.62,1.15,1.27,283704,0
HLGN-WS.US,D,20220105,000000,1.27,1.27,1.19,1.22,126382,0
HLGN-WS.US,D,20220106,000000,1.2,1.2087,1.02,1.05,147021,0
HLGN-WS.US,D,20220107,000000,1.05,1.07,0.82,0.82,115615,0
HLGN-WS.US,D,20220110,000000,0.84,0.85745,0.762,0.7701,149579,0
HLGN-WS.US,D,20220111,000000,0.8,0.9799,0.8,0.9,278423,0
HLGN-WS.US,D,20220112,000000,0.95,0.95,0.8401,0.8575,74775,0
HLGN-WS.US,D,20220113,000000,0.8604,0.8604,0.762,0.8,75746,0
HLGN-WS.US,D,20220114,000000,0.8,0.8,0.7656,0.77,36105,0
HLGN-WS.US,D,20220118,000000,0.77,0.77,0.6601,0.67,70825,0
HLGN-WS.US,D,20220119,000000,0.665,0.6901,0.62,0.62,38667,0
HLGN-WS.US,D,20220120,000000,0.62,0.7199,0.62,0.65,63972,0
HLGN-WS.US,D,20220121,000000,0.6101,0.6201,0.6,0.6189,19320,0
