<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HLGN.US,D,20220103,000000,16,16.31,12.8,13.57,1817310,0
HLGN.US,D,20220104,000000,12.53,12.53,9.63,10.3,2633116,0
HLGN.US,D,20220105,000000,10.01,10.3,9.71,9.76,752575,0
HLGN.US,D,20220106,000000,9.65,9.79,7.56,7.88,996213,0
HLGN.US,D,20220107,000000,8.02,8.25,6.7,6.93,833310,0
HLGN.US,D,20220110,000000,7,7.06,6.01,6.39,825862,0
HLGN.US,D,20220111,000000,6.45,6.675,5.78,6.33,1073999,0
HLGN.US,D,20220112,000000,5.89,6.3689,5.89,6.05,630612,0
HLGN.US,D,20220113,000000,6.02,6.19,5.25,5.28,760859,0
HLGN.US,D,20220114,000000,5.24,5.24,4.6,4.76,949096,0
HLGN.US,D,20220118,000000,4.79,4.8,4.42,4.61,474534,0
HLGN.US,D,20220119,000000,4.58,4.71,4.25,4.37,448646,0
HLGN.US,D,20220120,000000,4.39,4.7,3.74,4.08,1342112,0
HLGN.US,D,20220121,000000,4,4.01,3.39,3.6,1435675,0
