<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOM.US,D,20210913,000000,9.9,9.9,9.8962,9.8962,356,0
HOM.US,D,20210914,000000,9.905,9.905,9.885,9.885,431,0
HOM.US,D,20210915,000000,9.92,9.92,9.87,9.905,26008,0
HOM.US,D,20210916,000000,9.86,9.9,9.86,9.88,4051,0
HOM.US,D,20210917,000000,9.85,9.85,9.83,9.839,5434,0
HOM.US,D,20210920,000000,9.78,9.7875,9.7662,9.7875,2371,0
HOM.US,D,20210921,000000,9.8,9.81,9.7968,9.7968,352,0
HOM.US,D,20210922,000000,9.83,9.8462,9.8293,9.8293,676,0
HOM.US,D,20210923,000000,9.84,9.84,9.83,9.83,147,0
HOM.US,D,20210924,000000,9.7976,9.8049,9.7976,9.8049,222,0
HOM.US,D,20210927,000000,9.8076,9.8169,9.805,9.805,1119,0
HOM.US,D,20210928,000000,9.7136,9.7136,9.7136,9.7136,10,0
HOM.US,D,20210929,000000,9.7108,9.7108,9.7108,9.7108,28,0
HOM.US,D,20210930,000000,9.6848,9.6848,9.6848,9.6848,34,0
HOM.US,D,20211001,000000,9.7287,9.7287,9.7287,9.7287,124,0
HOM.US,D,20211004,000000,9.705,9.7068,9.705,9.7068,235,0
HOM.US,D,20211005,000000,9.72,9.72,9.72,9.72,8,0
HOM.US,D,20211006,000000,9.7177,9.7177,9.7177,9.7177,21,0
HOM.US,D,20211007,000000,9.7624,9.7624,9.7411,9.7411,101,0
HOM.US,D,20211008,000000,9.72,9.72,9.7195,9.7195,390,0
HOM.US,D,20211011,000000,9.73,9.73,9.6937,9.6937,2121,0
HOM.US,D,20211012,000000,9.7162,9.7162,9.7144,9.7144,123,0
HOM.US,D,20211013,000000,9.7364,9.76,9.7364,9.76,156,0
HOM.US,D,20211014,000000,9.825,9.825,9.825,9.825,30,0
HOM.US,D,20211015,000000,9.84,9.84,9.8324,9.8324,105,0
HOM.US,D,20211018,000000,9.8168,9.8168,9.8168,9.8168,52,0
HOM.US,D,20211019,000000,9.8269,9.83,9.8231,9.8257,3928,0
HOM.US,D,20211020,000000,9.855,9.855,9.855,9.855,59,0
HOM.US,D,20211021,000000,9.8379,9.8379,9.8379,9.8379,102,0
HOM.US,D,20211022,000000,9.855,9.86,9.855,9.86,306,0
HOM.US,D,20211025,000000,9.8838,9.8838,9.8828,9.8828,1083,0
HOM.US,D,20211026,000000,9.8828,9.89,9.8828,9.885,511,0
HOM.US,D,20211027,000000,9.8964,9.8999,9.878,9.878,314,0
HOM.US,D,20211028,000000,9.89,9.89,9.8828,9.885,626,0
HOM.US,D,20211029,000000,9.83,9.8664,9.83,9.8662,626,0
HOM.US,D,20211101,000000,9.8664,9.8664,9.86,9.865,360,0
HOM.US,D,20211102,000000,9.8664,9.8728,9.86,9.87,622,0
HOM.US,D,20211103,000000,9.88,9.88,9.87,9.8749,868,0
HOM.US,D,20211104,000000,9.9,9.91,9.8866,9.8866,9850,0
HOM.US,D,20211105,000000,9.93,9.93,9.92,9.925,8272,0
HOM.US,D,20211108,000000,9.94,9.94,9.935,9.935,332,0
HOM.US,D,20211109,000000,9.97,9.97,9.9551,9.9551,1304,0
HOM.US,D,20211110,000000,9.98,9.98,9.9,9.9,8925,0
HOM.US,D,20211111,000000,9.92,9.92,9.91,9.91,5271,0
HOM.US,D,20211112,000000,9.93,9.94,9.9233,9.929,2101,0
HOM.US,D,20211115,000000,9.93,9.93,9.905,9.905,1056,0
HOM.US,D,20211116,000000,9.92,9.9261,9.905,9.905,1287,0
HOM.US,D,20211117,000000,9.8961,9.91,9.8961,9.905,4624,0
HOM.US,D,20211118,000000,9.8916,9.91,9.8916,9.9,5162,0
HOM.US,D,20211119,000000,9.92,9.92,9.895,9.895,2254,0
HOM.US,D,20211122,000000,9.88,9.9,9.8517,9.8517,18493,0
HOM.US,D,20211123,000000,9.85,9.855,9.8373,9.8373,5793,0
HOM.US,D,20211124,000000,9.84,9.85,9.8177,9.84,7621,0
HOM.US,D,20211126,000000,9.8,9.8,9.76,9.777,1657,0
HOM.US,D,20211129,000000,9.76,9.81,9.76,9.7948,2382,0
HOM.US,D,20211130,000000,9.81,9.82,9.7416,9.7416,11192,0
HOM.US,D,20211201,000000,9.81,9.81,9.7212,9.7212,13997,0
HOM.US,D,20211202,000000,9.77,9.8,9.73,9.7905,2540,0
HOM.US,D,20211203,000000,9.822,9.83,9.8096,9.8137,6591,0
HOM.US,D,20211206,000000,9.87,9.87,9.8392,9.8392,3166,0
HOM.US,D,20211207,000000,9.91,9.91,9.8897,9.8897,1710,0
HOM.US,D,20211208,000000,9.91,9.91,9.8801,9.8932,828,0
HOM.US,D,20211209,000000,9.8824,9.89,9.858,9.858,3370,0
HOM.US,D,20211210,000000,9.8899,9.8899,9.86,9.8807,2069,0
HOM.US,D,20211213,000000,9.89,9.89,9.8604,9.8604,6704,0
HOM.US,D,20211214,000000,9.8,9.8,9.7686,9.7686,6758,0
HOM.US,D,20211215,000000,9.77,9.82,9.75,9.8151,11389,0
HOM.US,D,20211216,000000,9.87,9.87,9.81,9.8162,2837,0
HOM.US,D,20211217,000000,9.81,9.81,9.77,9.77,1843,0
HOM.US,D,20211220,000000,9.72,9.72,9.72,9.72,1051,0
HOM.US,D,20211221,000000,9.75,9.78,9.7201,9.7795,5695,0
HOM.US,D,20211222,000000,9.81,9.83,9.78,9.825,1636,0
HOM.US,D,20211223,000000,9.8362,9.8441,9.8362,9.8441,268,0
HOM.US,D,20211227,000000,9.83,9.885,9.83,9.885,1781,0
