<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HPP.US,D,20100623,000000,12.512,12.512,12.512,12.512,0,0
HPP.US,D,20100624,000000,12.878,13.099,12.554,12.805,3526275,0
HPP.US,D,20100625,000000,12.767,13.134,12.696,12.959,316846,0
HPP.US,D,20100628,000000,13.034,13.087,12.747,12.843,125709,0
HPP.US,D,20100629,000000,12.678,13.099,12.298,12.754,394452,0
HPP.US,D,20100630,000000,12.69,12.853,12.553,12.698,196694,0
HPP.US,D,20100701,000000,12.696,12.835,12.327,12.512,571352,0
HPP.US,D,20100702,000000,12.512,12.593,12.379,12.503,314127,0
HPP.US,D,20100706,000000,12.583,12.688,12.223,12.298,162184,0
HPP.US,D,20100707,000000,12.29,12.401,12.01,12.164,206241,0
HPP.US,D,20100708,000000,12.164,12.164,11.887,12.061,281542,0
HPP.US,D,20100709,000000,12.031,12.216,11.945,12.141,340120,0
HPP.US,D,20100712,000000,12.078,12.223,11.961,12.07,113737,0
HPP.US,D,20100713,000000,12.126,12.379,12.07,12.333,71726,0
HPP.US,D,20100714,000000,12.179,12.401,12.179,12.34,83279,0
HPP.US,D,20100715,000000,12.45,12.497,12.188,12.29,314086,0
HPP.US,D,20100716,000000,12.327,12.327,12.07,12.179,210001,0
HPP.US,D,20100719,000000,12.252,12.252,11.6,11.776,493722,0
HPP.US,D,20100720,000000,11.592,11.798,11.371,11.781,156958,0
HPP.US,D,20100721,000000,11.832,11.893,11.655,11.671,121959,0
HPP.US,D,20100722,000000,11.679,12.141,10.803,11.887,278091,0
HPP.US,D,20100723,000000,11.776,11.893,11.716,11.887,163290,0
HPP.US,D,20100726,000000,11.701,12.141,11.701,12.086,110288,0
HPP.US,D,20100727,000000,12.094,12.094,11.798,11.964,86155,0
HPP.US,D,20100728,000000,11.908,11.908,11.776,11.847,53858,0
HPP.US,D,20100729,000000,11.869,12.113,11.724,11.995,49300,0
HPP.US,D,20100730,000000,11.893,12.113,11.781,12.113,63135,0
HPP.US,D,20100802,000000,12.164,12.327,12.016,12.327,43148,0
HPP.US,D,20100803,000000,12.261,12.371,11.964,12.29,33652,0
HPP.US,D,20100804,000000,12.267,12.512,12.229,12.34,64335,0
HPP.US,D,20100805,000000,12.29,12.29,12.105,12.216,20112,0
HPP.US,D,20100806,000000,12.216,12.244,11.9,12.244,194101,0
HPP.US,D,20100809,000000,12.283,12.298,11.972,12.216,33511,0
HPP.US,D,20100810,000000,12.031,12.252,11.921,12.244,18075,0
HPP.US,D,20100811,000000,12.078,12.1,11.878,11.972,28392,0
HPP.US,D,20100812,000000,11.961,12.15,11.961,11.972,35617,0
HPP.US,D,20100813,000000,12.078,12.333,12.078,12.211,64368,0
HPP.US,D,20100816,000000,12.113,12.141,11.961,12.141,27875,0
HPP.US,D,20100817,000000,12.188,12.283,12.133,12.216,18106,0
HPP.US,D,20100818,000000,12.141,12.141,11.908,12.094,28691,0
HPP.US,D,20100819,000000,12.016,12.223,11.972,12.204,20424,0
HPP.US,D,20100820,000000,12.283,12.392,12.105,12.261,20842,0
HPP.US,D,20100823,000000,12.252,12.252,11.972,12.126,15080,0
HPP.US,D,20100824,000000,12.016,12.188,11.961,12.031,44167,0
HPP.US,D,20100825,000000,12.126,12.126,11.789,12.078,53657,0
HPP.US,D,20100826,000000,12.045,12.053,11.961,12.031,13079,0
HPP.US,D,20100827,000000,11.964,12.172,11.961,12.126,16443,0
HPP.US,D,20100830,000000,12.105,12.105,11.961,11.995,22381,0
HPP.US,D,20100831,000000,11.894,12.145,11.853,12.116,21265,0
