<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRL.US,D,20050225,000000,6.3508,6.3508,6.22,6.3298,2158591,0
HRL.US,D,20050228,000000,6.3179,6.3756,6.2446,6.3556,2635883,0
HRL.US,D,20050301,000000,6.4119,6.5059,6.3915,6.4932,1075627,0
HRL.US,D,20050302,000000,6.4932,6.5468,6.4119,6.526,1732264,0
HRL.US,D,20050303,000000,6.5429,6.5429,6.4444,6.5298,1296630,0
HRL.US,D,20050304,000000,6.5592,6.5761,6.4932,6.5137,1184412,0
HRL.US,D,20050307,000000,6.5177,6.5177,6.4083,6.424,1307893,0
HRL.US,D,20050308,000000,6.3756,6.3756,6.2077,6.2977,2875515,0
HRL.US,D,20050309,000000,6.2977,6.3253,6.2323,6.2732,1612699,0
HRL.US,D,20050310,000000,6.2808,6.3024,6.2038,6.2732,1001133,0
HRL.US,D,20050311,000000,6.2732,6.3024,6.2282,6.2323,1147162,0
HRL.US,D,20050314,000000,6.2446,6.3756,6.2323,6.3508,1920437,0
HRL.US,D,20050315,000000,6.3298,6.3467,6.1952,6.2323,1939058,0
HRL.US,D,20050316,000000,6.2524,6.3424,6.2524,6.3253,2106653,0
HRL.US,D,20050317,000000,6.2977,6.4771,6.256,6.3996,3752672,0
HRL.US,D,20050318,000000,6.3756,6.424,6.3024,6.3915,7432335,0
HRL.US,D,20050321,000000,6.3828,6.3996,6.2732,6.2855,1701886,0
HRL.US,D,20050322,000000,6.3135,6.3467,6.2732,6.3103,1230472,0
HRL.US,D,20050323,000000,6.3424,6.3955,6.3024,6.3424,1631325,0
HRL.US,D,20050324,000000,6.3627,6.3627,6.2935,6.3103,973693,0
HRL.US,D,20050328,000000,6.3508,6.3593,6.2607,6.2607,1140793,0
HRL.US,D,20050329,000000,6.2771,6.2855,6.2077,6.2363,1254976,0
HRL.US,D,20050330,000000,6.2607,6.3179,6.22,6.3179,1034455,0
HRL.US,D,20050331,000000,6.3063,6.3508,6.2892,6.3467,1177541,0
HRL.US,D,20050401,000000,6.3756,6.3868,6.2771,6.3179,1060429,0
HRL.US,D,20050404,000000,6.3298,6.3386,6.2808,6.3253,597842,0
HRL.US,D,20050405,000000,6.3253,6.3828,6.2977,6.3715,941847,0
HRL.US,D,20050406,000000,6.3715,6.3756,6.3135,6.3424,724269,0
HRL.US,D,20050407,000000,6.3135,6.3868,6.2977,6.3386,1101593,0
HRL.US,D,20050408,000000,6.3063,6.3179,6.2524,6.2855,1881726,0
HRL.US,D,20050411,000000,6.2977,6.3103,6.2077,6.2122,699771,0
HRL.US,D,20050412,000000,6.1916,6.2771,6.167,6.2446,1037892,0
HRL.US,D,20050413,000000,6.2524,6.2524,6.2077,6.22,772293,0
HRL.US,D,20050414,000000,6.22,6.2403,6.1714,6.1714,1058473,0
HRL.US,D,20050415,000000,6.1751,6.1996,6.1344,6.1462,1012413,0
HRL.US,D,20050418,000000,6.1264,6.1587,6.0317,6.0652,1254976,0
