<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HTAQ-U.US,D,20211110,000000,10.09,10.1,10.08,10.1,210827,0
HTAQ-U.US,D,20211111,000000,10.1,10.11,10.1,10.11,99713,0
HTAQ-U.US,D,20211112,000000,10.12,10.12,10.1,10.12,66695,0
HTAQ-U.US,D,20211115,000000,10.0679,10.13,10.0679,10.1,12670,0
HTAQ-U.US,D,20211116,000000,10.13,10.15,10.1,10.1301,130818,0
HTAQ-U.US,D,20211117,000000,10.12,10.15,10.12,10.12,265147,0
HTAQ-U.US,D,20211119,000000,10.12,10.15,10.12,10.15,223058,0
HTAQ-U.US,D,20211122,000000,10.1399,10.15,10.1399,10.14,72745,0
HTAQ-U.US,D,20211123,000000,10.15,10.15,10.13,10.15,27984,0
HTAQ-U.US,D,20211126,000000,10.15,10.15,10.12,10.13,1213,0
HTAQ-U.US,D,20211129,000000,10.1499,10.18,10.1412,10.18,8650,0
HTAQ-U.US,D,20211130,000000,10.1672,10.1672,10.09,10.09,133210,0
HTAQ-U.US,D,20211201,000000,10.06,10.18,10.06,10.18,10550,0
HTAQ-U.US,D,20211202,000000,10.06,10.18,10.06,10.18,27700,0
HTAQ-U.US,D,20211203,000000,10.11,10.11,10.09,10.09,1439,0
HTAQ-U.US,D,20211206,000000,10.12,10.12,10.12,10.12,14980,0
HTAQ-U.US,D,20211208,000000,10.15,10.15,10.1,10.12,34421,0
HTAQ-U.US,D,20211210,000000,10.06,10.06,10.06,10.06,210,0
HTAQ-U.US,D,20211214,000000,10.11,10.14,10.07,10.1,106451,0
HTAQ-U.US,D,20211216,000000,10.06,10.15,10.06,10.15,2255,0
HTAQ-U.US,D,20211217,000000,10.09,10.09,10.09,10.09,120,0
HTAQ-U.US,D,20211220,000000,10.125,10.125,10.125,10.125,1005,0
HTAQ-U.US,D,20211221,000000,10.12,10.12,10.12,10.12,500,0
HTAQ-U.US,D,20211222,000000,10.06,10.06,10.06,10.06,1993,0
HTAQ-U.US,D,20211223,000000,10.08,10.1,10.08,10.1,13106,0
HTAQ-U.US,D,20211228,000000,10.21,10.21,10.21,10.21,233,0
HTAQ-U.US,D,20211229,000000,10.11,10.11,10.1,10.1,445,0
HTAQ-U.US,D,20211230,000000,10.14,10.14,10.14,10.14,210,0
HTAQ-U.US,D,20211231,000000,10.14,10.15,10.14,10.15,1369,0
HTAQ-U.US,D,20220103,000000,10.15,10.15,10.14,10.14,2001,0
HTAQ-U.US,D,20220105,000000,10.14,10.14,10.1398,10.1398,5104,0
HTAQ-U.US,D,20220106,000000,10.1,10.13,10.0991,10.12,78611,0
HTAQ-U.US,D,20220107,000000,10.14,10.14,10.14,10.14,5035,0
HTAQ-U.US,D,20220110,000000,10.15,10.16,10.06,10.15,12571,0
HTAQ-U.US,D,20220111,000000,10.15,10.15,10.12,10.12,1210,0
HTAQ-U.US,D,20220112,000000,10.12,10.12,10.12,10.12,10010,0
HTAQ-U.US,D,20220114,000000,10.15,10.15,10.135,10.135,3900,0
HTAQ-U.US,D,20220118,000000,10.13,10.135,10.13,10.13,50200,0
HTAQ-U.US,D,20220119,000000,10.06,10.06,10.06,10.06,204,0
HTAQ-U.US,D,20220120,000000,10.15,10.15,10.12,10.12,2468,0
HTAQ-U.US,D,20220121,000000,10.11,10.14,10.11,10.14,2848,0
