<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HTAQ-WS.US,D,20220104,000000,0.49,0.49,0.47,0.47,94931,0
HTAQ-WS.US,D,20220106,000000,0.47,0.48,0.4415,0.4665,151201,0
HTAQ-WS.US,D,20220107,000000,0.4501,0.4663,0.4501,0.4662,2250,0
HTAQ-WS.US,D,20220110,000000,0.4662,0.4662,0.4597,0.4597,50145,0
HTAQ-WS.US,D,20220111,000000,0.46,0.46,0.4391,0.4596,4850,0
HTAQ-WS.US,D,20220112,000000,0.4595,0.4699,0.4,0.4699,232846,0
HTAQ-WS.US,D,20220118,000000,0.4424,0.4424,0.4,0.4422,28151,0
HTAQ-WS.US,D,20220119,000000,0.4422,0.4422,0.44,0.4421,1779,0
HTAQ-WS.US,D,20220120,000000,0.44,0.44,0.44,0.44,15021,0
HTAQ-WS.US,D,20220121,000000,0.43,0.44,0.4299,0.4345,42680,0
