<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYB.US,D,20050225,000000,4.5496,4.59,4.5091,4.572,74459,0
HYB.US,D,20050228,000000,4.572,4.6124,4.5496,4.572,209102,0
HYB.US,D,20050301,000000,4.59,4.6527,4.5496,4.6124,177773,0
HYB.US,D,20050302,000000,4.59,4.6527,4.572,4.6124,109895,0
HYB.US,D,20050303,000000,4.6124,4.6308,4.572,4.6124,105232,0
HYB.US,D,20050304,000000,4.6308,4.6308,4.572,4.6308,96557,0
HYB.US,D,20050307,000000,4.59,4.6527,4.572,4.6124,288882,0
HYB.US,D,20050308,000000,4.6124,4.6308,4.572,4.6308,89608,0
HYB.US,D,20050309,000000,4.59,4.6308,4.5273,4.5496,163095,0
HYB.US,D,20050310,000000,4.5273,4.59,4.5091,4.59,142731,0
HYB.US,D,20050311,000000,4.5273,4.6124,4.4867,4.5273,86410,0
HYB.US,D,20050314,000000,4.5091,4.5273,4.4277,4.4277,154559,0
HYB.US,D,20050315,000000,4.3872,4.4686,4.3245,4.365,267701,0
HYB.US,D,20050316,000000,4.365,4.365,4.2431,4.3064,202197,0
HYB.US,D,20050317,000000,4.284,4.365,4.2431,4.3467,97518,0
HYB.US,D,20050318,000000,4.3467,4.365,4.2659,4.3064,149396,0
HYB.US,D,20050321,000000,4.2659,4.3245,3.9597,4.2026,334103,0
HYB.US,D,20050322,000000,4.1217,4.2431,4.104,4.2252,147660,0
HYB.US,D,20050323,000000,4.2252,4.2252,4.0406,4.1217,160138,0
HYB.US,D,20050324,000000,4.0811,4.1217,4.0226,4.104,263537,0
HYB.US,D,20050328,000000,4.0631,4.1849,3.9416,4.0226,146428,0
HYB.US,D,20050329,000000,3.9999,4.0811,3.9999,4.0811,153608,0
HYB.US,D,20050330,000000,4.0226,4.104,3.9999,4.104,181868,0
HYB.US,D,20050331,000000,4.104,4.162,4.0631,4.162,93086,0
HYB.US,D,20050401,000000,4.162,4.284,4.104,4.1849,195764,0
HYB.US,D,20050404,000000,4.1849,4.2659,4.144,4.2252,85502,0
HYB.US,D,20050405,000000,4.162,4.2252,4.1217,4.2026,123640,0
HYB.US,D,20050406,000000,4.1849,4.2252,4.162,4.2252,68144,0
HYB.US,D,20050407,000000,4.2252,4.2431,4.1849,4.2026,137478,0
HYB.US,D,20050408,000000,4.1849,4.2252,4.162,4.1849,144141,0
HYB.US,D,20050411,000000,4.162,4.1849,4.0811,4.1849,115780,0
HYB.US,D,20050412,000000,4.1217,4.2252,4.0811,4.2026,100523,0
HYB.US,D,20050413,000000,4.162,4.162,4.0811,4.162,61649,0
HYB.US,D,20050414,000000,4.144,4.1849,4.0631,4.1217,62937,0
HYB.US,D,20050415,000000,4.0811,4.1217,4.0631,4.104,158680,0
HYB.US,D,20050418,000000,4.0406,4.162,4.0226,4.0811,116698,0
HYB.US,D,20050419,000000,4.0631,4.144,4.0454,4.104,58013,0
HYB.US,D,20050420,000000,4.104,4.144,4.0631,4.0811,106927,0
HYB.US,D,20050421,000000,4.0631,4.0811,4.0226,4.0811,70517,0
HYB.US,D,20050422,000000,4.0406,4.104,4.0226,4.104,55177,0
HYB.US,D,20050425,000000,4.0631,4.104,4.0406,4.0811,97417,0
HYB.US,D,20050426,000000,4.0811,4.104,4.0631,4.104,103047,0
HYB.US,D,20050427,000000,4.0811,4.104,4.0406,4.0811,81938,0
HYB.US,D,20050428,000000,4.0811,4.104,4.0631,4.104,93683,0
HYB.US,D,20050429,000000,4.1217,4.1217,4.0631,4.1217,82580,0
HYB.US,D,20050502,000000,4.1217,4.144,4.0631,4.104,137301,0
HYB.US,D,20050503,000000,4.104,4.144,4.0631,4.144,45584,0
HYB.US,D,20050504,000000,4.144,4.162,4.104,4.162,69745,0
HYB.US,D,20050505,000000,4.144,4.2026,4.1217,4.144,124006,0
HYB.US,D,20050506,000000,4.162,4.162,4.104,4.162,86910,0
HYB.US,D,20050509,000000,4.1217,4.1849,4.104,4.162,84372,0
HYB.US,D,20050510,000000,4.144,4.162,4.1217,4.162,84214,0
HYB.US,D,20050511,000000,4.1217,4.162,4.1217,4.162,85285,0
HYB.US,D,20050512,000000,4.162,4.1849,4.144,4.162,70744,0
HYB.US,D,20050513,000000,4.144,4.162,4.1217,4.144,84319,0
HYB.US,D,20050516,000000,4.144,4.162,4.104,4.144,91949,0
