<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYT.US,D,20050225,000000,5.5919,5.5998,5.5686,5.5998,365151,0
HYT.US,D,20050228,000000,5.6044,5.6172,5.5492,5.5718,417947,0
HYT.US,D,20050301,000000,5.5612,5.5998,5.5612,5.5919,417697,0
HYT.US,D,20050302,000000,5.5919,5.5945,5.5612,5.5845,265278,0
HYT.US,D,20050303,000000,5.5884,5.5945,5.5651,5.5806,264011,0
HYT.US,D,20050304,000000,5.5884,5.6172,5.5718,5.6044,397769,0
HYT.US,D,20050307,000000,5.5998,5.6302,5.5945,5.6213,262274,0
HYT.US,D,20050308,000000,5.6172,5.6302,5.6044,5.613,226160,0
HYT.US,D,20050309,000000,5.5845,5.5998,5.5492,5.5572,275717,0
HYT.US,D,20050310,000000,5.5572,5.5769,5.5124,5.5769,541995,0
HYT.US,D,20050311,000000,5.5077,5.5329,5.4806,5.4806,246584,0
HYT.US,D,20050314,000000,5.4519,5.5035,5.4519,5.4722,418948,0
HYT.US,D,20050315,000000,5.4722,5.5004,5.4038,5.4362,343466,0
HYT.US,D,20050316,000000,5.4089,5.4362,5.3034,5.3353,587817,0
HYT.US,D,20050317,000000,5.3317,5.3641,5.3317,5.3556,299397,0
HYT.US,D,20050318,000000,5.3438,5.3599,5.3077,5.3275,340986,0
HYT.US,D,20050321,000000,5.3275,5.3317,5.2674,5.2798,395277,0
HYT.US,D,20050322,000000,5.2916,5.3113,5.163,5.163,402757,0
HYT.US,D,20050323,000000,5.0545,5.144,5.0504,5.1145,592302,0
HYT.US,D,20050324,000000,5.0586,5.1987,5.0586,5.135,356430,0
HYT.US,D,20050328,000000,5.1069,5.1987,5.0996,5.1669,370628,0
HYT.US,D,20050329,000000,5.1788,5.247,5.1313,5.247,312584,0
HYT.US,D,20050330,000000,5.2068,5.2916,5.2068,5.2798,202003,0
HYT.US,D,20050331,000000,5.2916,5.3523,5.2916,5.3438,239859,0
HYT.US,D,20050401,000000,5.3523,5.4449,5.3523,5.3715,417947,0
HYT.US,D,20050404,000000,5.368,5.3715,5.3438,5.3715,273241,0
HYT.US,D,20050405,000000,5.3275,5.3353,5.3034,5.3152,271490,0
HYT.US,D,20050406,000000,5.3199,5.3317,5.3077,5.3199,242100,0
HYT.US,D,20050407,000000,5.3152,5.3275,5.2835,5.3113,300638,0
HYT.US,D,20050408,000000,5.2835,5.3242,5.2757,5.2835,259284,0
HYT.US,D,20050411,000000,5.2595,5.2835,5.1987,5.2193,316826,0
HYT.US,D,20050412,000000,5.1987,5.2511,5.1827,5.2156,332020,0
HYT.US,D,20050413,000000,5.1553,5.2068,5.1393,5.163,356180,0
HYT.US,D,20050414,000000,5.1512,5.1589,5.0868,5.1029,310095,0
HYT.US,D,20050415,000000,5.0745,5.1069,5.0504,5.0666,415962,0
HYT.US,D,20050418,000000,5.0948,5.1112,5.0545,5.0586,410233,0
HYT.US,D,20050419,000000,5.0463,5.1709,5.0463,5.1553,402249,0
HYT.US,D,20050420,000000,5.144,5.163,5.1112,5.1188,505378,0
HYT.US,D,20050421,000000,5.1188,5.1754,5.1188,5.1469,432638,0
HYT.US,D,20050422,000000,5.1313,5.1709,5.1313,5.1313,250580,0
HYT.US,D,20050425,000000,5.1469,5.163,5.0828,5.135,375610,0
HYT.US,D,20050426,000000,5.1188,5.1512,5.1112,5.1469,268249,0
HYT.US,D,20050427,000000,5.1228,5.1669,5.1112,5.163,260040,0
HYT.US,D,20050428,000000,5.163,5.163,5.1188,5.1469,325287,0
HYT.US,D,20050429,000000,5.1709,5.1788,5.1469,5.1669,305628,0
HYT.US,D,20050502,000000,5.1512,5.2068,5.1512,5.2035,436878,0
HYT.US,D,20050503,000000,5.2035,5.2314,5.1987,5.2193,367141,0
HYT.US,D,20050504,000000,5.2354,5.2595,5.2314,5.2558,458051,0
HYT.US,D,20050505,000000,5.2558,5.263,5.1827,5.1827,430405,0
HYT.US,D,20050506,000000,5.1754,5.2068,5.1553,5.2035,263267,0
HYT.US,D,20050509,000000,5.1955,5.2278,5.1955,5.2193,169369,0
HYT.US,D,20050510,000000,5.2238,5.2558,5.2035,5.2354,319303,0
HYT.US,D,20050511,000000,5.2035,5.2156,5.1869,5.2035,241601,0
HYT.US,D,20050512,000000,5.1827,5.2156,5.1754,5.1869,636139,0
HYT.US,D,20050513,000000,5.1827,5.1987,5.163,5.1955,302131,0
HYT.US,D,20050516,000000,5.1827,5.1955,5.163,5.1709,213212,0
HYT.US,D,20050517,000000,5.1589,5.1709,5.1145,5.1512,380084,0
HYT.US,D,20050518,000000,5.1754,5.1788,5.1188,5.163,628168,0
HYT.US,D,20050519,000000,5.163,5.1754,5.144,5.1709,396274,0
HYT.US,D,20050520,000000,5.1669,5.1914,5.144,5.1669,414462,0
HYT.US,D,20050523,000000,5.1512,5.2314,5.1512,5.2238,342474,0
HYT.US,D,20050524,000000,5.2156,5.247,5.2068,5.2391,364148,0
HYT.US,D,20050525,000000,5.2238,5.2278,5.2112,5.2112,343466,0
HYT.US,D,20050526,000000,5.2278,5.2391,5.2112,5.2314,323804,0
HYT.US,D,20050527,000000,5.2314,5.2391,5.2193,5.2314,675755,0
HYT.US,D,20050531,000000,5.2354,5.2595,5.2193,5.2595,492922,0
HYT.US,D,20050601,000000,5.2595,5.3275,5.2595,5.3113,332765,0
HYT.US,D,20050602,000000,5.3002,5.3317,5.3002,5.3242,704887,0
HYT.US,D,20050603,000000,5.3242,5.3715,5.3199,5.3477,487447,0
HYT.US,D,20050606,000000,5.3556,5.3599,5.3317,5.3556,417199,0
HYT.US,D,20050607,000000,5.3715,5.384,5.3353,5.3523,483701,0
HYT.US,D,20050608,000000,5.3199,5.368,5.3199,5.3438,327781,0
HYT.US,D,20050609,000000,5.3395,5.3556,5.3152,5.3353,407240,0
HYT.US,D,20050610,000000,5.2954,5.3034,5.247,5.2798,279465,0
HYT.US,D,20050613,000000,5.2595,5.3002,5.2558,5.2835,233878,0
HYT.US,D,20050614,000000,5.2757,5.3034,5.2757,5.2954,202254,0
HYT.US,D,20050615,000000,5.3002,5.3034,5.2433,5.2835,415213,0
HYT.US,D,20050616,000000,5.2954,5.3113,5.2757,5.3077,278698,0
HYT.US,D,20050617,000000,5.2881,5.3152,5.2835,5.3034,237873,0
HYT.US,D,20050620,000000,5.2954,5.3034,5.2721,5.2916,197277,0
HYT.US,D,20050621,000000,5.3002,5.3113,5.2721,5.3113,328287,0
HYT.US,D,20050622,000000,5.3077,5.3242,5.2916,5.3152,319063,0
HYT.US,D,20050623,000000,5.3034,5.3242,5.2954,5.3242,337003,0
HYT.US,D,20050624,000000,5.3077,5.3242,5.2835,5.3113,411977,0
HYT.US,D,20050627,000000,5.3199,5.3199,5.2835,5.3002,353691,0
HYT.US,D,20050628,000000,5.2881,5.3113,5.2835,5.3113,240351,0
HYT.US,D,20050629,000000,5.2954,5.3152,5.2916,5.3113,255309,0
HYT.US,D,20050630,000000,5.3275,5.3317,5.3002,5.3152,186550,0
HYT.US,D,20050701,000000,5.3034,5.3556,5.3034,5.3556,320315,0
HYT.US,D,20050705,000000,5.3353,5.3599,5.3353,5.3556,333263,0
HYT.US,D,20050706,000000,5.3477,5.3715,5.3477,5.3715,284693,0
HYT.US,D,20050707,000000,5.3715,5.3715,5.3477,5.3523,473492,0
HYT.US,D,20050708,000000,5.3477,5.3878,5.3438,5.3878,463779,0
HYT.US,D,20050711,000000,5.3878,5.4038,5.3764,5.4038,262274,0
HYT.US,D,20050712,000000,5.3915,5.4089,5.3795,5.3998,236866,0
