<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDME.US,D,20210726,000000,24.87,24.8718,24.8699,24.8718,402,0
IDME.US,D,20210727,000000,24.691,24.691,24.691,24.691,71,0
IDME.US,D,20210728,000000,24.77,24.96,24.77,24.92,41355,0
IDME.US,D,20210729,000000,25.1049,25.12,25.0731,25.0731,40403,0
IDME.US,D,20210730,000000,25,25,24.91,24.97,462763,0
IDME.US,D,20210802,000000,25.07,25.08,25.0269,25.0269,237068,0
IDME.US,D,20210803,000000,25.13,25.2,25.1292,25.161,572961,0
IDME.US,D,20210804,000000,25.27,25.28,25.16,25.1681,67735,0
IDME.US,D,20210805,000000,25.21,25.22,25.1882,25.2006,51722,0
IDME.US,D,20210806,000000,25.18,25.18,25.07,25.09,164203,0
IDME.US,D,20210809,000000,25.09,25.13,25.09,25.0984,161243,0
IDME.US,D,20210810,000000,25.11,25.15,25.11,25.1294,61322,0
IDME.US,D,20210811,000000,25.205,25.29,25.205,25.2606,248372,0
IDME.US,D,20210812,000000,25.13,25.2,25.13,25.2,166705,0
IDME.US,D,20210813,000000,25.22,25.24,25.18,25.2151,486019,0
IDME.US,D,20210816,000000,25.01,25.09,24.99,25.085,17783,0
IDME.US,D,20210817,000000,24.86,24.87,24.75,24.8254,90597,0
IDME.US,D,20210818,000000,24.92,24.94,24.8068,24.8068,190133,0
IDME.US,D,20210819,000000,24.59,24.61,24.54,24.5727,11487,0
IDME.US,D,20210820,000000,24.54,24.61,24.54,24.61,30846,0
IDME.US,D,20210823,000000,24.82,24.85,24.8175,24.8175,35655,0
IDME.US,D,20210824,000000,25.0199,25.07,25.0199,25.0363,10435,0
IDME.US,D,20210825,000000,25.01,25.08,25.01,25.075,90737,0
IDME.US,D,20210826,000000,24.9614,24.9614,24.9222,24.9222,4388,0
IDME.US,D,20210827,000000,25.1113,25.16,25.1,25.1355,37261,0
IDME.US,D,20210830,000000,25.121,25.2099,25.121,25.16,14231,0
IDME.US,D,20210831,000000,25.2999,25.2999,25.23,25.27,10890,0
IDME.US,D,20210901,000000,25.425,25.51,25.425,25.465,14266,0
IDME.US,D,20210902,000000,25.57,25.57,25.5,25.5125,14500,0
IDME.US,D,20210903,000000,25.59,25.67,25.59,25.6548,23153,0
IDME.US,D,20210907,000000,25.69,25.7349,25.6838,25.6838,17277,0
IDME.US,D,20210908,000000,25.555,25.555,25.405,25.4361,27861,0
IDME.US,D,20210909,000000,25.45,25.5,25.4,25.44,23935,0
IDME.US,D,20210910,000000,25.59,25.59,25.39,25.39,32521,0
IDME.US,D,20210913,000000,25.57,25.57,25.47,25.52,30983,0
IDME.US,D,20210914,000000,25.5,25.5,25.3496,25.3795,11456,0
IDME.US,D,20210915,000000,25.335,25.4293,25.31,25.4293,40774,0
IDME.US,D,20210916,000000,25.31,25.3104,25.2,25.3104,6799,0
IDME.US,D,20210917,000000,25.235,25.235,25.065,25.0984,11441,0
IDME.US,D,20210920,000000,24.82,24.82,24.5,24.65,24532,0
IDME.US,D,20210921,000000,24.85,24.905,24.83,24.8386,17259,0
IDME.US,D,20210922,000000,25.035,25.1,25,25.0092,14470,0
IDME.US,D,20210923,000000,25.18,25.24,25.18,25.212,17094,0
IDME.US,D,20210924,000000,25.01,25.02,24.97,24.99,9180,0
IDME.US,D,20210927,000000,25.01,25.025,25,25.0075,9678,0
IDME.US,D,20210928,000000,24.76,24.76,24.5337,24.5568,21680,0
