<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEX.US,D,20050225,000000,22.175,22.38,21.953,22.327,497442,0
IEX.US,D,20050228,000000,22.38,22.516,22.139,22.516,618818,0
IEX.US,D,20050301,000000,22.663,22.917,22.327,22.894,535150,0
IEX.US,D,20050302,000000,22.858,23.44,22.765,23.363,700731,0
IEX.US,D,20050303,000000,23.371,23.405,23.175,23.322,345362,0
IEX.US,D,20050304,000000,23.371,24.022,23.269,23.953,545146,0
IEX.US,D,20050307,000000,24.006,24.006,23.586,23.629,291165,0
IEX.US,D,20050308,000000,23.637,23.78,23.527,23.629,151725,0
IEX.US,D,20050309,000000,23.603,23.603,23.209,23.269,207499,0
IEX.US,D,20050310,000000,23.322,23.322,23.013,23.159,307478,0
IEX.US,D,20050311,000000,23.236,23.386,23.091,23.175,251877,0
IEX.US,D,20050314,000000,23.236,23.535,23.2,23.413,189612,0
IEX.US,D,20050315,000000,23.371,23.663,23.287,23.287,209251,0
IEX.US,D,20050316,000000,23.227,23.405,22.995,23.038,221704,0
IEX.US,D,20050317,000000,23.065,23.165,22.926,22.926,246614,0
IEX.US,D,20050318,000000,23.074,23.236,22.877,23.236,548303,0
IEX.US,D,20050321,000000,23.322,23.322,22.908,22.995,187506,0
IEX.US,D,20050322,000000,22.995,23.867,22.995,23.395,445170,0
IEX.US,D,20050323,000000,23.091,23.209,22.894,22.917,371325,0
IEX.US,D,20050324,000000,23.028,23.236,22.827,22.827,206976,0
IEX.US,D,20050328,000000,22.877,23.2,22.791,23.038,402901,0
IEX.US,D,20050329,000000,23.047,23.474,22.6,22.635,319405,0
IEX.US,D,20050330,000000,22.61,23.287,22.61,23.091,313094,0
IEX.US,D,20050331,000000,23.1,23.26,22.827,23.005,470780,0
IEX.US,D,20050401,000000,23.013,23.065,22.482,22.567,395885,0
IEX.US,D,20050404,000000,22.567,23.021,22.465,22.908,622324,0
IEX.US,D,20050405,000000,22.908,23.165,22.908,22.978,350279,0
IEX.US,D,20050406,000000,23.028,23.1,22.858,22.858,238195,0
IEX.US,D,20050407,000000,22.877,22.934,22.584,22.877,237844,0
IEX.US,D,20050408,000000,23.013,23.287,22.908,23.277,382901,0
IEX.US,D,20050411,000000,23.34,23.34,23.065,23.117,334496,0
IEX.US,D,20050412,000000,23.056,23.544,22.688,23.492,330286,0
IEX.US,D,20050413,000000,23.431,23.51,22.774,22.917,289412,0
IEX.US,D,20050414,000000,22.917,22.926,22.121,22.158,752824,0
IEX.US,D,20050415,000000,22.158,22.31,21.714,21.824,456221,0
IEX.US,D,20050418,000000,21.799,22.038,21.524,21.833,311866,0
IEX.US,D,20050419,000000,21.771,22.284,21.771,22.194,298709,0
IEX.US,D,20050420,000000,22.293,22.482,21.714,21.732,544973,0
IEX.US,D,20050421,000000,22.087,22.837,22.087,22.663,495688,0
