<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INFO.US,D,20140619,000000,25.724,26.953,25.634,26.265,32543414,0
INFO.US,D,20140620,000000,26.265,27.003,26.265,26.51,3903554,0
INFO.US,D,20140623,000000,26.659,26.806,26.087,26.305,1552172,0
INFO.US,D,20140624,000000,26.137,26.639,26.018,26.325,1121071,0
INFO.US,D,20140625,000000,26.137,26.649,26.077,26.461,936307,0
INFO.US,D,20140626,000000,26.355,26.796,26.335,26.54,1180890,0
INFO.US,D,20140627,000000,26.54,26.787,26.265,26.54,1115892,0
INFO.US,D,20140630,000000,26.345,26.737,26.235,26.54,705966,0
INFO.US,D,20140701,000000,26.757,26.757,26.275,26.305,1016228,0
INFO.US,D,20140702,000000,26.186,26.649,26.186,26.335,1424812,0
INFO.US,D,20140703,000000,26.225,26.659,26.225,26.51,475649,0
INFO.US,D,20140707,000000,26.52,26.56,26.225,26.5,268952,0
INFO.US,D,20140708,000000,26.5,26.51,26.192,26.422,452665,0
INFO.US,D,20140709,000000,26.385,26.52,26.295,26.442,228161,0
INFO.US,D,20140710,000000,26.067,26.432,25.714,26.225,477985,0
INFO.US,D,20140711,000000,26.225,26.5,26.117,26.245,492526,0
INFO.US,D,20140714,000000,26.067,26.265,25.084,25.654,2176099,0
INFO.US,D,20140715,000000,25.547,25.694,25.33,25.576,539716,0
INFO.US,D,20140716,000000,25.576,26.461,25.576,25.624,280996,0
INFO.US,D,20140717,000000,25.576,25.783,25.527,25.615,281446,0
INFO.US,D,20140718,000000,25.644,25.654,25.38,25.624,409609,0
INFO.US,D,20140721,000000,25.37,25.624,25.026,25.38,1062179,0
INFO.US,D,20140722,000000,25.596,25.596,24.878,25.183,1233917,0
INFO.US,D,20140723,000000,25.183,25.517,24.724,25.35,1020771,0
INFO.US,D,20140724,000000,25.094,25.41,24.88,25.261,589341,0
INFO.US,D,20140725,000000,24.987,25.674,24.8,25.624,718499,0
INFO.US,D,20140728,000000,25.498,25.823,25.114,25.704,311181,0
INFO.US,D,20140729,000000,25.823,25.872,25.527,25.537,241279,0
INFO.US,D,20140730,000000,25.773,25.773,25.094,25.567,224328,0
INFO.US,D,20140731,000000,25.241,25.557,24.77,24.898,373676,0
INFO.US,D,20140801,000000,24.651,25.021,24.426,24.591,407303,0
INFO.US,D,20140804,000000,24.641,25.124,24.525,25.045,195429,0
INFO.US,D,20140805,000000,24.967,25.144,24.553,24.691,212000,0
INFO.US,D,20140806,000000,24.534,25.071,24.328,24.8,130860,0
INFO.US,D,20140807,000000,24.997,25.124,24.651,24.987,111312,0
INFO.US,D,20140808,000000,24.621,25.231,23.667,25.094,190390,0
INFO.US,D,20140811,000000,23.667,25.45,23.667,25.41,154832,0
INFO.US,D,20140812,000000,25.527,25.942,25.261,25.744,559420,0
INFO.US,D,20140813,000000,25.793,25.922,24.868,25.007,991440,0
INFO.US,D,20140814,000000,25.193,25.488,24.997,25.153,317814,0
INFO.US,D,20140815,000000,24.888,25.144,24.838,25.036,549386,0
INFO.US,D,20140818,000000,25.39,25.395,24.651,25.016,650153,0
