<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INSI.US,D,20111212,000000,11.864,11.864,11.645,11.645,68378,0
INSI.US,D,20111213,000000,11.645,11.726,11.623,11.718,49261,0
INSI.US,D,20111214,000000,11.881,11.881,11.623,11.623,37534,0
INSI.US,D,20111215,000000,11.645,11.746,11.645,11.69,64445,0
INSI.US,D,20111216,000000,11.739,11.778,11.645,11.645,57058,0
INSI.US,D,20111219,000000,11.752,11.752,11.654,11.752,23320,0
INSI.US,D,20111220,000000,11.928,11.928,11.746,11.799,50002,0
INSI.US,D,20111221,000000,11.837,11.837,11.752,11.792,59023,0
INSI.US,D,20111222,000000,11.799,11.837,11.726,11.726,53424,0
INSI.US,D,20111223,000000,11.783,11.792,11.732,11.732,37086,0
INSI.US,D,20111227,000000,11.732,11.752,11.563,11.66,40261,0
INSI.US,D,20111228,000000,11.645,11.66,11.505,11.505,30861,0
INSI.US,D,20111229,000000,11.583,11.666,11.523,11.611,19129,0
INSI.US,D,20111230,000000,11.611,11.679,11.563,11.679,18851,0
INSI.US,D,20120103,000000,11.683,11.732,11.645,11.702,21233,0
INSI.US,D,20120104,000000,11.702,11.702,11.645,11.683,30757,0
INSI.US,D,20120105,000000,11.746,11.746,11.623,11.683,40730,0
INSI.US,D,20120106,000000,11.732,11.732,11.634,11.645,52045,0
INSI.US,D,20120109,000000,11.645,11.718,11.634,11.69,36744,0
INSI.US,D,20120110,000000,11.746,11.746,11.679,11.714,40845,0
INSI.US,D,20120111,000000,11.732,11.746,11.69,11.697,38579,0
INSI.US,D,20120112,000000,11.813,11.813,11.739,11.773,57533,0
INSI.US,D,20120113,000000,11.799,11.799,11.726,11.773,43693,0
INSI.US,D,20120117,000000,11.822,11.822,11.773,11.788,50985,0
INSI.US,D,20120118,000000,11.822,11.822,11.739,11.805,34283,0
INSI.US,D,20120119,000000,11.822,11.829,11.768,11.778,30131,0
INSI.US,D,20120120,000000,11.778,11.822,11.778,11.792,52960,0
INSI.US,D,20120123,000000,11.792,11.829,11.761,11.761,44330,0
INSI.US,D,20120124,000000,11.761,11.792,11.746,11.792,60290,0
INSI.US,D,20120125,000000,11.837,11.859,11.752,11.837,52739,0
INSI.US,D,20120126,000000,11.837,11.92,11.837,11.898,85759,0
INSI.US,D,20120127,000000,11.961,11.961,11.906,11.914,39033,0
INSI.US,D,20120130,000000,11.989,11.989,11.87,11.961,34794,0
INSI.US,D,20120131,000000,11.548,12.035,11.543,12.002,38535,0
INSI.US,D,20120201,000000,12.038,12.045,11.934,12.045,61398,0
INSI.US,D,20120202,000000,12.054,12.054,12,12.033,66940,0
INSI.US,D,20120203,000000,12.033,12.05,11.957,12.027,32028,0
INSI.US,D,20120206,000000,12.027,12.033,11.914,11.914,39753,0
INSI.US,D,20120207,000000,11.983,11.983,11.928,11.946,24361,0
INSI.US,D,20120208,000000,11.961,11.989,11.946,11.961,46380,0
INSI.US,D,20120209,000000,11.994,11.994,11.934,11.934,45995,0
INSI.US,D,20120210,000000,12.019,12.019,11.934,11.957,22032,0
INSI.US,D,20120213,000000,12.019,12.073,11.989,12.015,30855,0
