<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IR.US,D,20170512,000000,21.243,21.293,20.263,21.093,10937395,0
IR.US,D,20170515,000000,21.003,22.292,21.003,22.012,3488483,0
IR.US,D,20170516,000000,22.182,22.402,22.042,22.092,1289784,0
IR.US,D,20170517,000000,22.142,22.502,21.663,22.092,1584246,0
IR.US,D,20170518,000000,22.182,23.622,21.972,22.492,4076581,0
IR.US,D,20170519,000000,22.552,23.482,22.312,22.712,1249049,0
IR.US,D,20170522,000000,22.792,23.082,22.512,22.882,383203,0
IR.US,D,20170523,000000,22.982,23.602,22.642,23.442,704228,0
IR.US,D,20170524,000000,23.532,23.585,23.002,23.342,408932,0
IR.US,D,20170525,000000,23.412,23.812,22.302,22.502,1081116,0
IR.US,D,20170526,000000,22.542,23.232,22.347,23.022,721322,0
IR.US,D,20170530,000000,22.992,23.282,22.582,22.942,843416,0
IR.US,D,20170531,000000,22.962,23.172,22.662,22.922,484596,0
IR.US,D,20170601,000000,22.902,23.426,22.802,22.922,486568,0
IR.US,D,20170602,000000,22.882,23.092,22.592,22.642,546780,0
IR.US,D,20170605,000000,22.602,22.902,21.912,22.622,422299,0
IR.US,D,20170606,000000,21.822,22.702,21.822,22.282,1089872,0
IR.US,D,20170607,000000,22.392,22.782,21.563,21.752,733796,0
IR.US,D,20170608,000000,21.742,21.922,21.603,21.643,432702,0
IR.US,D,20170609,000000,21.673,22.812,21.673,22.482,566058,0
IR.US,D,20170612,000000,22.452,23.572,21.882,23.022,826454,0
IR.US,D,20170613,000000,22.982,24.232,22.792,23.482,927585,0
IR.US,D,20170614,000000,23.562,23.702,22.542,23.242,1989167,0
IR.US,D,20170615,000000,23.072,24.542,22.762,22.982,1510837,0
IR.US,D,20170616,000000,22.992,23.992,22.992,23.912,2466479,0
IR.US,D,20170619,000000,24.052,24.202,23.532,23.912,460357,0
IR.US,D,20170620,000000,23.712,23.712,22.202,22.612,1044063,0
IR.US,D,20170621,000000,22.532,22.737,20.623,20.713,1275817,0
IR.US,D,20170622,000000,20.713,21.063,19.903,21.053,1265579,0
IR.US,D,20170623,000000,21.023,21.098,20.233,20.463,3704686,0
IR.US,D,20170626,000000,20.413,21.043,20.073,20.493,791045,0
IR.US,D,20170627,000000,20.553,21.623,20.413,21.283,1029432,0
IR.US,D,20170628,000000,21.273,21.633,21.133,21.263,737822,0
IR.US,D,20170629,000000,21.323,21.533,21.033,21.423,796445,0
IR.US,D,20170630,000000,21.533,21.732,21.233,21.603,250918,0
IR.US,D,20170703,000000,21.742,22.392,21.383,22.332,396602,0
IR.US,D,20170705,000000,22.372,22.402,21.752,21.812,766080,0
IR.US,D,20170706,000000,21.603,21.603,20.888,20.963,1184836,0
IR.US,D,20170707,000000,20.983,21.213,20.573,20.663,954187,0
IR.US,D,20170710,000000,20.623,21.473,20.543,21.333,827174,0
IR.US,D,20170711,000000,21.223,21.792,21.013,21.722,656361,0
IR.US,D,20170712,000000,21.772,22.332,21.722,22.122,1092184,0
IR.US,D,20170713,000000,22.102,22.252,21.852,22.052,1578275,0
IR.US,D,20170714,000000,22.122,22.282,21.982,22.072,211327,0
IR.US,D,20170717,000000,22.052,23.112,21.915,22.962,1357523,0
IR.US,D,20170718,000000,22.822,23.202,22.802,23.032,963017,0
IR.US,D,20170719,000000,23.022,23.412,22.992,23.412,742680,0
IR.US,D,20170720,000000,23.402,23.612,22.992,23.542,429493,0
IR.US,D,20170721,000000,23.432,23.682,22.812,23.002,1163641,0
IR.US,D,20170724,000000,22.922,23.142,22.702,23.132,724678,0
IR.US,D,20170725,000000,23.272,23.552,22.982,23.442,1832712,0
IR.US,D,20170726,000000,23.592,23.592,22.632,22.812,781480,0
IR.US,D,20170727,000000,22.802,23.242,22.737,23.222,314268,0
IR.US,D,20170728,000000,23.072,23.212,22.872,23.082,260882,0
IR.US,D,20170731,000000,23.222,23.222,22.902,22.952,537109,0
IR.US,D,20170801,000000,22.992,22.992,22.382,22.492,998544,0
IR.US,D,20170802,000000,22.492,23.122,22.492,23.012,1444857,0
IR.US,D,20170803,000000,23.822,23.988,22.952,23.252,2651245,0
IR.US,D,20170804,000000,23.452,24.072,23.282,24.062,809875,0
IR.US,D,20170807,000000,24.082,24.332,23.732,24.032,1039420,0
IR.US,D,20170808,000000,24.052,24.282,23.722,24.122,626871,0
IR.US,D,20170809,000000,24.032,24.056,23.472,23.592,296863,0
IR.US,D,20170810,000000,23.382,23.382,22.512,22.652,1248297,0
IR.US,D,20170811,000000,22.272,22.902,22.272,22.672,605506,0
IR.US,D,20170814,000000,22.882,23.182,22.152,22.582,970616,0
IR.US,D,20170815,000000,22.682,22.792,22.542,22.682,1062276,0
IR.US,D,20170816,000000,22.792,22.862,22.582,22.742,536481,0
IR.US,D,20170817,000000,22.592,22.802,21.972,21.992,418011,0
IR.US,D,20170818,000000,21.902,22.172,21.752,21.962,506560,0
IR.US,D,20170821,000000,22.652,22.892,22.127,22.382,713843,0
IR.US,D,20170822,000000,22.512,22.842,22.392,22.772,245170,0
IR.US,D,20170823,000000,22.572,23.057,22.572,22.952,612629,0
IR.US,D,20170824,000000,22.972,22.972,22.627,22.692,230338,0
IR.US,D,20170825,000000,22.812,23.032,22.702,22.972,572477,0
IR.US,D,20170828,000000,23.062,23.062,22.737,22.942,355324,0
IR.US,D,20170829,000000,22.802,23.172,22.672,23.052,262288,0
IR.US,D,20170830,000000,22.942,23.302,22.882,23.292,368660,0
IR.US,D,20170831,000000,23.462,23.822,23.282,23.482,382343,0
IR.US,D,20170901,000000,23.692,23.942,23.662,23.692,465670,0
IR.US,D,20170905,000000,23.772,23.862,22.932,23.112,450501,0
IR.US,D,20170906,000000,23.312,23.482,22.912,23.342,400755,0
IR.US,D,20170907,000000,23.422,23.672,23.172,23.602,246461,0
IR.US,D,20170908,000000,23.522,23.922,23.492,23.752,404213,0
IR.US,D,20170911,000000,23.942,24.392,23.832,23.882,386836,0
IR.US,D,20170912,000000,24.052,25.041,23.862,24.522,655736,0
IR.US,D,20170913,000000,24.572,24.791,24.512,24.661,331240,0
IR.US,D,20170914,000000,24.671,25.061,24.562,24.961,480587,0
IR.US,D,20170915,000000,24.991,25.151,24.751,25.081,517352,0
IR.US,D,20170918,000000,25.161,25.991,25.161,25.771,704154,0
IR.US,D,20170919,000000,25.881,26.171,25.571,25.811,421421,0
IR.US,D,20170920,000000,25.851,26.031,25.621,25.971,561203,0
IR.US,D,20170921,000000,26.021,26.081,25.771,25.841,432928,0
IR.US,D,20170922,000000,25.871,26.291,25.691,26.271,269738,0
IR.US,D,20170925,000000,26.311,26.646,26.251,26.391,485814,0
IR.US,D,20170926,000000,26.501,26.731,26.191,26.301,661006,0
IR.US,D,20170927,000000,26.391,27.071,26.201,27.061,557964,0
IR.US,D,20170928,000000,27.041,27.481,27.041,27.321,694654,0
IR.US,D,20170929,000000,27.411,27.64,27.321,27.51,298529,0
IR.US,D,20171002,000000,27.451,27.83,27.211,27.54,470868,0
IR.US,D,20171003,000000,27.94,27.94,27.56,27.62,400316,0
IR.US,D,20171004,000000,27.491,27.59,26.801,26.881,665901,0
IR.US,D,20171005,000000,26.911,27.161,26.731,26.781,417994,0
IR.US,D,20171006,000000,26.601,26.831,26.491,26.591,414168,0
IR.US,D,20171009,000000,26.591,26.841,26.218,26.771,373055,0
IR.US,D,20171010,000000,26.841,27.281,26.771,26.891,257546,0
IR.US,D,20171011,000000,26.871,26.981,26.761,26.851,273945,0
IR.US,D,20171012,000000,26.691,26.971,26.591,26.881,269406,0
IR.US,D,20171013,000000,27.101,27.251,26.521,26.951,379741,0
IR.US,D,20171016,000000,26.991,27.091,26.811,26.911,399329,0
