<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
J.US,D,20050225,000000,26.432,26.912,26.308,26.912,1011736,0
J.US,D,20050228,000000,26.806,26.996,26.76,26.796,1175101,0
J.US,D,20050301,000000,26.702,26.874,26.693,26.76,695246,0
J.US,D,20050302,000000,26.786,26.958,26.693,26.806,512658,0
J.US,D,20050303,000000,26.74,26.76,25.952,26.354,695031,0
J.US,D,20050304,000000,26.442,26.977,26.354,26.874,630689,0
J.US,D,20050307,000000,26.767,27.006,26.702,26.996,498032,0
J.US,D,20050308,000000,26.996,27.19,26.767,26.826,915221,0
J.US,D,20050309,000000,26.826,26.826,26.128,26.184,880960,0
J.US,D,20050310,000000,26.282,26.308,25.762,25.809,829985,0
J.US,D,20050311,000000,25.896,26.021,25.696,25.799,231888,0
J.US,D,20050314,000000,25.849,25.944,25.65,25.799,430348,0
J.US,D,20050315,000000,25.799,25.915,25.65,25.735,1095506,0
J.US,D,20050316,000000,25.631,25.762,25.504,25.504,401102,0
J.US,D,20050317,000000,25.542,25.791,25.418,25.735,484247,0
J.US,D,20050318,000000,25.611,26.021,25.572,25.952,961182,0
J.US,D,20050321,000000,25.849,25.924,25.735,25.839,701718,0
J.US,D,20050322,000000,25.781,26.345,25.781,26.308,896835,0
J.US,D,20050323,000000,26.308,26.74,26.254,26.345,907074,0
J.US,D,20050324,000000,26.262,26.325,25.591,25.65,982906,0
J.US,D,20050328,000000,25.514,25.514,25.064,25.351,733682,0
J.US,D,20050329,000000,25.39,25.418,24.594,24.652,690016,0
J.US,D,20050330,000000,24.584,25.083,24.565,24.871,655550,0
J.US,D,20050331,000000,24.758,24.977,24.701,24.851,532504,0
J.US,D,20050401,000000,24.825,25.237,24.72,24.806,540652,0
J.US,D,20050404,000000,24.72,25.39,24.672,25.131,504928,0
J.US,D,20050405,000000,25.131,25.351,25.044,25.217,495108,0
J.US,D,20050406,000000,25.217,25.621,24.96,25.504,813692,0
J.US,D,20050407,000000,25.504,25.839,25.464,25.696,501171,0
J.US,D,20050408,000000,25.611,25.686,25.37,25.436,315658,0
J.US,D,20050411,000000,25.38,25.611,25.189,25.522,456673,0
J.US,D,20050412,000000,25.522,26.088,25.322,26.088,897465,0
J.US,D,20050413,000000,25.991,26.001,25.418,25.532,574704,0
J.US,D,20050414,000000,25.542,25.611,24.377,24.604,510987,0
J.US,D,20050415,000000,24.477,24.786,23.629,23.76,1038059,0
J.US,D,20050418,000000,23.76,24.172,23.551,24.152,809513,0
J.US,D,20050419,000000,24.152,24.318,24.041,24.28,391075,0
J.US,D,20050420,000000,24.241,24.28,23.704,23.788,485500,0
J.US,D,20050421,000000,23.916,24.347,23.788,24.347,384388,0
J.US,D,20050422,000000,24.318,24.395,23.76,23.955,501171,0
J.US,D,20050425,000000,23.936,24.662,23.936,24.604,508270,0
J.US,D,20050426,000000,24.477,24.701,23.955,23.973,653043,0
J.US,D,20050427,000000,23.973,23.973,23.34,23.694,839178,0
J.US,D,20050428,000000,23.647,23.647,22.738,22.986,978938,0
J.US,D,20050429,000000,23.034,23.408,22.803,23.322,1028029,0
J.US,D,20050502,000000,23.322,23.571,23.168,23.561,686050,0
J.US,D,20050503,000000,23.446,23.456,23.024,23.044,1039103,0
J.US,D,20050504,000000,23.044,23.38,22.803,23.34,688974,0
J.US,D,20050505,000000,23.263,23.676,23.207,23.494,491768,0
J.US,D,20050506,000000,23.456,24.584,23.389,24.432,915429,0
J.US,D,20050509,000000,24.414,25.189,24.414,25.113,1608165,0
J.US,D,20050510,000000,25.113,25.591,24.891,25.484,1073361,0
J.US,D,20050511,000000,25.484,25.676,25.41,25.631,779014,0
J.US,D,20050512,000000,25.631,25.631,25.159,25.247,783611,0
J.US,D,20050513,000000,25.256,25.283,24.458,24.758,825392,0
J.US,D,20050516,000000,24.796,25.418,24.796,25.264,661190,0
J.US,D,20050517,000000,25.179,25.36,25.034,25.332,356186,0
J.US,D,20050518,000000,25.37,25.934,25.303,25.706,797608,0
J.US,D,20050519,000000,25.706,25.781,25.484,25.65,448313,0
J.US,D,20050520,000000,25.65,25.65,25.36,25.542,376869,0
J.US,D,20050523,000000,25.581,25.839,25.581,25.762,260925,0
J.US,D,20050524,000000,25.418,25.522,25.199,25.41,481740,0
J.US,D,20050525,000000,25.436,25.436,24.96,25.044,319000,0
J.US,D,20050526,000000,25.169,25.735,25.169,25.542,464401,0
J.US,D,20050527,000000,25.474,25.542,25.141,25.217,297691,0
J.US,D,20050531,000000,25.131,25.514,25.131,25.169,501795,0
J.US,D,20050601,000000,25.064,25.37,24.968,25.332,781727,0
J.US,D,20050602,000000,25.256,25.322,25.179,25.217,663489,0
J.US,D,20050603,000000,25.217,25.283,24.777,24.94,869260,0
J.US,D,20050606,000000,24.96,25.256,24.891,25.237,453953,0
J.US,D,20050607,000000,25.217,25.41,25.199,25.264,746216,0
J.US,D,20050608,000000,25.264,25.41,25.113,25.217,524983,0
J.US,D,20050609,000000,25.113,25.631,24.931,25.631,721981,0
J.US,D,20050610,000000,25.667,26.204,25.611,25.896,835627,0
J.US,D,20050613,000000,25.799,25.849,25.572,25.753,384179,0
J.US,D,20050614,000000,25.753,26.175,25.735,26.08,403609,0
J.US,D,20050615,000000,26.051,26.175,25.896,26.088,369555,0
J.US,D,20050616,000000,26.098,26.374,25.915,26.354,258000,0
J.US,D,20050617,000000,26.693,27.4,26.244,26.272,1864909,0
J.US,D,20050620,000000,26.088,26.184,25.905,26.146,447686,0
J.US,D,20050621,000000,26.146,26.146,25.753,26.071,430975,0
J.US,D,20050622,000000,26.071,26.262,25.715,25.981,561540,0
J.US,D,20050623,000000,25.915,26.146,25.762,25.799,612306,0
J.US,D,20050624,000000,25.799,25.981,25.332,25.514,443928,0
