<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JCE.US,D,20070327,000000,6.5033,6.5033,6.5033,6.5033,0,0
JCE.US,D,20070328,000000,6.5033,6.5181,6.5033,6.5033,872288,0
JCE.US,D,20070329,000000,6.5061,6.5147,6.5033,6.5107,56880,0
JCE.US,D,20070330,000000,6.5033,6.5107,6.5033,6.5061,71026,0
JCE.US,D,20070402,000000,6.5107,6.5313,6.5033,6.5033,19985,0
JCE.US,D,20070403,000000,6.5033,6.522,6.5033,6.522,66726,0
JCE.US,D,20070404,000000,6.5147,6.522,6.5061,6.5061,27054,0
JCE.US,D,20070405,000000,6.522,6.522,6.5061,6.5061,20295,0
JCE.US,D,20070409,000000,6.5107,6.5107,6.5033,6.5033,54735,0
JCE.US,D,20070410,000000,6.5033,6.5107,6.5033,6.5107,12608,0
JCE.US,D,20070411,000000,6.5107,6.5107,6.5033,6.5033,33514,0
JCE.US,D,20070412,000000,6.5033,7.0203,6.5033,6.5107,222607,0
JCE.US,D,20070413,000000,6.5061,6.5359,6.5061,6.5061,18754,0
JCE.US,D,20070416,000000,6.522,6.528,6.5033,6.5147,11676,0
JCE.US,D,20070417,000000,6.5061,6.5537,6.5033,6.5537,38437,0
JCE.US,D,20070418,000000,6.522,6.5832,6.5061,6.5253,42121,0
JCE.US,D,20070419,000000,6.54,6.5832,6.528,6.5697,20911,0
JCE.US,D,20070420,000000,6.5832,6.5832,6.5359,6.5664,37206,0
JCE.US,D,20070423,000000,6.5253,6.5664,6.5033,6.522,64256,0
JCE.US,D,20070424,000000,6.5061,6.5566,6.5033,6.5033,97467,0
JCE.US,D,20070425,000000,6.5033,6.5181,6.5033,6.5061,83320,0
JCE.US,D,20070426,000000,6.5015,6.5359,6.3458,6.5033,192777,0
JCE.US,D,20070427,000000,6.5033,6.522,6.5033,6.5033,39358,0
JCE.US,D,20070430,000000,6.5033,6.5181,6.5033,6.5033,55959,0
JCE.US,D,20070501,000000,6.5313,6.5313,6.5033,6.5033,38128,0
JCE.US,D,20070502,000000,6.5061,6.5061,6.5033,6.5033,98692,0
JCE.US,D,20070503,000000,6.5033,6.5061,6.5033,6.5033,33200,0
JCE.US,D,20070504,000000,6.5033,6.5061,6.5033,6.5033,33200,0
JCE.US,D,20070507,000000,6.4895,6.5061,6.3777,6.5033,94085,0
JCE.US,D,20070508,000000,6.5061,6.5061,6.3918,6.5061,328380,0
JCE.US,D,20070509,000000,6.4003,6.4927,6.3685,6.4071,168798,0
JCE.US,D,20070510,000000,6.4561,6.4721,6.2136,6.4071,162344,0
JCE.US,D,20070511,000000,6.3918,6.4469,6.3432,6.4268,69181,0
JCE.US,D,20070514,000000,6.3877,6.4721,6.3618,6.4721,60269,0
JCE.US,D,20070515,000000,6.4561,6.5033,6.3685,6.5033,143896,0
JCE.US,D,20070516,000000,6.4394,6.5033,6.4071,6.5015,98081,0
JCE.US,D,20070517,000000,6.4781,6.4979,6.4228,6.4895,54735,0
JCE.US,D,20070518,000000,6.4656,6.5015,6.4228,6.4895,51040,0
JCE.US,D,20070521,000000,6.4747,6.4817,6.3744,6.4131,63022,0
JCE.US,D,20070522,000000,6.3744,6.3951,6.2958,6.3618,101776,0
JCE.US,D,20070523,000000,6.4211,6.4469,6.3571,6.3816,63022,0
JCE.US,D,20070524,000000,6.3777,6.3777,6.2801,6.2801,109767,0
JCE.US,D,20070525,000000,6.2655,6.3816,6.2655,6.2698,91314,0
JCE.US,D,20070529,000000,6.2579,6.2997,6.1915,6.2499,138672,0
JCE.US,D,20070530,000000,6.2764,6.3019,6.1915,6.3019,126068,0
JCE.US,D,20070531,000000,6.3019,6.4268,6.3019,6.3918,71640,0
