<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JCI.US,D,19871230,000000,1.5719,1.6182,1.5719,1.6182,233391,0
JCI.US,D,19871231,000000,1.6068,1.6068,1.5876,1.6068,225563,0
JCI.US,D,19880104,000000,1.6029,1.6454,1.6029,1.626,280330,0
JCI.US,D,19880105,000000,1.6454,1.6995,1.6454,1.6644,589341,0
JCI.US,D,19880106,000000,1.7108,1.7108,1.6801,1.6995,915960,0
JCI.US,D,19880107,000000,1.6801,1.6995,1.6492,1.6995,205353,0
JCI.US,D,19880108,000000,1.6801,1.6995,1.5644,1.5838,357259,0
JCI.US,D,19880111,000000,1.5876,1.6068,1.5644,1.5876,354644,0
JCI.US,D,19880112,000000,1.5876,1.5876,1.5024,1.5409,665619,0
JCI.US,D,19880113,000000,1.5213,1.5449,1.4831,1.5409,276415,0
JCI.US,D,19880114,000000,1.5213,1.5644,1.5101,1.5603,854033,0
JCI.US,D,19880115,000000,1.6029,1.6182,1.5719,1.5719,1197596,0
JCI.US,D,19880118,000000,1.5838,1.5838,1.5644,1.5719,295973,0
JCI.US,D,19880119,000000,1.5719,1.5719,1.5644,1.5644,498727,0
JCI.US,D,19880120,000000,1.5295,1.5449,1.4831,1.5213,380725,0
JCI.US,D,19880121,000000,1.5409,1.5449,1.5213,1.5449,437446,0
JCI.US,D,19880122,000000,1.5449,1.5603,1.5213,1.5213,298584,0
JCI.US,D,19880125,000000,1.5409,1.5449,1.5295,1.5295,440699,0
JCI.US,D,19880126,000000,1.5295,1.5449,1.5295,1.5295,326612,0
JCI.US,D,19880127,000000,1.5409,1.5449,1.5295,1.5449,690394,0
JCI.US,D,19880128,000000,1.5409,1.6492,1.5409,1.6376,934872,0
JCI.US,D,19880129,000000,1.6454,1.6995,1.6454,1.6686,1605055,0
JCI.US,D,19880201,000000,1.6995,1.7071,1.6644,1.6686,696261,0
JCI.US,D,19880202,000000,1.6644,1.6644,1.6182,1.6454,644108,0
JCI.US,D,19880203,000000,1.6454,1.6644,1.626,1.626,178631,0
JCI.US,D,19880204,000000,1.6454,1.6454,1.5876,1.5876,207313,0
JCI.US,D,19880205,000000,1.5876,1.6068,1.5719,1.5838,879453,0
JCI.US,D,19880208,000000,1.5838,1.5876,1.5409,1.5719,424412,0
JCI.US,D,19880209,000000,1.5644,1.5719,1.5603,1.5719,190361,0
JCI.US,D,19880210,000000,1.5719,1.6182,1.5719,1.6182,545012,0
JCI.US,D,19880211,000000,1.6182,1.6454,1.6182,1.626,899013,0
JCI.US,D,19880212,000000,1.626,1.6454,1.626,1.626,93225,0
JCI.US,D,19880216,000000,1.6376,1.6376,1.5409,1.6376,197531,0
JCI.US,D,19880217,000000,1.6376,1.6995,1.6376,1.6454,542407,0
JCI.US,D,19880218,000000,1.6644,1.6686,1.6454,1.6454,560662,0
JCI.US,D,19880219,000000,1.6454,1.6878,1.6182,1.6878,842946,0
JCI.US,D,19880222,000000,1.6995,1.7845,1.6995,1.7845,1676114,0
JCI.US,D,19880223,000000,1.7613,1.7845,1.7108,1.7302,1481185,0
JCI.US,D,19880224,000000,1.7223,1.7495,1.7223,1.7495,719732,0
JCI.US,D,19880225,000000,1.7418,1.804,1.7302,1.7845,895100,0
JCI.US,D,19880226,000000,1.7302,1.7418,1.7108,1.7223,445919,0
