<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JHPI.US,D,20211216,000000,25.16,25.21,25.1417,25.205,586105,0
JHPI.US,D,20211217,000000,25.17,25.199,25.145,25.145,5529,0
JHPI.US,D,20211220,000000,25.08,25.08,24.9806,25.0651,6631,0
JHPI.US,D,20211221,000000,25.17,25.32,25.17,25.3,21756,0
JHPI.US,D,20211222,000000,25.18,25.2228,25.08,25.2228,23638,0
JHPI.US,D,20211223,000000,25.2697,25.2697,25.2697,25.2697,20,0
JHPI.US,D,20211227,000000,25.24,25.24,25.2,25.2007,6827,0
JHPI.US,D,20211228,000000,25.215,25.215,25.215,25.215,830,0
JHPI.US,D,20211229,000000,25.211,25.255,25.211,25.255,184,0
JHPI.US,D,20211230,000000,25.325,25.35,25.325,25.35,1301,0
JHPI.US,D,20211231,000000,25.355,25.365,25.355,25.36,342,0
JHPI.US,D,20220103,000000,25.365,25.385,25.36,25.385,566,0
JHPI.US,D,20220104,000000,25.3252,25.3252,25.3252,25.3252,72,0
JHPI.US,D,20220105,000000,25.345,25.345,25.2326,25.2326,414,0
JHPI.US,D,20220106,000000,25.2515,25.2515,25.2515,25.2515,16,0
JHPI.US,D,20220107,000000,25.275,25.275,25.275,25.275,48,0
JHPI.US,D,20220110,000000,25.2354,25.2354,25.2354,25.2354,1,0
JHPI.US,D,20220111,000000,25.3102,25.3102,25.3102,25.3102,12,0
JHPI.US,D,20220112,000000,25.35,25.35,25.325,25.35,1266,0
JHPI.US,D,20220113,000000,25.34,25.4,25.34,25.38,300,0
JHPI.US,D,20220114,000000,25.345,25.36,25.345,25.36,978,0
JHPI.US,D,20220118,000000,25.28,25.28,25.25,25.25,206,0
JHPI.US,D,20220119,000000,25.29,25.29,25.2589,25.2589,385,0
JHPI.US,D,20220120,000000,25.32,25.32,25.2346,25.2346,399,0
JHPI.US,D,20220121,000000,25.195,25.195,25.159,25.17,951,0
