<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPS.US,D,20050225,000000,6.6064,6.6228,6.5837,6.6137,487282,0
JPS.US,D,20050228,000000,6.6285,6.6635,6.6137,6.6509,540002,0
JPS.US,D,20050301,000000,6.6593,6.6767,6.6509,6.6553,554438,0
JPS.US,D,20050302,000000,6.6553,6.6593,6.5914,6.6015,576693,0
JPS.US,D,20050303,000000,6.6178,6.6178,6.5327,6.5375,534432,0
JPS.US,D,20050304,000000,6.5115,6.5154,6.4642,6.4884,1176963,0
JPS.US,D,20050307,000000,6.4693,6.5279,6.4592,6.5085,781517,0
JPS.US,D,20050308,000000,6.4925,6.5455,6.4851,6.5375,544002,0
JPS.US,D,20050309,000000,6.4283,6.4642,6.4173,6.4283,1144042,0
JPS.US,D,20050310,000000,6.4089,6.4254,6.3535,6.4089,789528,0
JPS.US,D,20050311,000000,6.385,6.385,6.2715,6.2908,867370,0
JPS.US,D,20050314,000000,6.2618,6.2663,6.1429,6.1829,1168942,0
JPS.US,D,20050315,000000,6.1642,6.1722,6.0952,6.1112,1347316,0
JPS.US,D,20050316,000000,6.1112,6.1112,5.9938,5.9981,1370006,0
JPS.US,D,20050317,000000,6.0294,6.0872,6.0168,6.0829,1054860,0
JPS.US,D,20050318,000000,6.0829,6.0924,6.0068,6.0068,673214,0
JPS.US,D,20050321,000000,5.9981,6.0017,5.9122,5.9222,912077,0
JPS.US,D,20050322,000000,5.8332,5.9624,5.8089,5.8332,1393348,0
JPS.US,D,20050323,000000,5.7857,5.8718,5.6961,5.8545,1361772,0
JPS.US,D,20050324,000000,5.8458,5.9222,5.8458,5.8801,722359,0
JPS.US,D,20050328,000000,5.8668,5.8801,5.7332,5.7775,960114,0
JPS.US,D,20050329,000000,5.8089,5.8332,5.7633,5.7953,706790,0
JPS.US,D,20050330,000000,5.7953,5.9572,5.7953,5.9572,808434,0
JPS.US,D,20050331,000000,5.9624,6.0259,5.9358,6.0211,442587,0
JPS.US,D,20050401,000000,6.0776,6.133,6.0068,6.0294,558904,0
JPS.US,D,20050404,000000,6.0259,6.0446,5.984,6.0068,452811,0
JPS.US,D,20050405,000000,6.0068,6.0259,5.9405,5.9494,401650,0
JPS.US,D,20050406,000000,5.9572,6.0211,5.9405,6.0211,468156,0
JPS.US,D,20050407,000000,6.0118,6.0529,5.9749,5.9938,377638,0
JPS.US,D,20050408,000000,6.0391,6.0529,6.0068,6.0488,394547,0
JPS.US,D,20050411,000000,6.0488,6.0738,5.98,6.0068,378076,0
JPS.US,D,20050412,000000,5.98,6.0446,5.9453,6.0446,480612,0
JPS.US,D,20050413,000000,6.0211,6.0211,5.9222,5.9494,619162,0
JPS.US,D,20050414,000000,5.9494,5.9624,5.8627,5.8898,450143,0
JPS.US,D,20050415,000000,5.8801,5.9276,5.8718,5.9078,431683,0
JPS.US,D,20050418,000000,5.9494,5.9938,5.9122,5.9453,488841,0
JPS.US,D,20050419,000000,5.9572,6.0529,5.9494,6.0391,597594,0
JPS.US,D,20050420,000000,6.0168,6.0294,5.98,5.984,447918,0
JPS.US,D,20050421,000000,5.984,6.0068,5.9453,5.984,415897,0
JPS.US,D,20050422,000000,6.0118,6.0118,5.9405,5.9494,290233,0
JPS.US,D,20050425,000000,5.9405,5.9624,5.9172,5.9358,483059,0
JPS.US,D,20050426,000000,5.953,6.0017,5.9276,5.98,504635,0
JPS.US,D,20050427,000000,5.98,6.0294,5.9572,6.0168,392542,0
JPS.US,D,20050428,000000,6.0294,6.0776,5.9981,6.0738,608055,0
JPS.US,D,20050429,000000,6.1207,6.1429,6.0738,6.1429,447027,0
JPS.US,D,20050502,000000,6.187,6.187,6.1429,6.1642,370749,0
JPS.US,D,20050503,000000,6.2047,6.2047,6.133,6.1722,427895,0
JPS.US,D,20050504,000000,6.1722,6.2194,6.147,6.2047,418341,0
JPS.US,D,20050505,000000,6.2047,6.2323,6.1642,6.187,535105,0
JPS.US,D,20050506,000000,6.1642,6.187,6.1207,6.187,357184,0
JPS.US,D,20050509,000000,6.215,6.215,6.147,6.1603,277115,0
JPS.US,D,20050510,000000,6.1642,6.1916,6.147,6.187,419004,0
JPS.US,D,20050511,000000,6.1774,6.1829,6.1429,6.1603,302022,0
JPS.US,D,20050512,000000,6.147,6.1829,6.1429,6.1676,347178,0
JPS.US,D,20050513,000000,6.1774,6.1774,6.1207,6.151,278896,0
JPS.US,D,20050516,000000,6.1676,6.1676,6.1287,6.151,242639,0
JPS.US,D,20050517,000000,6.151,6.1829,6.1381,6.1722,377638,0
JPS.US,D,20050518,000000,6.1603,6.187,6.1558,6.1722,355844,0
JPS.US,D,20050519,000000,6.187,6.187,6.1603,6.1829,224629,0
JPS.US,D,20050520,000000,6.2194,6.2275,6.187,6.215,402316,0
JPS.US,D,20050523,000000,6.2378,6.2378,6.187,6.2194,425673,0
JPS.US,D,20050524,000000,6.2047,6.281,6.1997,6.2579,441686,0
JPS.US,D,20050525,000000,6.25,6.2865,6.2411,6.2865,472396,0
JPS.US,D,20050526,000000,6.2865,6.3268,6.2759,6.3268,443695,0
JPS.US,D,20050527,000000,6.34,6.3446,6.2865,6.3225,322708,0
JPS.US,D,20050531,000000,6.3446,6.3446,6.3134,6.3268,326709,0
JPS.US,D,20050601,000000,6.3446,6.3703,6.3319,6.349,370749,0
JPS.US,D,20050602,000000,6.3604,6.385,6.34,6.3604,357398,0
JPS.US,D,20050603,000000,6.3807,6.385,6.349,6.3807,566892,0
JPS.US,D,20050606,000000,6.3561,6.3703,6.3319,6.3604,388543,0
JPS.US,D,20050607,000000,6.3561,6.4033,6.3535,6.4033,335161,0
JPS.US,D,20050608,000000,6.4033,6.4089,6.385,6.3986,432354,0
JPS.US,D,20050609,000000,6.4033,6.4089,6.349,6.3807,391649,0
JPS.US,D,20050610,000000,6.3807,6.3807,6.3177,6.3268,349386,0
JPS.US,D,20050613,000000,6.3177,6.3225,6.187,6.2945,368519,0
JPS.US,D,20050614,000000,6.2759,6.3177,6.2555,6.281,354729,0
JPS.US,D,20050615,000000,6.281,6.2908,6.1916,6.2194,566892,0
JPS.US,D,20050616,000000,6.2275,6.2715,6.2047,6.2715,396992,0
JPS.US,D,20050617,000000,6.281,6.3134,6.2555,6.3134,342947,0
JPS.US,D,20050620,000000,6.3225,6.3268,6.2618,6.3225,340053,0
JPS.US,D,20050621,000000,6.34,6.349,6.2945,6.2945,380303,0
JPS.US,D,20050622,000000,6.3042,6.349,6.3042,6.349,412995,0
JPS.US,D,20050623,000000,6.349,6.3561,6.3177,6.3446,288009,0
JPS.US,D,20050624,000000,6.349,6.3646,6.3177,6.3646,459922,0
JPS.US,D,20050627,000000,6.3751,6.3807,6.2908,6.2945,349173,0
JPS.US,D,20050628,000000,6.34,6.3646,6.2663,6.2945,477712,0
JPS.US,D,20050629,000000,6.2945,6.3604,6.2945,6.3535,359403,0
JPS.US,D,20050630,000000,6.3646,6.3928,6.3268,6.385,435237,0
JPS.US,D,20050701,000000,6.4089,6.4124,6.3807,6.4089,371407,0
JPS.US,D,20050705,000000,6.4089,6.4254,6.385,6.4124,318256,0
JPS.US,D,20050706,000000,6.4212,6.4442,6.4124,6.4393,432574,0
JPS.US,D,20050707,000000,6.4173,6.4393,6.4124,6.4393,272221,0
JPS.US,D,20050708,000000,6.4393,6.4442,6.4124,6.4442,341169,0
JPS.US,D,20050711,000000,6.4442,6.4484,6.4124,6.4393,395437,0
JPS.US,D,20050712,000000,6.4393,6.4564,6.4342,6.4442,472614,0
JPS.US,D,20050713,000000,6.4124,6.4283,6.3885,6.4173,435902,0
JPS.US,D,20050714,000000,6.4033,6.4283,6.4033,6.4033,354282,0
JPS.US,D,20050715,000000,6.4089,6.4173,6.385,6.4089,352725,0
JPS.US,D,20050718,000000,6.385,6.4212,6.3646,6.3928,289564,0
JPS.US,D,20050719,000000,6.3885,6.4124,6.3646,6.3703,376738,0
JPS.US,D,20050720,000000,6.3703,6.385,6.3177,6.349,396992,0
JPS.US,D,20050721,000000,6.3604,6.3604,6.281,6.3177,404327,0
JPS.US,D,20050722,000000,6.2945,6.34,6.281,6.3319,397657,0
JPS.US,D,20050725,000000,6.3319,6.3646,6.3177,6.34,341169,0
JPS.US,D,20050726,000000,6.3703,6.3751,6.3446,6.3646,368955,0
JPS.US,D,20050727,000000,6.3928,6.4124,6.349,6.4089,418561,0
JPS.US,D,20050728,000000,6.3986,6.4283,6.3928,6.4254,320266,0
JPS.US,D,20050729,000000,6.4212,6.4484,6.4173,6.4484,409210,0
JPS.US,D,20050801,000000,6.4564,6.4564,6.4124,6.4283,367183,0
JPS.US,D,20050802,000000,6.4283,6.4393,6.4089,6.4342,408544,0
JPS.US,D,20050803,000000,6.4342,6.4393,6.4124,6.4254,379190,0
JPS.US,D,20050804,000000,6.4089,6.4254,6.3885,6.3986,382307,0
JPS.US,D,20050805,000000,6.3928,6.3928,6.3225,6.34,432123,0
JPS.US,D,20050808,000000,6.3177,6.3225,6.187,6.2097,690335,0
JPS.US,D,20050809,000000,6.2227,6.2411,6.187,6.2411,403443,0
JPS.US,D,20050810,000000,6.25,6.2945,6.2459,6.281,374753,0
JPS.US,D,20050811,000000,6.2555,6.2618,6.2194,6.2618,388084,0
JPS.US,D,20050812,000000,6.2618,6.2663,6.2275,6.25,363630,0
JPS.US,D,20050815,000000,6.2618,6.2663,6.2047,6.2378,294016,0
JPS.US,D,20050816,000000,6.2275,6.2459,6.2227,6.2378,303802,0
JPS.US,D,20050817,000000,6.2459,6.2459,6.2097,6.2411,450595,0
JPS.US,D,20050818,000000,6.2323,6.2459,6.215,6.2275,341611,0
JPS.US,D,20050819,000000,6.2411,6.25,6.215,6.2275,286005,0
JPS.US,D,20050822,000000,6.215,6.2378,6.2097,6.2378,363630,0
JPS.US,D,20050823,000000,6.2378,6.2459,6.2227,6.2378,387647,0
JPS.US,D,20050824,000000,6.2618,6.2618,6.2323,6.2555,364739,0
JPS.US,D,20050825,000000,6.2618,6.2618,6.2047,6.2097,529091,0
JPS.US,D,20050826,000000,6.215,6.2378,6.1951,6.2378,359629,0
JPS.US,D,20050829,000000,6.2378,6.2459,6.2097,6.2411,277115,0
JPS.US,D,20050830,000000,6.2459,6.2759,6.2323,6.2459,444577,0
JPS.US,D,20050831,000000,6.2715,6.3088,6.25,6.3088,310471,0
JPS.US,D,20050901,000000,6.3319,6.3319,6.2908,6.2998,356734,0
JPS.US,D,20050902,000000,6.3268,6.3268,6.2908,6.3088,321593,0
JPS.US,D,20050906,000000,6.2715,6.2998,6.2715,6.281,389205,0
JPS.US,D,20050907,000000,6.281,6.2908,6.2555,6.281,352725,0
JPS.US,D,20050908,000000,6.2759,6.2865,6.2555,6.2759,358296,0
JPS.US,D,20050909,000000,6.2759,6.2908,6.2579,6.2715,372744,0
JPS.US,D,20050912,000000,6.2715,6.2715,6.25,6.2579,316700,0
JPS.US,D,20050913,000000,6.2323,6.2378,6.1951,6.2097,451478,0
JPS.US,D,20050914,000000,6.215,6.2227,6.1676,6.1774,440353,0
JPS.US,D,20050915,000000,6.1676,6.1722,6.1009,6.1163,542676,0
JPS.US,D,20050916,000000,6.1163,6.151,6.0776,6.1009,612495,0
JPS.US,D,20050919,000000,6.0776,6.1207,6.0655,6.0952,731036,0
JPS.US,D,20050920,000000,6.0924,6.1063,6.0529,6.0529,575809,0
JPS.US,D,20050921,000000,6.0391,6.1009,6.0211,6.0924,594710,0
JPS.US,D,20050922,000000,6.0924,6.1009,6.0391,6.0568,474385,0
JPS.US,D,20050923,000000,6.0612,6.0612,6.0259,6.0568,397657,0
JPS.US,D,20050926,000000,6.0529,6.1163,6.0446,6.0696,522429,0
JPS.US,D,20050927,000000,6.0696,6.0738,5.9661,6.0488,629174,0
JPS.US,D,20050928,000000,6.034,6.0529,5.9453,5.9697,1062411,0
JPS.US,D,20050929,000000,5.9624,6.0017,5.9405,5.9981,513748,0
JPS.US,D,20050930,000000,5.9981,6.0168,5.9749,6.0168,374302,0
JPS.US,D,20051003,000000,6.1112,6.1112,6.0118,6.0294,411450,0
JPS.US,D,20051004,000000,6.0168,6.0391,5.984,6.0211,448130,0
JPS.US,D,20051005,000000,6.0118,6.0259,5.9624,5.9697,369410,0
JPS.US,D,20051006,000000,5.9749,6.0168,5.953,5.9697,375193,0
JPS.US,D,20051007,000000,5.9661,6.0068,5.9624,6.0017,305135,0
JPS.US,D,20051010,000000,6.0118,6.1063,5.9453,5.9453,400326,0
JPS.US,D,20051011,000000,5.9494,5.9981,5.8801,5.9122,471714,0
JPS.US,D,20051012,000000,5.8332,5.8898,5.8184,5.8578,487065,0
JPS.US,D,20051013,000000,5.8184,5.8364,5.743,5.7516,681662,0
JPS.US,D,20051014,000000,5.7775,5.8089,5.7516,5.7564,558678,0
JPS.US,D,20051017,000000,5.7602,5.8545,5.7564,5.7726,698795,0
JPS.US,D,20051018,000000,5.7685,5.8139,5.7003,5.7195,497289,0
JPS.US,D,20051019,000000,5.7096,5.7817,5.7056,5.7383,492399,0
JPS.US,D,20051020,000000,5.743,5.7726,5.6391,5.6876,492180,0
JPS.US,D,20051021,000000,5.7003,5.7383,5.6701,5.7383,462154,0
JPS.US,D,20051024,000000,5.7602,5.7993,5.7236,5.7903,572691,0
JPS.US,D,20051025,000000,5.7857,5.7993,5.7293,5.7817,478605,0
JPS.US,D,20051026,000000,5.7857,5.8332,5.7293,5.7633,489952,0
JPS.US,D,20051027,000000,5.7817,5.8458,5.7195,5.7857,450143,0
JPS.US,D,20051028,000000,5.7857,5.8089,5.7775,5.7953,396098,0
JPS.US,D,20051031,000000,5.8545,5.8898,5.8232,5.8718,487506,0
JPS.US,D,20051101,000000,5.8994,5.9037,5.7903,5.8414,445695,0
JPS.US,D,20051102,000000,5.7953,5.8848,5.7953,5.8668,511084,0
JPS.US,D,20051103,000000,5.7953,5.8364,5.7953,5.8089,489731,0
JPS.US,D,20051104,000000,5.8089,5.8332,5.7817,5.8089,390097,0
JPS.US,D,20051107,000000,5.7953,5.8046,5.7726,5.7726,453247,0
JPS.US,D,20051108,000000,5.7726,5.7953,5.7474,5.7685,640744,0
JPS.US,D,20051109,000000,5.7857,5.7993,5.7633,5.7857,680998,0
