<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JRO.US,D,20050225,000000,6.5812,6.6324,6.5721,6.5812,165021,0
JRO.US,D,20050228,000000,6.5721,6.6248,6.5594,6.6248,154375,0
JRO.US,D,20050301,000000,6.6248,6.6583,6.6184,6.6248,245268,0
JRO.US,D,20050302,000000,6.6536,6.6583,6.6287,6.6583,154596,0
JRO.US,D,20050303,000000,6.6625,6.6975,6.6468,6.6625,252435,0
JRO.US,D,20050304,000000,6.6625,6.7071,6.642,6.6975,203090,0
JRO.US,D,20050307,000000,6.7018,6.7164,6.6818,6.712,133935,0
JRO.US,D,20050308,000000,6.72,6.7299,6.6975,6.6975,114146,0
JRO.US,D,20050309,000000,6.712,6.7252,6.6686,6.6872,179820,0
JRO.US,D,20050310,000000,6.7018,6.72,6.6818,6.7018,187197,0
JRO.US,D,20050311,000000,6.6686,6.6818,6.6248,6.6287,163720,0
JRO.US,D,20050314,000000,6.6491,6.6536,6.6096,6.6184,196119,0
JRO.US,D,20050315,000000,6.6366,6.642,6.5858,6.5858,211783,0
JRO.US,D,20050316,000000,6.6145,6.6248,6.5858,6.606,150667,0
JRO.US,D,20050317,000000,6.6096,6.6468,6.5812,6.6184,189603,0
JRO.US,D,20050318,000000,6.6287,6.6366,6.508,6.5452,240687,0
JRO.US,D,20050321,000000,6.5394,6.5594,6.4852,6.5137,256788,0
JRO.US,D,20050322,000000,6.4852,6.504,6.4568,6.495,237212,0
JRO.US,D,20050323,000000,6.4568,6.4852,6.4118,6.4155,222866,0
JRO.US,D,20050324,000000,6.4155,6.4522,6.3895,6.4256,249835,0
JRO.US,D,20050328,000000,6.4074,6.4568,6.2139,6.27,449855,0
JRO.US,D,20050329,000000,6.3147,6.4256,6.2792,6.4256,242216,0
JRO.US,D,20050330,000000,6.4335,6.5277,6.4335,6.5137,222427,0
JRO.US,D,20050331,000000,6.5277,6.5905,6.5218,6.5486,222004,0
JRO.US,D,20050401,000000,6.5764,6.5764,6.5179,6.5311,144600,0
JRO.US,D,20050404,000000,6.5624,6.5764,6.5311,6.5311,128495,0
JRO.US,D,20050405,000000,6.5542,6.5672,6.508,6.5394,80014,0
JRO.US,D,20050406,000000,6.5452,6.5672,6.5218,6.5486,100879,0
JRO.US,D,20050407,000000,6.5311,6.5542,6.495,6.5179,151973,0
JRO.US,D,20050408,000000,6.495,6.5344,6.3941,6.4074,159590,0
JRO.US,D,20050411,000000,6.4028,6.4381,6.3327,6.3839,162638,0
JRO.US,D,20050412,000000,6.3941,6.444,6.3643,6.4381,91976,0
JRO.US,D,20050413,000000,6.4155,6.4335,6.3698,6.3895,138500,0
JRO.US,D,20050414,000000,6.3895,6.3984,6.2792,6.3011,303970,0
JRO.US,D,20050415,000000,6.3011,6.3599,6.2172,6.2738,174594,0
JRO.US,D,20050418,000000,6.2314,6.3413,6.1633,6.2491,241782,0
JRO.US,D,20050419,000000,6.27,6.3517,6.2545,6.2886,105455,0
JRO.US,D,20050420,000000,6.3011,6.3748,6.3011,6.3236,100879,0
JRO.US,D,20050421,000000,6.3698,6.3748,6.2642,6.2886,129808,0
JRO.US,D,20050422,000000,6.27,6.3097,6.1633,6.195,128937,0
JRO.US,D,20050425,000000,6.2398,6.2835,6.1857,6.2225,162638,0
JRO.US,D,20050426,000000,6.27,6.2886,6.1778,6.2095,193952,0
JRO.US,D,20050427,000000,6.2365,6.3413,6.2314,6.337,145237,0
JRO.US,D,20050428,000000,6.3561,6.4028,6.3327,6.3984,151331,0
JRO.US,D,20050429,000000,6.3517,6.4335,6.3517,6.3941,79797,0
JRO.US,D,20050502,000000,6.4256,6.4381,6.3748,6.3839,66754,0
JRO.US,D,20050503,000000,6.3895,6.4155,6.2491,6.2792,123068,0
JRO.US,D,20050504,000000,6.2933,6.3413,6.2314,6.3097,151762,0
JRO.US,D,20050505,000000,6.3011,6.3051,6.2314,6.2835,130242,0
JRO.US,D,20050506,000000,6.2933,6.3147,6.2314,6.2964,190246,0
JRO.US,D,20050509,000000,6.3011,6.3236,6.2792,6.2933,109805,0
JRO.US,D,20050510,000000,6.3147,6.3413,6.2738,6.3327,153505,0
JRO.US,D,20050511,000000,6.2491,6.2933,6.2398,6.2792,124147,0
JRO.US,D,20050512,000000,6.2933,6.2933,6.2545,6.2642,97193,0
JRO.US,D,20050513,000000,6.2886,6.2886,6.1857,6.1994,117841,0
JRO.US,D,20050516,000000,6.2314,6.2314,6.1726,6.195,166121,0
JRO.US,D,20050517,000000,6.2095,6.2365,6.0894,6.1178,235695,0
JRO.US,D,20050518,000000,6.0986,6.1682,6.0757,6.0856,178731,0
JRO.US,D,20050519,000000,6.0894,6.0986,5.9931,6.0706,251782,0
JRO.US,D,20050520,000000,6.0807,6.159,6.0388,6.0757,189822,0
JRO.US,D,20050523,000000,6.0807,6.0948,5.9842,6.0616,291563,0
JRO.US,D,20050524,000000,6.0856,6.1178,5.869,5.9703,673808,0
JRO.US,D,20050525,000000,5.9418,6.0151,5.9381,5.9381,392027,0
JRO.US,D,20050526,000000,5.9842,6.02,5.9703,6.007,349191,0
JRO.US,D,20050527,000000,6.0114,6.0616,5.9931,6.0388,230686,0
JRO.US,D,20050531,000000,6.0571,6.0894,6.0388,6.0616,172853,0
JRO.US,D,20050601,000000,6.0706,6.103,6.0571,6.066,196333,0
JRO.US,D,20050602,000000,6.0571,6.0948,6.0441,6.0948,228954,0
