<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JSD.US,D,20110531,000000,9.0713,9.0837,9.0264,9.0837,316581,0
JSD.US,D,20110601,000000,9.0761,9.0761,9.053,9.0761,75519,0
JSD.US,D,20110602,000000,9.0761,9.0924,9.0292,9.0683,71181,0
JSD.US,D,20110603,000000,9.0683,9.0837,9.0587,9.0761,108742,0
JSD.US,D,20110606,000000,9.0761,9.0989,9.053,9.0761,66767,0
JSD.US,D,20110607,000000,9.0742,9.0779,9.0512,9.0742,43085,0
JSD.US,D,20110608,000000,9.0742,9.0961,9.0434,9.0961,141377,0
JSD.US,D,20110609,000000,9.0779,9.0779,9.0624,9.0779,32141,0
JSD.US,D,20110610,000000,9.0761,9.0885,9.0761,9.0761,99213,0
JSD.US,D,20110613,000000,9.0292,9.0779,8.9616,9.0779,30299,0
JSD.US,D,20110614,000000,9.0779,9.0837,9.0587,9.0761,36793,0
JSD.US,D,20110615,000000,9.0761,9.0779,9.0587,9.0761,51164,0
JSD.US,D,20110616,000000,9.0798,9.1997,9.0769,9.0941,74101,0
JSD.US,D,20110617,000000,9.0761,9.1161,9.0071,9.1161,33494,0
JSD.US,D,20110620,000000,9.0837,9.0837,9.0463,9.0837,10700,0
JSD.US,D,20110621,000000,9.0761,9.0885,9.0587,9.0761,29416,0
JSD.US,D,20110622,000000,9.0761,9.1378,9.0761,9.1378,44109,0
JSD.US,D,20110623,000000,9.1191,9.1191,9.0837,9.1191,11498,0
JSD.US,D,20110624,000000,9.0817,9.0817,9.0434,9.0742,18944,0
JSD.US,D,20110627,000000,9.0653,9.0837,8.6879,9.0761,133033,0
JSD.US,D,20110628,000000,9.0885,9.0885,9.0024,9.0761,48364,0
JSD.US,D,20110629,000000,9.0989,9.1319,9.0761,9.0761,59533,0
JSD.US,D,20110630,000000,9.0779,9.0807,9.0779,9.0779,74039,0
JSD.US,D,20110701,000000,9.0559,9.1271,9.0559,9.1271,45397,0
JSD.US,D,20110705,000000,9.1047,9.1271,9.0769,9.0769,24400,0
JSD.US,D,20110706,000000,8.8524,8.8981,8.6688,8.6906,751926,0
JSD.US,D,20110707,000000,8.7152,8.9169,8.7152,8.871,238024,0
JSD.US,D,20110708,000000,8.9169,9.053,8.8943,9.0492,200108,0
JSD.US,D,20110711,000000,8.9855,9.0473,8.9204,8.9713,81725,0
JSD.US,D,20110712,000000,8.9616,8.9825,8.912,8.912,74632,0
JSD.US,D,20110713,000000,8.901,8.9475,8.7778,8.8524,111894,0
JSD.US,D,20110714,000000,8.831,8.901,8.8092,8.8832,41619,0
JSD.US,D,20110715,000000,8.8832,8.8832,8.7871,8.8188,27105,0
JSD.US,D,20110718,000000,8.7871,8.7871,8.6879,8.7407,39979,0
JSD.US,D,20110719,000000,8.7389,8.7992,8.6171,8.6269,88138,0
JSD.US,D,20110720,000000,8.6578,8.7591,8.6308,8.7152,80966,0
JSD.US,D,20110721,000000,8.748,8.8428,8.706,8.7464,59474,0
JSD.US,D,20110722,000000,8.7843,8.8009,8.6759,8.7024,46807,0
JSD.US,D,20110725,000000,8.6759,8.7024,8.6252,8.6533,77752,0
JSD.US,D,20110726,000000,8.6499,8.6732,8.5238,8.5598,126367,0
JSD.US,D,20110727,000000,8.5193,8.5193,8.3128,8.3458,166667,0
JSD.US,D,20110728,000000,8.3432,8.4336,8.2985,8.3572,60704,0
JSD.US,D,20110729,000000,8.2954,8.4469,8.2457,8.3825,75105,0
JSD.US,D,20110801,000000,8.4302,8.4683,8.3816,8.4505,44135,0
JSD.US,D,20110802,000000,8.3527,8.5308,8.3527,8.4788,62030,0
JSD.US,D,20110803,000000,8.4727,8.528,8.3913,8.522,28197,0
JSD.US,D,20110804,000000,8.4779,8.4779,8.2631,8.2631,95910,0
JSD.US,D,20110805,000000,8.2711,8.3518,8.0341,8.2337,140979,0
JSD.US,D,20110808,000000,8.0146,8.0146,7.3503,7.4561,206974,0
JSD.US,D,20110809,000000,7.4278,7.7253,7.2074,7.5338,251482,0
JSD.US,D,20110810,000000,7.5763,8.277,7.4186,7.5506,469214,0
JSD.US,D,20110811,000000,7.7223,7.8606,7.5861,7.7344,374519,0
JSD.US,D,20110812,000000,7.7223,7.9917,7.7223,7.9709,44170,0
JSD.US,D,20110815,000000,7.9976,7.9976,7.9174,7.9396,133498,0
JSD.US,D,20110816,000000,7.9448,8.0096,7.881,7.9663,49768,0
JSD.US,D,20110817,000000,7.9663,8.1141,7.9663,8.0701,74409,0
