<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JXN.US,D,20210921,000000,25.9,27.01,25.6,26.53,9939058,0
JXN.US,D,20210922,000000,26.8,26.95,26.03,26.37,8743085,0
JXN.US,D,20210923,000000,26.22,26.9,25.48,26.65,5527089,0
JXN.US,D,20210924,000000,26.66,28.31,26.54,27.9,4745356,0
JXN.US,D,20210927,000000,27.95,28.38,27.23,27.46,3571918,0
JXN.US,D,20210928,000000,27,27.18,26.37,26.77,4744169,0
JXN.US,D,20210929,000000,26.78,26.915,25.95,26.75,4555160,0
JXN.US,D,20210930,000000,26.52,26.57,25.9,26,2552239,0
JXN.US,D,20211001,000000,26,26.12,25.57,26.03,2021715,0
JXN.US,D,20211004,000000,25.77,26.44,25.5,26.41,1673772,0
JXN.US,D,20211005,000000,26.24,26.78,25.88,26.38,2268399,0
JXN.US,D,20211006,000000,25.74,27.15,25.74,27.05,2540478,0
JXN.US,D,20211007,000000,26.99,27.94,26.8,27.53,2645118,0
JXN.US,D,20211008,000000,27.4,28.04,27.29,27.75,2069567,0
JXN.US,D,20211011,000000,27.55,28.57,27.55,28.23,943301,0
JXN.US,D,20211012,000000,28.2,28.5,27.9,28.28,1320595,0
JXN.US,D,20211013,000000,28.2,28.52,27.75,28.37,859334,0
JXN.US,D,20211014,000000,28.38,29.06,28.21,28.85,1476528,0
JXN.US,D,20211015,000000,28.78,29.035,28.1,28.11,1073379,0
JXN.US,D,20211018,000000,27.57,28.13,27.12,27.99,937649,0
JXN.US,D,20211019,000000,28,28.58,27.79,28.52,550200,0
JXN.US,D,20211020,000000,28.41,29.035,28.16,28.9,1255743,0
JXN.US,D,20211021,000000,28.9,28.98,28.4759,28.79,666060,0
JXN.US,D,20211022,000000,28.64,29.02,28.41,28.87,668914,0
JXN.US,D,20211025,000000,28.95,28.9978,28.42,28.75,670503,0
JXN.US,D,20211026,000000,28.59,29.02,28.45,28.9,2383059,0
JXN.US,D,20211027,000000,28.83,28.83,27.925,28.12,1308196,0
JXN.US,D,20211028,000000,27.98,28.37,27.88,27.98,693060,0
JXN.US,D,20211029,000000,27.95,28.02,26.84,27.07,1709598,0
JXN.US,D,20211101,000000,27.09,27.48,26.94,27.33,1137207,0
JXN.US,D,20211102,000000,27.36,27.94,27.2,27.43,961759,0
JXN.US,D,20211103,000000,27.44,28.21,27.2427,27.96,914779,0
JXN.US,D,20211104,000000,27.95,28,26.95,27.38,1055436,0
JXN.US,D,20211105,000000,27.36,27.83,27.29,27.4,651967,0
JXN.US,D,20211108,000000,27.45,28.12,27.43,27.83,751385,0
JXN.US,D,20211109,000000,27.95,28.02,27.18,27.41,1162617,0
JXN.US,D,20211110,000000,29,31.7912,28.28,30.42,5090631,0
JXN.US,D,20211111,000000,30.23,32.93,30.04,32.88,2227785,0
JXN.US,D,20211112,000000,32.47,33.59,32.27,33.11,1447074,0
JXN.US,D,20211115,000000,33.07,34.23,33.06,33.98,1450131,0
JXN.US,D,20211116,000000,33.85,35.12,33.58,34.81,1643328,0
JXN.US,D,20211117,000000,34.58,36.74,34.58,36.36,1847348,0
JXN.US,D,20211118,000000,35.77,36.15,34.63,34.66,1389985,0
JXN.US,D,20211119,000000,34.7,34.86,33.83,33.97,1367080,0
JXN.US,D,20211122,000000,33.72,34.55,33.5,33.95,1260394,0
JXN.US,D,20211123,000000,33.67,35.3,33.5,33.64,1231253,0
JXN.US,D,20211124,000000,33.33,34.275,33.13,34.17,605620,0
JXN.US,D,20211126,000000,33.26,33.26,31.94,32.87,1013789,0
JXN.US,D,20211129,000000,33.13,33.765,32.42,33.15,1103266,0
JXN.US,D,20211130,000000,33.01,33.31,31.66,31.66,1378539,0
JXN.US,D,20211201,000000,32.11,33.82,32.02,32.89,1616056,0
JXN.US,D,20211202,000000,32.9,34.07,32.03,34.03,1647355,0
JXN.US,D,20211203,000000,34,34.4,33.385,34.15,1899439,0
JXN.US,D,20211206,000000,34.53,39.57,34.19,38.82,5104531,0
JXN.US,D,20211207,000000,37.65,38.68,36.91,37.5,2831216,0
JXN.US,D,20211208,000000,37.53,38.47,36.81,37.99,2156557,0
JXN.US,D,20211209,000000,37.85,39.23,37.58,37.85,1496819,0
JXN.US,D,20211210,000000,38.49,39,37.62,38.96,1867412,0
JXN.US,D,20211213,000000,39.35,39.47,36.9,36.91,1462247,0
JXN.US,D,20211214,000000,37,38.82,36.82,38.09,1832414,0
JXN.US,D,20211215,000000,38.16,39.55,37.95,39,3454391,0
JXN.US,D,20211216,000000,39.71,40.3799,37.88,38.26,3278864,0
JXN.US,D,20211217,000000,37.78,38.73,36.905,37.78,10751379,0
JXN.US,D,20211220,000000,37.5,37.76,36.235,37.1,3803402,0
JXN.US,D,20211221,000000,37.28,41.1,37.28,40.88,4279423,0
JXN.US,D,20211222,000000,40.83,41.745,40.13,40.22,724177,0
JXN.US,D,20211223,000000,40.07,41.3,39.82,39.85,562087,0
JXN.US,D,20211227,000000,39.88,40.77,39.81,40.5,608083,0
JXN.US,D,20211228,000000,40.62,42.17,40.62,41.67,1553067,0
JXN.US,D,20211229,000000,41.85,42.2999,41.34,41.46,542255,0
JXN.US,D,20211230,000000,41.51,42.25,41.5,41.71,848994,0
JXN.US,D,20211231,000000,41.75,42.405,41.72,41.83,578944,0
JXN.US,D,20220103,000000,42.25,43.0899,42.2,42.32,674927,0
JXN.US,D,20220104,000000,42.78,45.35,42.78,45.11,1861922,0
JXN.US,D,20220105,000000,45.47,45.71,43.34,43.54,952180,0
JXN.US,D,20220106,000000,44.06,45.28,44.06,44.6,991556,0
JXN.US,D,20220107,000000,44.7,45.8,44.1,45.77,1201078,0
JXN.US,D,20220110,000000,45.79,46.64,44.605,46.6,805525,0
JXN.US,D,20220111,000000,46.83,47.76,45.34,45.67,1208341,0
JXN.US,D,20220112,000000,45.8,46.23,43.6,44.37,1300356,0
JXN.US,D,20220113,000000,44.62,45.02,43.475,43.76,994688,0
JXN.US,D,20220114,000000,43.3,44.14,42.58,44.04,1148195,0
JXN.US,D,20220118,000000,43.95,43.95,41.7,42.65,1089552,0
JXN.US,D,20220119,000000,43.04,43.18,42.1,42.43,619979,0
JXN.US,D,20220120,000000,42.5,43.85,41.86,41.99,698839,0
JXN.US,D,20220121,000000,40.62,41.61,39.36,39.59,1039967,0
