<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KAI.US,D,20050225,000000,18.088,18.485,18.088,18.361,42558,0
KAI.US,D,20050228,000000,18.269,18.269,17.976,18.045,37336,0
KAI.US,D,20050301,000000,18.152,18.7,17.623,17.641,54114,0
KAI.US,D,20050302,000000,17.818,17.818,17.192,17.47,44779,0
KAI.US,D,20050303,000000,17.641,17.912,17.55,17.912,30666,0
KAI.US,D,20050304,000000,18.02,18.278,18.002,18.179,39777,0
KAI.US,D,20050307,000000,18.045,18.045,17.818,17.874,24779,0
KAI.US,D,20050308,000000,17.864,17.864,17.45,17.641,25555,0
KAI.US,D,20050309,000000,17.641,17.736,17.595,17.713,29890,0
KAI.US,D,20050310,000000,17.713,17.713,17.237,17.393,27331,0
KAI.US,D,20050311,000000,17.368,17.368,17.145,17.289,51111,0
KAI.US,D,20050314,000000,17.211,17.595,17.211,17.34,10111,0
KAI.US,D,20050315,000000,17.237,17.441,17.228,17.263,13334,0
KAI.US,D,20050316,000000,17.228,17.272,17.062,17.109,33888,0
KAI.US,D,20050317,000000,17.237,17.237,17.102,17.128,17777,0
KAI.US,D,20050318,000000,17.349,17.349,16.722,17.211,63776,0
KAI.US,D,20050321,000000,17.219,17.228,16.874,16.954,23447,0
KAI.US,D,20050322,000000,17.102,17.413,16.992,17.001,15443,0
KAI.US,D,20050323,000000,16.882,16.992,16.713,16.74,14777,0
KAI.US,D,20050324,000000,16.83,16.945,16.562,16.562,18114,0
KAI.US,D,20050328,000000,16.651,16.731,16.335,16.353,54220,0
KAI.US,D,20050329,000000,16.487,16.651,16.344,16.396,35557,0
KAI.US,D,20050330,000000,16.396,16.748,16.396,16.651,32337,0
KAI.US,D,20050331,000000,16.74,16.74,16.433,16.695,29444,0
KAI.US,D,20050401,000000,16.74,16.784,16.378,16.471,58780,0
KAI.US,D,20050404,000000,16.433,16.91,16.433,16.864,52114,0
KAI.US,D,20050405,000000,16.651,16.882,16.651,16.748,25222,0
KAI.US,D,20050406,000000,16.874,17.255,16.874,17.255,31003,0
KAI.US,D,20050407,000000,17.432,18.361,17.192,17.788,34111,0
KAI.US,D,20050408,000000,18.02,18.766,18.02,18.233,106225,0
KAI.US,D,20050411,000000,18.233,18.251,17.894,17.967,107113,0
KAI.US,D,20050412,000000,17.686,17.984,17.641,17.736,80336,0
KAI.US,D,20050413,000000,17.745,17.912,17.413,17.45,30333,0
KAI.US,D,20050414,000000,17.34,17.497,16.855,16.929,43445,0
KAI.US,D,20050415,000000,17.01,17.102,16.471,16.471,38115,0
KAI.US,D,20050418,000000,16.113,16.533,16.113,16.306,30666,0
KAI.US,D,20050419,000000,16.306,16.316,15.91,16.225,38556,0
KAI.US,D,20050420,000000,16.202,16.202,15.707,15.805,64448,0
KAI.US,D,20050421,000000,15.971,16.113,15.884,16.037,55337,0
KAI.US,D,20050422,000000,16.158,16.158,15.831,16.017,56667,0
KAI.US,D,20050425,000000,15.971,16.165,15.856,16.076,35225,0
KAI.US,D,20050426,000000,16.202,16.243,15.752,15.822,23003,0
KAI.US,D,20050427,000000,15.795,15.91,15.707,15.839,21110,0
KAI.US,D,20050428,000000,16.066,16.562,15.633,15.642,41332,0
KAI.US,D,20050429,000000,15.616,15.616,15.319,15.479,36112,0
KAI.US,D,20050502,000000,15.479,16.37,15.479,16.287,46448,0
KAI.US,D,20050503,000000,16.287,16.287,15.971,16.076,45891,0
KAI.US,D,20050504,000000,16.202,16.378,15.971,16.306,35225,0
KAI.US,D,20050505,000000,16.261,16.287,15.971,16.243,35446,0
KAI.US,D,20050506,000000,16.335,16.378,16.225,16.353,25555,0
KAI.US,D,20050509,000000,16.378,17.211,16.344,17.01,70557,0
KAI.US,D,20050510,000000,16.919,17.183,16.83,17.119,42671,0
KAI.US,D,20050511,000000,17.192,17.192,16.82,17.163,24666,0
KAI.US,D,20050512,000000,17.314,17.686,17.01,17.192,65227,0
KAI.US,D,20050513,000000,17.413,17.763,17.289,17.289,51781,0
KAI.US,D,20050516,000000,17.145,18.002,17.145,18.002,54003,0
KAI.US,D,20050517,000000,17.864,18.495,17.864,18.314,37998,0
KAI.US,D,20050518,000000,18.449,18.917,18.413,18.917,65449,0
KAI.US,D,20050519,000000,18.898,19.212,18.774,18.99,58553,0
KAI.US,D,20050520,000000,18.99,18.99,18.719,18.757,9336,0
KAI.US,D,20050523,000000,18.757,19.035,18.683,18.881,42331,0
KAI.US,D,20050524,000000,18.7,18.747,18.269,18.404,32337,0
KAI.US,D,20050525,000000,18.223,18.404,17.958,18.251,76782,0
KAI.US,D,20050526,000000,18.223,18.314,18.105,18.134,40671,0
KAI.US,D,20050527,000000,18.16,18.169,18.045,18.16,15889,0
KAI.US,D,20050531,000000,18.029,18.495,17.993,18.449,48002,0
KAI.US,D,20050601,000000,18.333,18.855,18.314,18.747,21333,0
KAI.US,D,20050602,000000,18.757,19.212,18.674,19.133,32892,0
KAI.US,D,20050603,000000,19.212,19.349,18.99,19.098,51781,0
KAI.US,D,20050606,000000,18.898,19.159,18.829,18.998,43560,0
KAI.US,D,20050607,000000,19.203,19.763,19.203,19.294,26447,0
KAI.US,D,20050608,000000,19.294,19.304,18.324,18.674,37446,0
KAI.US,D,20050609,000000,18.629,18.99,18.223,18.898,18224,0
KAI.US,D,20050610,000000,19.125,19.221,18.898,19.125,15443,0
KAI.US,D,20050613,000000,18.99,19.185,18.907,19.072,19999,0
KAI.US,D,20050614,000000,18.982,19.285,18.907,19.285,18778,0
KAI.US,D,20050615,000000,19.285,19.574,19.08,19.574,28001,0
KAI.US,D,20050616,000000,19.547,20.015,19.547,20.015,35557,0
KAI.US,D,20050617,000000,20.015,20.385,20.015,20.194,55669,0
KAI.US,D,20050620,000000,20.204,20.239,19.737,19.745,29558,0
KAI.US,D,20050621,000000,19.701,19.701,19.368,19.476,20443,0
KAI.US,D,20050622,000000,19.612,19.693,19.152,19.441,31113,0
KAI.US,D,20050623,000000,19.45,19.45,19.09,19.106,16556,0
KAI.US,D,20050624,000000,19.035,19.304,18.691,19.304,73447,0
KAI.US,D,20050627,000000,19.349,19.425,19.195,19.285,41779,0
KAI.US,D,20050628,000000,19.294,19.907,19.212,19.907,32223,0
KAI.US,D,20050629,000000,19.979,20.323,19.71,20.06,44779,0
KAI.US,D,20050630,000000,20.051,20.069,19.737,19.737,22001,0
KAI.US,D,20050701,000000,19.825,19.979,19.537,19.745,28667,0
KAI.US,D,20050705,000000,19.647,19.979,19.647,19.89,37668,0
KAI.US,D,20050706,000000,19.979,20.051,19.396,19.547,25334,0
KAI.US,D,20050707,000000,19.368,19.368,18.907,19.323,33112,0
KAI.US,D,20050708,000000,19.323,19.798,19.323,19.73,22111,0
KAI.US,D,20050711,000000,19.73,20.323,19.73,20.323,26447,0
KAI.US,D,20050712,000000,20.323,20.472,20.051,20.428,24444,0
KAI.US,D,20050713,000000,20.248,20.342,19.807,19.817,50552,0
KAI.US,D,20050714,000000,19.979,20.024,19.349,19.359,33000,0
KAI.US,D,20050715,000000,19.359,19.564,19.185,19.323,17777,0
KAI.US,D,20050718,000000,19.323,19.665,18.82,19.125,83781,0
KAI.US,D,20050719,000000,19.258,19.87,18.998,19.817,16556,0
KAI.US,D,20050720,000000,19.665,20.248,19.528,20.223,15558,0
KAI.US,D,20050721,000000,20.17,20.627,20.024,20.536,72335,0
KAI.US,D,20050722,000000,20.428,20.428,19.798,20.418,48667,0
KAI.US,D,20050725,000000,20.376,20.727,20.323,20.565,34218,0
KAI.US,D,20050726,000000,20.565,20.565,20.178,20.385,16223,0
KAI.US,D,20050727,000000,20.385,20.472,20.069,20.437,18889,0
KAI.US,D,20050728,000000,20.437,20.791,20.385,20.735,26332,0
KAI.US,D,20050729,000000,20.565,20.791,20.519,20.565,13557,0
KAI.US,D,20050801,000000,20.61,20.862,20.61,20.745,24337,0
KAI.US,D,20050802,000000,20.754,20.817,20.51,20.782,10780,0
KAI.US,D,20050803,000000,20.782,20.782,20.428,20.428,7333,0
KAI.US,D,20050804,000000,20.385,20.385,19.349,19.349,18556,0
KAI.US,D,20050805,000000,19.528,19.528,18.757,18.792,32111,0
