<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBH.US,D,19871105,000000,1.1138,1.1233,1.0781,1.0963,41182,0
KBH.US,D,19871106,000000,1.0963,1.1413,1.0963,1.1233,65889,0
KBH.US,D,19871109,000000,1.1413,1.1413,1.1233,1.1233,147812,0
KBH.US,D,19871110,000000,1.1233,1.1233,1.0781,1.1233,24038,0
KBH.US,D,19871111,000000,1.0963,1.1233,1.0963,1.1233,452,0
KBH.US,D,19871112,000000,1.0963,1.0963,1.0963,1.0963,5116,0
KBH.US,D,19871113,000000,1.1138,1.1138,1.1138,1.1138,885,0
KBH.US,D,19871116,000000,1.1138,1.1138,1.0963,1.0963,4228,0
KBH.US,D,19871117,000000,1.1138,1.1589,1.0963,1.0963,48748,0
KBH.US,D,19871118,000000,1.0244,1.0963,1.0244,1.0963,396012,0
KBH.US,D,19871119,000000,1.0604,1.0604,1.0423,1.0423,2673,0
KBH.US,D,19871120,000000,1.0604,1.0604,1.0423,1.0423,885,0
KBH.US,D,19871123,000000,1.0423,1.0963,1.0423,1.0781,5786,0
KBH.US,D,19871124,000000,1.1138,1.1772,1.1138,1.1589,15807,0
KBH.US,D,19871125,000000,1.1413,1.1589,1.1413,1.1413,9350,0
KBH.US,D,19871127,000000,1.1233,1.1589,1.1233,1.1233,7790,0
KBH.US,D,19871130,000000,1.0963,1.0963,1.0244,1.0423,18032,0
KBH.US,D,19871201,000000,1.0781,1.0781,1.0244,1.0244,23818,0
KBH.US,D,19871202,000000,1.0244,1.0244,1.0244,1.0244,1782,0
KBH.US,D,19871203,000000,1.0244,1.0244,1.0244,1.0244,9125,0
KBH.US,D,19871204,000000,1.0244,1.0963,1.0244,1.0781,48084,0
KBH.US,D,19871207,000000,1.0423,1.0604,1.0244,1.0604,23150,0
KBH.US,D,19871208,000000,1.0244,1.0604,1.0244,1.0604,25821,0
KBH.US,D,19871209,000000,1.0244,1.0604,1.0244,1.0244,7124,0
KBH.US,D,19871210,000000,1.0244,1.0604,1.0244,1.0604,26715,0
KBH.US,D,19871211,000000,1.0244,1.1138,1.0244,1.1138,36950,0
KBH.US,D,19871214,000000,1.0604,1.0963,1.0604,1.0963,20486,0
KBH.US,D,19871215,000000,1.0604,1.0604,1.0244,1.0423,12912,0
KBH.US,D,19871216,000000,1.0244,1.1233,1.0244,1.1233,34505,0
KBH.US,D,19871217,000000,1.0963,1.1138,1.0423,1.0781,33391,0
KBH.US,D,19871218,000000,1.0781,1.0963,1.0604,1.0963,11130,0
KBH.US,D,19871221,000000,1.0781,1.0781,1.0604,1.0781,33611,0
KBH.US,D,19871222,000000,1.0423,1.0604,1.0244,1.0423,28492,0
KBH.US,D,19871223,000000,1.0423,1.0963,1.0423,1.0963,49643,0
KBH.US,D,19871224,000000,1.0781,1.0963,1.0604,1.0781,13131,0
KBH.US,D,19871228,000000,1.0781,1.0781,1.0604,1.0604,13131,0
KBH.US,D,19871229,000000,1.0781,1.0781,1.0781,1.0781,1782,0
KBH.US,D,19871230,000000,1.0604,1.1138,1.0423,1.0963,31836,0
KBH.US,D,19871231,000000,1.0781,1.1138,1.0781,1.0963,33834,0
KBH.US,D,19880104,000000,1.1138,1.1413,1.0963,1.1138,10240,0
KBH.US,D,19880105,000000,1.1233,1.1589,1.1233,1.1413,16028,0
KBH.US,D,19880106,000000,1.1589,1.24,1.1589,1.24,21591,0
KBH.US,D,19880107,000000,1.2578,1.3118,1.24,1.3118,6234,0
KBH.US,D,19880108,000000,1.2936,1.2936,1.2222,1.24,5116,0
KBH.US,D,19880111,000000,1.2038,1.2578,1.2038,1.2578,8461,0
KBH.US,D,19880112,000000,1.2222,1.2759,1.2222,1.2759,5345,0
KBH.US,D,19880113,000000,1.2759,1.2759,1.2222,1.2578,5116,0
KBH.US,D,19880114,000000,1.2578,1.2578,1.2222,1.24,8236,0
KBH.US,D,19880115,000000,1.24,1.2578,1.2222,1.2578,8680,0
KBH.US,D,19880118,000000,1.2578,1.2759,1.2578,1.2759,2002,0
KBH.US,D,19880119,000000,1.2578,1.2936,1.2222,1.2222,32504,0
KBH.US,D,19880120,000000,1.2578,1.2578,1.2222,1.2578,7349,0
KBH.US,D,19880121,000000,1.2578,1.2578,1.1857,1.1857,9574,0
KBH.US,D,19880122,000000,1.2038,1.2222,1.2038,1.2222,4672,0
KBH.US,D,19880125,000000,1.2038,1.2038,1.1857,1.1857,23150,0
KBH.US,D,19880126,000000,1.1857,1.2038,1.1857,1.1857,4672,0
KBH.US,D,19880127,000000,1.1857,1.1857,1.1772,1.1772,2224,0
KBH.US,D,19880128,000000,1.1857,1.1857,1.1589,1.1589,1335,0
KBH.US,D,19880129,000000,1.1772,1.2578,1.1772,1.2578,10240,0
KBH.US,D,19880201,000000,1.2578,1.2759,1.2038,1.2038,36061,0
KBH.US,D,19880202,000000,1.24,1.3747,1.24,1.3747,32504,0
KBH.US,D,19880203,000000,1.3747,1.4735,1.3747,1.4017,23818,0
KBH.US,D,19880204,000000,1.4017,1.4017,1.3388,1.3747,18701,0
KBH.US,D,19880205,000000,1.3835,1.3835,1.3388,1.3835,7124,0
KBH.US,D,19880208,000000,1.3565,1.3565,1.3296,1.3565,8680,0
KBH.US,D,19880209,000000,1.3654,1.4283,1.3654,1.4283,7349,0
KBH.US,D,19880210,000000,1.4466,1.4466,1.4017,1.4107,12912,0
KBH.US,D,19880211,000000,1.4283,1.4283,1.3835,1.3835,4454,0
KBH.US,D,19880212,000000,1.3835,1.3835,1.3654,1.3654,3782,0
KBH.US,D,19880216,000000,1.3477,1.3654,1.3477,1.3654,11351,0
