<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KHYB.US,D,20181227,000000,36.248,36.248,36.248,36.248,10,0
KHYB.US,D,20181228,000000,36.331,36.331,36.331,36.331,1,0
KHYB.US,D,20181231,000000,36.373,36.373,36.373,36.373,7,0
KHYB.US,D,20190102,000000,36.338,36.338,36.338,36.338,1,0
KHYB.US,D,20190103,000000,36.354,36.354,36.354,36.354,1,0
KHYB.US,D,20190104,000000,36.359,36.359,36.359,36.359,1,0
KHYB.US,D,20190107,000000,36.419,36.419,36.419,36.419,6,0
KHYB.US,D,20190108,000000,36.464,36.464,36.464,36.464,6,0
KHYB.US,D,20190109,000000,36.562,36.562,36.562,36.562,6,0
KHYB.US,D,20190110,000000,36.502,36.502,36.502,36.502,1,0
KHYB.US,D,20190111,000000,36.572,36.572,36.572,36.572,6,0
KHYB.US,D,20190114,000000,36.581,36.581,36.581,36.581,6,0
KHYB.US,D,20190115,000000,36.621,36.621,36.621,36.621,6,0
KHYB.US,D,20190116,000000,36.656,36.656,36.656,36.656,6,0
KHYB.US,D,20190117,000000,36.7,36.7,36.7,36.7,1,0
KHYB.US,D,20190118,000000,36.728,36.728,36.728,36.728,6,0
KHYB.US,D,20190122,000000,36.68,36.68,36.68,36.68,6,0
KHYB.US,D,20190123,000000,36.733,36.733,36.733,36.733,6,0
KHYB.US,D,20190124,000000,36.882,36.882,36.882,36.882,6,0
KHYB.US,D,20190125,000000,36.993,36.993,36.993,36.993,6,0
KHYB.US,D,20190128,000000,37.003,37.003,37.003,37.003,6,0
KHYB.US,D,20190129,000000,36.998,36.998,36.998,36.998,6,0
KHYB.US,D,20190130,000000,37.071,37.071,37.071,37.071,6,0
KHYB.US,D,20190131,000000,37.102,37.102,37.102,37.102,1,0
KHYB.US,D,20190201,000000,37.129,37.129,37.129,37.129,6,0
KHYB.US,D,20190204,000000,37.195,37.195,37.195,37.195,1,0
KHYB.US,D,20190205,000000,37.2,37.2,37.2,37.2,62,0
KHYB.US,D,20190206,000000,37.138,37.138,37.138,37.138,6,0
KHYB.US,D,20190207,000000,37.205,37.205,37.205,37.205,6,0
KHYB.US,D,20190208,000000,37.215,37.215,37.215,37.215,2,0
KHYB.US,D,20190211,000000,37.286,37.286,37.286,37.286,6,0
KHYB.US,D,20190212,000000,37.362,37.362,37.362,37.362,6,0
KHYB.US,D,20190213,000000,37.294,37.294,37.294,37.294,6,0
KHYB.US,D,20190214,000000,37.366,37.366,37.366,37.366,6,0
KHYB.US,D,20190215,000000,37.334,37.334,37.334,37.334,6,0
KHYB.US,D,20190219,000000,37.548,37.548,37.548,37.548,6,0
KHYB.US,D,20190220,000000,37.497,37.497,37.437,37.437,3234,0
KHYB.US,D,20190221,000000,37.432,37.432,37.432,37.432,6,0
KHYB.US,D,20190222,000000,37.442,37.442,37.442,37.442,15,0
KHYB.US,D,20190225,000000,37.403,37.403,37.403,37.403,3,0
KHYB.US,D,20190226,000000,37.457,37.457,37.457,37.457,2,0
KHYB.US,D,20190227,000000,37.494,37.494,37.494,37.494,1,0
KHYB.US,D,20190228,000000,37.549,37.549,37.549,37.549,1,0
KHYB.US,D,20190301,000000,37.622,37.622,37.622,37.622,3,0
KHYB.US,D,20190304,000000,37.636,37.636,37.636,37.636,2,0
KHYB.US,D,20190305,000000,37.659,37.659,37.659,37.659,1,0
KHYB.US,D,20190306,000000,37.663,37.663,37.663,37.663,1,0
KHYB.US,D,20190307,000000,37.668,37.668,37.668,37.668,2,0
KHYB.US,D,20190308,000000,37.64,37.64,37.64,37.64,2,0
KHYB.US,D,20190311,000000,37.698,37.698,37.698,37.698,2,0
KHYB.US,D,20190312,000000,37.769,37.769,37.769,37.769,1,0
KHYB.US,D,20190313,000000,37.818,37.818,37.818,37.818,2,0
KHYB.US,D,20190314,000000,37.813,37.813,37.813,37.813,2,0
KHYB.US,D,20190315,000000,37.916,37.916,37.916,37.916,2,0
KHYB.US,D,20190318,000000,37.987,37.987,37.987,37.987,18,0
KHYB.US,D,20190319,000000,38.075,38.075,38.075,38.075,2,0
KHYB.US,D,20190320,000000,38.08,38.08,38.08,38.08,2,0
KHYB.US,D,20190321,000000,38.173,38.173,38.173,38.173,2,0
KHYB.US,D,20190322,000000,38.317,38.317,38.143,38.143,536,0
KHYB.US,D,20190325,000000,38.12,38.12,38.12,38.12,2,0
KHYB.US,D,20190326,000000,38.168,38.168,38.168,38.168,2,0
KHYB.US,D,20190327,000000,38.183,38.183,38.183,38.183,17,0
KHYB.US,D,20190328,000000,38.178,38.178,38.178,38.178,2,0
KHYB.US,D,20190329,000000,38.207,38.207,38.207,38.207,1,0
