<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KKR.US,D,20100714,000000,6.3643,6.3643,6.3643,6.3643,0,0
KKR.US,D,20100715,000000,6.3643,6.7157,6.1829,6.1829,14504132,0
KKR.US,D,20100716,000000,6.2128,6.2615,5.6974,5.8732,706737,0
KKR.US,D,20100719,000000,6.0305,6.0431,5.8674,5.9339,449709,0
KKR.US,D,20100720,000000,6.1706,6.1706,5.3521,5.6066,5141719,0
KKR.US,D,20100721,000000,5.6128,5.6311,5.237,5.3342,1232044,0
KKR.US,D,20100722,000000,5.3342,5.6675,5.3342,5.637,4440731,0
KKR.US,D,20100723,000000,5.6247,5.7581,5.6247,5.7581,424590,0
KKR.US,D,20100726,000000,6.0494,6.0494,5.8313,5.8732,2661642,0
KKR.US,D,20100727,000000,6.0008,6.1706,5.849,5.9703,1913531,0
KKR.US,D,20100728,000000,6.0305,6.0735,5.7944,5.8132,1301981,0
KKR.US,D,20100729,000000,5.8856,5.916,5.6675,5.7459,1033277,0
KKR.US,D,20100730,000000,5.7701,5.7701,5.4676,5.4854,3418721,0
KKR.US,D,20100802,000000,5.7524,5.9645,5.5703,5.7218,1704198,0
KKR.US,D,20100803,000000,5.7581,5.8132,5.637,5.7766,605821,0
KKR.US,D,20100804,000000,5.7827,5.837,5.7218,5.7827,3642079,0
KKR.US,D,20100805,000000,5.8188,6.0431,5.8188,6.0008,5330337,0
KKR.US,D,20100806,000000,5.9886,6.0008,5.8556,5.9763,880454,0
KKR.US,D,20100809,000000,6.0613,6.0671,5.9403,5.9947,1894603,0
KKR.US,D,20100810,000000,6.019,6.0252,5.9403,5.9581,1373797,0
KKR.US,D,20100811,000000,5.9465,5.9703,5.8004,5.9521,1102005,0
KKR.US,D,20100812,000000,5.9403,6.1464,5.8856,6.098,1315926,0
KKR.US,D,20100813,000000,6.1282,6.1706,6.0494,6.1582,2079063,0
KKR.US,D,20100816,000000,6.0857,6.122,6.0305,6.0556,1723968,0
KKR.US,D,20100817,000000,6.0613,6.3643,6.0556,6.2976,1728527,0
KKR.US,D,20100818,000000,6.5768,6.5768,6.1829,6.3886,3373825,0
KKR.US,D,20100819,000000,6.3947,6.4855,6.2431,6.3159,3165381,0
KKR.US,D,20100820,000000,6.3099,6.346,6.2068,6.2431,1699210,0
KKR.US,D,20100823,000000,6.2673,6.2976,6.1282,6.1282,3312814,0
KKR.US,D,20100824,000000,6.0794,6.2128,6.019,6.1642,1015835,0
KKR.US,D,20100825,000000,6.1706,6.1829,6.0613,6.1341,1673180,0
KKR.US,D,20100826,000000,6.0857,6.1582,6.0735,6.098,453135,0
KKR.US,D,20100827,000000,6.122,6.2187,6.0613,6.2007,980434,0
KKR.US,D,20100830,000000,6.1706,6.1886,6.0369,6.0857,854661,0
KKR.US,D,20100831,000000,6.0642,6.1076,6.0143,6.0702,1650384,0
KKR.US,D,20100901,000000,6.1341,6.5283,6.098,6.2068,2183528,0
KKR.US,D,20100902,000000,6.1642,6.237,6.0916,6.1886,2248387,0
KKR.US,D,20100903,000000,6.2128,6.237,6.152,6.2128,727610,0
KKR.US,D,20100907,000000,6.1282,6.2733,6.1282,6.2128,1996774,0
KKR.US,D,20100908,000000,6.2068,6.5099,5.9217,6.2128,2742274,0
KKR.US,D,20100909,000000,6.2007,6.2431,6.1098,6.1642,719734,0
KKR.US,D,20100910,000000,6.2007,6.2128,6.0857,6.1582,1566660,0
KKR.US,D,20100913,000000,6.2068,6.237,6.0916,6.2312,2826361,0
KKR.US,D,20100914,000000,6.1829,6.237,6.0916,6.1282,591271,0
KKR.US,D,20100915,000000,6.1282,6.2128,6.0916,6.1706,744870,0
KKR.US,D,20100916,000000,6.1098,6.2068,6.1098,6.1829,697847,0
