<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMT.US,D,20050225,000000,19.391,19.488,19.332,19.488,599396,0
KMT.US,D,20050228,000000,19.504,19.655,19.364,19.504,766728,0
KMT.US,D,20050301,000000,19.594,19.869,19.594,19.832,734269,0
KMT.US,D,20050302,000000,19.854,19.869,19.655,19.727,687716,0
KMT.US,D,20050303,000000,19.758,19.832,19.504,19.63,1067182,0
KMT.US,D,20050304,000000,19.727,19.854,19.639,19.766,892796,0
KMT.US,D,20050307,000000,19.735,20.037,19.712,19.783,903869,0
KMT.US,D,20050308,000000,19.687,19.727,19.455,19.464,612481,0
KMT.US,D,20050309,000000,19.488,19.545,19.287,19.287,734269,0
KMT.US,D,20050310,000000,19.313,19.553,19.213,19.332,460492,0
KMT.US,D,20050311,000000,19.418,19.63,19.379,19.607,552839,0
KMT.US,D,20050314,000000,19.63,19.791,19.594,19.655,537237,0
KMT.US,D,20050315,000000,19.672,19.908,19.672,19.791,1347247,0
KMT.US,D,20050316,000000,19.727,19.815,19.585,19.664,919466,0
KMT.US,D,20050317,000000,19.664,19.712,19.585,19.614,952183,0
KMT.US,D,20050318,000000,19.622,19.648,19.391,19.432,757164,0
KMT.US,D,20050321,000000,19.432,19.488,19.287,19.418,248110,0
KMT.US,D,20050322,000000,19.464,19.687,19.323,19.323,615247,0
KMT.US,D,20050323,000000,19.287,19.332,19.155,19.205,467282,0
KMT.US,D,20050324,000000,19.22,19.488,19.205,19.271,501503,0
KMT.US,D,20050328,000000,19.256,19.455,18.989,18.998,1139398,0
KMT.US,D,20050329,000000,18.981,18.998,18.48,18.556,756917,0
KMT.US,D,20050330,000000,18.583,18.907,18.583,18.773,926013,0
KMT.US,D,20050331,000000,18.773,19.036,18.739,18.879,907644,0
KMT.US,D,20050401,000000,18.998,19.076,18.747,18.861,476848,0
KMT.US,D,20050404,000000,18.799,18.869,18.655,18.79,354299,0
KMT.US,D,20050405,000000,18.879,19.09,18.823,18.932,1028426,0
KMT.US,D,20050406,000000,18.932,18.981,18.548,18.662,698533,0
KMT.US,D,20050407,000000,18.637,18.637,18.392,18.409,950170,0
KMT.US,D,20050408,000000,18.462,18.48,18.168,18.266,1387260,0
KMT.US,D,20050411,000000,18.266,18.283,17.742,17.772,1227216,0
KMT.US,D,20050412,000000,17.566,18.296,17.566,18.193,1246848,0
KMT.US,D,20050413,000000,18.138,18.275,17.938,17.938,1400594,0
