<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KORE-WS.US,D,20211004,000000,0.97,1.3,0.97,1.1,67690,0
KORE-WS.US,D,20211005,000000,1.03,1.1,1.03,1.05,124692,0
KORE-WS.US,D,20211006,000000,1.04,1.05,0.9503,1.05,56508,0
KORE-WS.US,D,20211007,000000,1.15,1.15,1.09,1.09,580,0
KORE-WS.US,D,20211008,000000,1.04,1.25,1.0106,1.25,48437,0
KORE-WS.US,D,20211011,000000,1.0401,1.09,0.9601,1,147323,0
KORE-WS.US,D,20211012,000000,1,1.05,0.981,1,90334,0
KORE-WS.US,D,20211013,000000,1.05,1.08,1.008,1.0772,37961,0
KORE-WS.US,D,20211014,000000,1.35,1.39,1.14,1.17,382069,0
KORE-WS.US,D,20211015,000000,1.2265,1.33,1.06,1.175,105869,0
KORE-WS.US,D,20211018,000000,1.15,1.36,1.14,1.23,184413,0
KORE-WS.US,D,20211019,000000,1.2,1.21,1.2,1.2039,2776,0
KORE-WS.US,D,20211020,000000,1.2,1.3,1.17,1.2,66269,0
KORE-WS.US,D,20211021,000000,1.15,1.2,1.0601,1.15,62850,0
KORE-WS.US,D,20211022,000000,1.2,1.3,1.15,1.1999,60419,0
KORE-WS.US,D,20211025,000000,1.255,1.255,1.1,1.1,15447,0
KORE-WS.US,D,20211026,000000,1.22,1.2401,1.1,1.1,19766,0
KORE-WS.US,D,20211027,000000,1.23,1.31,1.1,1.2499,202643,0
KORE-WS.US,D,20211028,000000,1.21,1.2601,1.13,1.229,78078,0
KORE-WS.US,D,20211029,000000,1.18,1.4,1.16,1.365,255497,0
KORE-WS.US,D,20211101,000000,1.27,1.43,1.27,1.3767,79391,0
KORE-WS.US,D,20211102,000000,1.38,1.49,1.38,1.45,33465,0
KORE-WS.US,D,20211103,000000,1.23,1.44,1.23,1.38,85645,0
KORE-WS.US,D,20211104,000000,1.37,1.4099,1.35,1.35,13562,0
KORE-WS.US,D,20211105,000000,1.23,1.43,1.23,1.33,8685,0
KORE-WS.US,D,20211108,000000,1.34,1.37,1.3184,1.37,10215,0
KORE-WS.US,D,20211109,000000,1.335,1.44,1.29,1.44,9390,0
KORE-WS.US,D,20211110,000000,1.42,1.42,1.38,1.41,2146,0
KORE-WS.US,D,20211111,000000,1.34,1.34,1.24,1.29,3366,0
KORE-WS.US,D,20211112,000000,1.28,1.39,1.27,1.32,30000,0
KORE-WS.US,D,20211115,000000,1.4,1.51,1.32,1.485,42469,0
KORE-WS.US,D,20211116,000000,1.4199,1.4199,1.3,1.34,61362,0
KORE-WS.US,D,20211117,000000,1.31,1.4004,1.27,1.38,42426,0
KORE-WS.US,D,20211118,000000,1.3425,1.375,1.3026,1.35,10349,0
KORE-WS.US,D,20211119,000000,1.3,1.3,1.27,1.3,43683,0
KORE-WS.US,D,20211122,000000,1.3201,1.35,1.12,1.35,51165,0
KORE-WS.US,D,20211123,000000,1.45,1.45,1.2,1.21,30627,0
KORE-WS.US,D,20211124,000000,1.19,1.33,1.15,1.3,94878,0
KORE-WS.US,D,20211126,000000,1.2,1.3,1.2,1.3,2950,0
KORE-WS.US,D,20211129,000000,1.24,1.27,1.24,1.25,2500,0
KORE-WS.US,D,20211130,000000,1.22,1.2599,1.21,1.2599,8350,0
KORE-WS.US,D,20211201,000000,1.27,1.3,1.12,1.12,17733,0
KORE-WS.US,D,20211202,000000,1.13,1.17,1.09,1.16,41450,0
KORE-WS.US,D,20211203,000000,1.15,1.16,1.15,1.15,6086,0
KORE-WS.US,D,20211206,000000,1.1,1.15,1.09,1.13,39109,0
KORE-WS.US,D,20211207,000000,1.11,1.13,1.07,1.08,124091,0
