<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KORE.US,D,20211004,000000,7.5,7.535,6.11,6.46,235956,0
KORE.US,D,20211005,000000,6.6,6.8251,6.6,6.66,251922,0
KORE.US,D,20211006,000000,6.46,6.5885,6.4587,6.5,198885,0
KORE.US,D,20211007,000000,6.41,6.8,6.11,6.49,66853,0
KORE.US,D,20211008,000000,6.38,6.775,6.005,6.29,161979,0
KORE.US,D,20211011,000000,6.64,7.03,6.21,6.59,450332,0
KORE.US,D,20211012,000000,6.61,6.6711,6.21,6.28,282712,0
KORE.US,D,20211013,000000,6.18,6.34,5.9,6.32,264471,0
KORE.US,D,20211014,000000,7.8,9.5,6.63,7.29,11583341,0
KORE.US,D,20211015,000000,7.28,7.3,6.57,6.83,1194104,0
KORE.US,D,20211018,000000,6.65,6.77,6.14,6.44,409239,0
KORE.US,D,20211019,000000,6.35,6.45,6.12,6.2,411915,0
KORE.US,D,20211020,000000,6.17,6.49,6.17,6.36,391631,0
KORE.US,D,20211021,000000,6.36,6.62,6.17,6.55,309475,0
KORE.US,D,20211022,000000,6.58,6.82,6.33,6.52,338093,0
KORE.US,D,20211025,000000,6.34,6.57,6.2,6.31,292980,0
KORE.US,D,20211026,000000,6.46,6.75,6.3732,6.6,318428,0
KORE.US,D,20211027,000000,6.69,7.31,6.6,7.13,496941,0
KORE.US,D,20211028,000000,7.13,7.51,6.745,7.49,306253,0
KORE.US,D,20211029,000000,7.51,8.0251,7.38,8,296739,0
KORE.US,D,20211101,000000,8.03,8.03,7.55,8.02,337337,0
KORE.US,D,20211102,000000,8.08,8.2,7.67,8.07,178894,0
KORE.US,D,20211103,000000,8,8.0899,6.5,7.87,1623216,0
KORE.US,D,20211104,000000,7.95,8,7.58,7.62,134964,0
KORE.US,D,20211105,000000,7.5,7.99,7.3,7.48,215319,0
KORE.US,D,20211108,000000,7.5,7.6,7.14,7.55,265065,0
KORE.US,D,20211109,000000,7.63,8,7.42,8,260376,0
KORE.US,D,20211110,000000,7.89,8,7.5,7.66,274945,0
KORE.US,D,20211111,000000,7.6,7.695,7.01,7.27,291615,0
KORE.US,D,20211112,000000,7.39,7.89,7.27,7.78,272758,0
KORE.US,D,20211115,000000,7.81,8.01,7.72,8,319771,0
KORE.US,D,20211116,000000,7.35,7.69,6.83,7.63,337405,0
KORE.US,D,20211117,000000,7.68,7.71,7.43,7.57,204017,0
KORE.US,D,20211118,000000,7.58,7.59,7.4,7.59,135811,0
KORE.US,D,20211119,000000,7.69,7.69,7.22,7.43,149256,0
KORE.US,D,20211122,000000,7.52,7.56,6.97,7.48,83921,0
KORE.US,D,20211123,000000,7.47,7.5404,6.82,7.02,236534,0
KORE.US,D,20211124,000000,7,7.47,6.89,7.4,171807,0
KORE.US,D,20211126,000000,7.21,7.39,7.0828,7.39,78798,0
KORE.US,D,20211129,000000,7.36,7.45,7.1,7.17,132635,0
KORE.US,D,20211130,000000,7.06,7.26,7.01,7.2,183629,0
KORE.US,D,20211201,000000,7.2,7.31,6.92,6.99,276681,0
KORE.US,D,20211202,000000,6.96,7.08,6.81,6.97,317785,0
KORE.US,D,20211203,000000,6.94,7.02,6.68,6.7,233184,0
KORE.US,D,20211206,000000,6.76,6.96,6.71,6.81,495069,0
KORE.US,D,20211207,000000,6.81,7.14,6.76,6.96,498925,0
KORE.US,D,20211208,000000,6.92,7.18,6.85,6.92,233244,0
KORE.US,D,20211209,000000,6.77,7.06,6.77,6.82,237074,0
KORE.US,D,20211210,000000,6.85,6.96,6.74,6.92,216735,0
KORE.US,D,20211213,000000,6.96,7.015,6.4,6.49,145485,0
KORE.US,D,20211214,000000,6.45,6.74,6.3,6.4,249214,0
KORE.US,D,20211215,000000,6.4,6.67,6.26,6.45,414485,0
KORE.US,D,20211216,000000,6.43,6.7219,6.26,6.3,663470,0
KORE.US,D,20211217,000000,6.26,6.7,6.18,6.37,1408801,0
KORE.US,D,20211220,000000,6.26,6.42,6.06,6.35,378306,0
KORE.US,D,20211221,000000,6.37,6.88,6.37,6.82,357542,0
KORE.US,D,20211222,000000,6.77,7.06,6.77,6.89,72607,0
KORE.US,D,20211223,000000,6.9,7.07,6.9,6.98,121164,0
KORE.US,D,20211227,000000,7,7,6.49,6.99,169135,0
KORE.US,D,20211228,000000,6.96,6.99,6.76,6.95,81411,0
KORE.US,D,20211229,000000,6.95,7.21,6.75,7.21,139230,0
KORE.US,D,20211230,000000,7.1,7.2299,6.83,6.91,89686,0
KORE.US,D,20211231,000000,6.92,6.92,6.74,6.74,84828,0
KORE.US,D,20220103,000000,6.67,7.09,6.67,6.87,209283,0
KORE.US,D,20220104,000000,6.89,7.05,6.75,6.97,106582,0
KORE.US,D,20220105,000000,6.96,7.006,6.89,6.96,57701,0
KORE.US,D,20220106,000000,6.96,7.04,6.65,6.95,230907,0
KORE.US,D,20220107,000000,6.86,6.98,6.7,6.77,80057,0
KORE.US,D,20220110,000000,6.61,6.97,6.6,6.91,137072,0
KORE.US,D,20220111,000000,6.91,6.96,6.58,6.63,133600,0
KORE.US,D,20220112,000000,6.61,6.66,6.36,6.37,40269,0
KORE.US,D,20220113,000000,6.41,6.41,6.06,6.29,61221,0
KORE.US,D,20220114,000000,6.26,6.7,6.26,6.7,45816,0
KORE.US,D,20220118,000000,6.77,6.77,6.29,6.33,51433,0
KORE.US,D,20220119,000000,6.31,6.34,6.13,6.19,37593,0
KORE.US,D,20220120,000000,6.37,6.515,6.05,6.11,88417,0
KORE.US,D,20220121,000000,6.1,6.26,6.05,6.1,90603,0
