<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCW-U.US,D,20211011,000000,10.08,10.25,10.03,10.09,7763,0
LCW-U.US,D,20211012,000000,10.0761,10.0761,10.045,10.045,31500,0
LCW-U.US,D,20211013,000000,10.05,10.05,10.05,10.05,2700,0
LCW-U.US,D,20211014,000000,10.25,10.25,10.0416,10.0416,2128,0
LCW-U.US,D,20211015,000000,10.075,10.075,10.075,10.075,600,0
LCW-U.US,D,20211018,000000,10.25,10.25,10.085,10.085,29767,0
LCW-U.US,D,20211019,000000,10.07,10.08,10.07,10.08,1488,0
LCW-U.US,D,20211021,000000,10.14,10.14,10.14,10.14,333,0
LCW-U.US,D,20211022,000000,10.1,10.1,10.1,10.1,100,0
LCW-U.US,D,20211025,000000,10.1,10.1,10.1,10.1,346467,0
LCW-U.US,D,20211026,000000,10.222,10.222,10.222,10.222,100,0
LCW-U.US,D,20211027,000000,10.175,10.175,9.69,10.04,5200,0
LCW-U.US,D,20211028,000000,10.05,10.05,10.03,10.03,1444,0
LCW-U.US,D,20211110,000000,9.98,10.025,9.96,10.025,400,0
LCW-U.US,D,20211112,000000,9.9,9.965,9.9,9.9,5001,0
LCW-U.US,D,20211115,000000,9.99,10,9.99,10,400,0
LCW-U.US,D,20211117,000000,9.9,10.05,9.9,10,1400,0
LCW-U.US,D,20211118,000000,10,10,10,10,2239,0
LCW-U.US,D,20211119,000000,10.03,10.03,10,10,37128,0
LCW-U.US,D,20211122,000000,10,10,10,10,100,0
LCW-U.US,D,20211123,000000,10.25,10.25,10.11,10.2,10131,0
LCW-U.US,D,20211202,000000,10.2,10.21,10.18,10.18,20602,0
LCW-U.US,D,20211206,000000,10.04,10.05,10.04,10.05,10000,0
LCW-U.US,D,20211208,000000,9.9,10.03,9.9,10.03,5835,0
LCW-U.US,D,20211210,000000,9.83,10.05,9.8,10.05,11480,0
LCW-U.US,D,20211214,000000,10.03,10.03,10.03,10.03,100,0
LCW-U.US,D,20211216,000000,9.91,10.01,9.91,10.01,400,0
LCW-U.US,D,20211221,000000,10.01,10.01,10.01,10.01,100,0
LCW-U.US,D,20211222,000000,10.03,10.03,10.03,10.03,100,0
LCW-U.US,D,20211223,000000,10.03,10.03,10.03,10.03,200,0
LCW-U.US,D,20211228,000000,10.1,10.1,10.1,10.1,1000,0
LCW-U.US,D,20211231,000000,10.05,10.12,10.05,10.12,1900,0
LCW-U.US,D,20220103,000000,10.12,10.12,10.11,10.11,1200,0
LCW-U.US,D,20220104,000000,10.05,10.05,10.05,10.05,2076,0
LCW-U.US,D,20220106,000000,10.07,10.07,10.07,10.07,568,0
LCW-U.US,D,20220110,000000,10.02,10.02,10.02,10.02,7348,0
LCW-U.US,D,20220113,000000,10.04,10.05,10.04,10.04,2361,0
LCW-U.US,D,20220114,000000,10,10.05,9.9,9.9687,11411,0
LCW-U.US,D,20220120,000000,10.04,10.04,10.04,10.04,100,0
