<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCW.US,D,20211206,000000,9.8,9.8,9.8,9.8,100,0
LCW.US,D,20211207,000000,9.76,9.76,9.755,9.755,200,0
LCW.US,D,20211208,000000,9.76,9.77,9.76,9.77,700,0
LCW.US,D,20211214,000000,9.7,9.7,9.61,9.66,363200,0
LCW.US,D,20211215,000000,9.68,9.77,9.67,9.77,182766,0
LCW.US,D,20211216,000000,9.77,9.77,9.77,9.77,219,0
LCW.US,D,20211220,000000,9.9,9.9,9.9,9.9,100,0
LCW.US,D,20211221,000000,9.8,9.84,9.8,9.84,1200,0
LCW.US,D,20211222,000000,9.79,9.83,9.77,9.83,6500,0
LCW.US,D,20211223,000000,10.01,10.04,9.9,9.9,2111,0
LCW.US,D,20211228,000000,9.87,9.87,9.81,9.81,441,0
LCW.US,D,20211229,000000,9.83,9.83,9.83,9.83,100,0
LCW.US,D,20211230,000000,9.75,9.99,9.75,9.99,6426,0
LCW.US,D,20211231,000000,10.1,10.1,9.95,9.99,4619,0
LCW.US,D,20220103,000000,10,10,9.81,9.859,2966,0
LCW.US,D,20220104,000000,9.83,9.86,9.83,9.83,2100,0
LCW.US,D,20220105,000000,9.8,9.8,9.8,9.8,518,0
LCW.US,D,20220110,000000,9.78,9.94,9.78,9.94,7473,0
LCW.US,D,20220112,000000,9.805,9.81,9.805,9.81,16860,0
LCW.US,D,20220113,000000,10.18,10.18,9.8,9.8,2125,0
LCW.US,D,20220114,000000,9.8,9.81,9.73,9.81,5395,0
LCW.US,D,20220119,000000,9.99,9.9999,9.99,9.9998,858,0
LCW.US,D,20220120,000000,9.93,9.93,9.93,9.93,700,0
LCW.US,D,20220121,000000,9.78,9.78,9.72,9.72,400,0
